ID;Sources;Emissions;Periods;EmissionsDutchTerritory_1
0;Total mobile sources;Carbon dioxide (CO2);1990;34600.0
1;Total mobile sources;Carbon dioxide (CO2);1991;34500.0
2;Total mobile sources;Carbon dioxide (CO2);1992;35700.0
3;Total mobile sources;Carbon dioxide (CO2);1993;35800.0
4;Total mobile sources;Carbon dioxide (CO2);1994;36400.0
5;Total mobile sources;Carbon dioxide (CO2);1995;36600.0
6;Total mobile sources;Carbon dioxide (CO2);1996;37000.0
7;Total mobile sources;Carbon dioxide (CO2);1997;38100.0
8;Total mobile sources;Carbon dioxide (CO2);1998;38700.0
9;Total mobile sources;Carbon dioxide (CO2);1999;40400.0
10;Total mobile sources;Carbon dioxide (CO2);2000;40700.0
11;Total mobile sources;Carbon dioxide (CO2);2001;41200.0
12;Total mobile sources;Carbon dioxide (CO2);2002;41400.0
13;Total mobile sources;Carbon dioxide (CO2);2003;41900.0
14;Total mobile sources;Carbon dioxide (CO2);2004;42600.0
15;Total mobile sources;Carbon dioxide (CO2);2005;42100.0
16;Total mobile sources;Carbon dioxide (CO2);2006;42200.0
17;Total mobile sources;Carbon dioxide (CO2);2007;41800.0
18;Total mobile sources;Carbon dioxide (CO2);2008;41500.0
19;Total mobile sources;Carbon dioxide (CO2);2009;40500.0
20;Total mobile sources;Carbon dioxide (CO2);2010;40500.0
21;Total mobile sources;Carbon dioxide (CO2);2011;40700.0
22;Total mobile sources;Carbon dioxide (CO2);2012;39800.0
23;Total mobile sources;Carbon dioxide (CO2);2013;38700.0
24;Total mobile sources;Carbon dioxide (CO2);2014;39000.0
25;Total mobile sources;Carbon dioxide (CO2);2015;39800.0
26;Total mobile sources;Carbon dioxide (CO2);2016;40300.0
27;Total mobile sources;Carbon dioxide (CO2);2017;40400.0
28;Total mobile sources;Carbon dioxide (CO2);2018;41200.0
29;Total mobile sources;Carbon dioxide (CO2);2019;41100.0
30;Total mobile sources;Carbon dioxide (CO2);2020;37600.0
31;Total mobile sources;Carbon dioxide (CO2);2021;38100.0
32;Total mobile sources;Carbon monoxide (CO);1990;833.0
33;Total mobile sources;Carbon monoxide (CO);1991;735.33
34;Total mobile sources;Carbon monoxide (CO);1992;708.84
35;Total mobile sources;Carbon monoxide (CO);1993;660.73
36;Total mobile sources;Carbon monoxide (CO);1994;626.4
37;Total mobile sources;Carbon monoxide (CO);1995;604.13
38;Total mobile sources;Carbon monoxide (CO);1996;587.16
39;Total mobile sources;Carbon monoxide (CO);1997;561.25
40;Total mobile sources;Carbon monoxide (CO);1998;538.76
41;Total mobile sources;Carbon monoxide (CO);1999;529.83
42;Total mobile sources;Carbon monoxide (CO);2000;509.66
43;Total mobile sources;Carbon monoxide (CO);2001;505.48
44;Total mobile sources;Carbon monoxide (CO);2002;505.37
45;Total mobile sources;Carbon monoxide (CO);2003;505.73
46;Total mobile sources;Carbon monoxide (CO);2004;505.26
47;Total mobile sources;Carbon monoxide (CO);2005;487.39
48;Total mobile sources;Carbon monoxide (CO);2006;477.35
49;Total mobile sources;Carbon monoxide (CO);2007;472.97
50;Total mobile sources;Carbon monoxide (CO);2008;460.63
51;Total mobile sources;Carbon monoxide (CO);2009;449.73
52;Total mobile sources;Carbon monoxide (CO);2010;439.97
53;Total mobile sources;Carbon monoxide (CO);2011;430.67
54;Total mobile sources;Carbon monoxide (CO);2012;413.85
55;Total mobile sources;Carbon monoxide (CO);2013;401.54
56;Total mobile sources;Carbon monoxide (CO);2014;388.15
57;Total mobile sources;Carbon monoxide (CO);2015;382.81
58;Total mobile sources;Carbon monoxide (CO);2016;371.59
59;Total mobile sources;Carbon monoxide (CO);2017;369.33
60;Total mobile sources;Carbon monoxide (CO);2018;353.1
61;Total mobile sources;Carbon monoxide (CO);2019;334.08
62;Total mobile sources;Carbon monoxide (CO);2020;295.83
63;Total mobile sources;Carbon monoxide (CO);2021;285.63
64;Total mobile sources;VOC emission by combustion;1990;183.26
65;Total mobile sources;VOC emission by combustion;1991;157.73
66;Total mobile sources;VOC emission by combustion;1992;149.33
67;Total mobile sources;VOC emission by combustion;1993;137.45
68;Total mobile sources;VOC emission by combustion;1994;128.92
69;Total mobile sources;VOC emission by combustion;1995;121.45
70;Total mobile sources;VOC emission by combustion;1996;114.97
71;Total mobile sources;VOC emission by combustion;1997;107.44
72;Total mobile sources;VOC emission by combustion;1998;101.27
73;Total mobile sources;VOC emission by combustion;1999;96.845
74;Total mobile sources;VOC emission by combustion;2000;86.559
75;Total mobile sources;VOC emission by combustion;2001;80.936
76;Total mobile sources;VOC emission by combustion;2002;75.956
77;Total mobile sources;VOC emission by combustion;2003;71.986
78;Total mobile sources;VOC emission by combustion;2004;68.722
79;Total mobile sources;VOC emission by combustion;2005;65.307
80;Total mobile sources;VOC emission by combustion;2006;62.538
81;Total mobile sources;VOC emission by combustion;2007;60.036
82;Total mobile sources;VOC emission by combustion;2008;58.475
83;Total mobile sources;VOC emission by combustion;2009;55.144
84;Total mobile sources;VOC emission by combustion;2010;51.363
85;Total mobile sources;VOC emission by combustion;2011;48.897
86;Total mobile sources;VOC emission by combustion;2012;45.568
87;Total mobile sources;VOC emission by combustion;2013;43.975
88;Total mobile sources;VOC emission by combustion;2014;42.965
89;Total mobile sources;VOC emission by combustion;2015;42.418
90;Total mobile sources;VOC emission by combustion;2016;41.824
91;Total mobile sources;VOC emission by combustion;2017;41.601
92;Total mobile sources;VOC emission by combustion;2018;40.574
93;Total mobile sources;VOC emission by combustion;2019;39.926
94;Total mobile sources;VOC emission by combustion;2020;37.088
95;Total mobile sources;VOC emission by combustion;2021;36.289
96;Total mobile sources;VOC emission by evaporation;1990;39.193
97;Total mobile sources;VOC emission by evaporation;1991;35.546
98;Total mobile sources;VOC emission by evaporation;1992;33.048
99;Total mobile sources;VOC emission by evaporation;1993;31.581
100;Total mobile sources;VOC emission by evaporation;1994;29.759
101;Total mobile sources;VOC emission by evaporation;1995;25.802
102;Total mobile sources;VOC emission by evaporation;1996;22.402
103;Total mobile sources;VOC emission by evaporation;1997;20.191
104;Total mobile sources;VOC emission by evaporation;1998;17.692
105;Total mobile sources;VOC emission by evaporation;1999;15.577
106;Total mobile sources;VOC emission by evaporation;2000;12.6
107;Total mobile sources;VOC emission by evaporation;2001;11.11
108;Total mobile sources;VOC emission by evaporation;2002;8.795
109;Total mobile sources;VOC emission by evaporation;2003;7.511
110;Total mobile sources;VOC emission by evaporation;2004;6.436
111;Total mobile sources;VOC emission by evaporation;2005;5.353
112;Total mobile sources;VOC emission by evaporation;2006;5.242
113;Total mobile sources;VOC emission by evaporation;2007;4.742
114;Total mobile sources;VOC emission by evaporation;2008;4.522
115;Total mobile sources;VOC emission by evaporation;2009;4.277
116;Total mobile sources;VOC emission by evaporation;2010;4.298
117;Total mobile sources;VOC emission by evaporation;2011;4.208
118;Total mobile sources;VOC emission by evaporation;2012;4.216
119;Total mobile sources;VOC emission by evaporation;2013;4.196
120;Total mobile sources;VOC emission by evaporation;2014;3.344
121;Total mobile sources;VOC emission by evaporation;2015;3.385
122;Total mobile sources;VOC emission by evaporation;2016;3.637
123;Total mobile sources;VOC emission by evaporation;2017;3.742
124;Total mobile sources;VOC emission by evaporation;2018;3.636
125;Total mobile sources;VOC emission by evaporation;2019;3.389
126;Total mobile sources;VOC emission by evaporation;2020;3.123
127;Total mobile sources;VOC emission by evaporation;2021;3.221
128;Total mobile sources;Volatile organic compounds (VOC);1990;222.46
129;Total mobile sources;Volatile organic compounds (VOC);1991;193.28
130;Total mobile sources;Volatile organic compounds (VOC);1992;182.38
131;Total mobile sources;Volatile organic compounds (VOC);1993;169.03
132;Total mobile sources;Volatile organic compounds (VOC);1994;158.68
133;Total mobile sources;Volatile organic compounds (VOC);1995;147.25
134;Total mobile sources;Volatile organic compounds (VOC);1996;137.37
135;Total mobile sources;Volatile organic compounds (VOC);1997;127.63
136;Total mobile sources;Volatile organic compounds (VOC);1998;118.97
137;Total mobile sources;Volatile organic compounds (VOC);1999;112.42
138;Total mobile sources;Volatile organic compounds (VOC);2000;99.159
139;Total mobile sources;Volatile organic compounds (VOC);2001;92.046
140;Total mobile sources;Volatile organic compounds (VOC);2002;84.752
141;Total mobile sources;Volatile organic compounds (VOC);2003;79.497
142;Total mobile sources;Volatile organic compounds (VOC);2004;75.158
143;Total mobile sources;Volatile organic compounds (VOC);2005;70.659
144;Total mobile sources;Volatile organic compounds (VOC);2006;67.78
145;Total mobile sources;Volatile organic compounds (VOC);2007;64.778
146;Total mobile sources;Volatile organic compounds (VOC);2008;62.998
147;Total mobile sources;Volatile organic compounds (VOC);2009;59.422
148;Total mobile sources;Volatile organic compounds (VOC);2010;55.661
