ID;Geslacht;LeeftijdOp31December;InkomenEnWelvaart;Marges;Perioden;Levensverwachting_1;InAlsGoedErvarenGezondheid_2;ZonderLichamelijkeBeperkingen_3;ZonderPsychischeKlachten_4;ZonderGALIBeperkingen_5
0;Totaal mannen en vrouwen;0 jaar;1014752;Waarde;2017/2020;76.6;50.7;61.6;62.0;50.7
1;Totaal mannen en vrouwen;0 jaar;1014752;Waarde;2019/2022;76.3;51.2;61.6;60.1;64.6
2;Totaal mannen en vrouwen;0 jaar;1014752;Ondergrens 95%-interval;2017/2020;76.6;49.7;;;49.7
3;Totaal mannen en vrouwen;0 jaar;1014752;Ondergrens 95%-interval;2019/2022;76.2;50.2;;59.1;
4;Totaal mannen en vrouwen;0 jaar;1014752;Bovengrens 95%-interval;2017/2020;76.7;51.7;;;51.7
5;Totaal mannen en vrouwen;0 jaar;1014752;Bovengrens 95%-interval;2019/2022;76.3;52.2;;61.0;
6;Totaal mannen en vrouwen;0 jaar;1014753;Waarde;2017/2020;80.6;59.0;68.0;70.8;53.3
7;Totaal mannen en vrouwen;0 jaar;1014753;Waarde;2019/2022;80.5;59.3;68.3;68.5;53.7
8;Totaal mannen en vrouwen;0 jaar;1014753;Ondergrens 95%-interval;2017/2020;80.6;58.1;;;52.4
9;Totaal mannen en vrouwen;0 jaar;1014753;Ondergrens 95%-interval;2019/2022;80.4;58.4;;67.7;
10;Totaal mannen en vrouwen;0 jaar;1014753;Bovengrens 95%-interval;2017/2020;80.7;59.8;;;54.2
11;Totaal mannen en vrouwen;0 jaar;1014753;Bovengrens 95%-interval;2019/2022;80.5;60.2;;69.3;
12;Totaal mannen en vrouwen;0 jaar;1014754;Waarde;2017/2020;82.4;65.8;73.0;75.2;58.9
13;Totaal mannen en vrouwen;0 jaar;1014754;Waarde;2019/2022;82.3;65.4;73.4;73.1;58.8
14;Totaal mannen en vrouwen;0 jaar;1014754;Ondergrens 95%-interval;2017/2020;82.3;65.1;;;58.2
15;Totaal mannen en vrouwen;0 jaar;1014754;Ondergrens 95%-interval;2019/2022;82.3;64.6;;72.4;
16;Totaal mannen en vrouwen;0 jaar;1014754;Bovengrens 95%-interval;2017/2020;82.4;66.5;;;59.7
17;Totaal mannen en vrouwen;0 jaar;1014754;Bovengrens 95%-interval;2019/2022;82.4;66.1;;73.7;
18;Totaal mannen en vrouwen;0 jaar;1014755;Waarde;2017/2020;83.5;68.7;76.3;76.9;61.9
19;Totaal mannen en vrouwen;0 jaar;1014755;Waarde;2019/2022;83.6;68.9;76.9;75.6;61.9
20;Totaal mannen en vrouwen;0 jaar;1014755;Ondergrens 95%-interval;2017/2020;83.5;68.0;;;61.2
21;Totaal mannen en vrouwen;0 jaar;1014755;Ondergrens 95%-interval;2019/2022;83.6;68.1;;75.0;
22;Totaal mannen en vrouwen;0 jaar;1014755;Bovengrens 95%-interval;2017/2020;83.6;69.4;;;62.7
23;Totaal mannen en vrouwen;0 jaar;1014755;Bovengrens 95%-interval;2019/2022;83.7;69.6;;76.2;
24;Totaal mannen en vrouwen;0 jaar;1014756;Waarde;2017/2020;84.0;72.8;78.3;79.0;65.4
25;Totaal mannen en vrouwen;0 jaar;1014756;Waarde;2019/2022;84.0;72.6;78.3;77.5;65.6
26;Totaal mannen en vrouwen;0 jaar;1014756;Ondergrens 95%-interval;2017/2020;84.0;72.1;;;64.6
27;Totaal mannen en vrouwen;0 jaar;1014756;Ondergrens 95%-interval;2019/2022;83.9;71.9;;77.0;
28;Totaal mannen en vrouwen;0 jaar;1014756;Bovengrens 95%-interval;2017/2020;84.1;73.5;;;66.2
29;Totaal mannen en vrouwen;0 jaar;1014756;Bovengrens 95%-interval;2019/2022;84.1;73.4;;78.1;
30;Totaal mannen en vrouwen;0 jaar;2021770;Waarde;2017/2020;76.2;49.3;60.1;60.9;44.6
31;Totaal mannen en vrouwen;0 jaar;2021770;Waarde;2019/2022;75.9;49.4;59.9;58.7;46.4
32;Totaal mannen en vrouwen;0 jaar;2021770;Ondergrens 95%-interval;2017/2020;76.1;48.3;;;43.6
33;Totaal mannen en vrouwen;0 jaar;2021770;Ondergrens 95%-interval;2019/2022;75.8;48.4;;57.7;
34;Totaal mannen en vrouwen;0 jaar;2021770;Bovengrens 95%-interval;2017/2020;76.3;50.3;;;45.6
35;Totaal mannen en vrouwen;0 jaar;2021770;Bovengrens 95%-interval;2019/2022;75.9;50.5;;59.7;
36;Totaal mannen en vrouwen;0 jaar;2021780;Waarde;2017/2020;80.3;58.6;67.8;70.5;53.4
37;Totaal mannen en vrouwen;0 jaar;2021780;Waarde;2019/2022;80.0;59.1;68.2;68.4;53.6
38;Totaal mannen en vrouwen;0 jaar;2021780;Ondergrens 95%-interval;2017/2020;80.2;57.8;;;52.6
39;Totaal mannen en vrouwen;0 jaar;2021780;Ondergrens 95%-interval;2019/2022;80.0;58.3;;67.6;
40;Totaal mannen en vrouwen;0 jaar;2021780;Bovengrens 95%-interval;2017/2020;80.3;59.4;;;54.3
41;Totaal mannen en vrouwen;0 jaar;2021780;Bovengrens 95%-interval;2019/2022;80.1;60.0;;69.2;
42;Totaal mannen en vrouwen;0 jaar;2021790;Waarde;2017/2020;82.3;65.4;72.6;75.1;58.8
43;Totaal mannen en vrouwen;0 jaar;2021790;Waarde;2019/2022;82.2;65.1;73.3;73.1;58.7
44;Totaal mannen en vrouwen;0 jaar;2021790;Ondergrens 95%-interval;2017/2020;82.2;64.7;;;58.1
45;Totaal mannen en vrouwen;0 jaar;2021790;Ondergrens 95%-interval;2019/2022;82.1;64.4;;72.5;
46;Totaal mannen en vrouwen;0 jaar;2021790;Bovengrens 95%-interval;2017/2020;82.3;66.2;;;59.6
47;Totaal mannen en vrouwen;0 jaar;2021790;Bovengrens 95%-interval;2019/2022;82.2;65.9;;73.7;
48;Totaal mannen en vrouwen;0 jaar;2021800;Waarde;2017/2020;83.5;68.6;75.5;77.4;62.0
49;Totaal mannen en vrouwen;0 jaar;2021800;Waarde;2019/2022;83.6;69.1;76.2;75.7;61.9
50;Totaal mannen en vrouwen;0 jaar;2021800;Ondergrens 95%-interval;2017/2020;83.5;68.0;;;61.2
51;Totaal mannen en vrouwen;0 jaar;2021800;Ondergrens 95%-interval;2019/2022;83.5;68.4;;75.1;
52;Totaal mannen en vrouwen;0 jaar;2021800;Bovengrens 95%-interval;2017/2020;83.6;69.3;;;62.7
53;Totaal mannen en vrouwen;0 jaar;2021800;Bovengrens 95%-interval;2019/2022;83.6;69.8;;76.3;
