ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
0;Nederland;Totaal particulier huishouden;6714.4;29.0;20.2
1;Nederland;Eenpersoonshuishouden;2120.9;17.8;17.8
2;Nederland;Paar zonder kinderen;1984.7;31.8;23.2
3;Nederland;Paar met kinderen;1991.3;38.2;20.5
4;Nederland;Eenoudergezin;405.6;24.3;16.6
5;Noord-Nederland (LD);Totaal particulier huishouden;699.7;26.8;18.7
6;Noord-Nederland (LD);Eenpersoonshuishouden;212.6;16.6;16.6
7;Noord-Nederland (LD);Paar zonder kinderen;223.7;29.1;21.2
8;Noord-Nederland (LD);Paar met kinderen;209.6;34.7;18.6
9;Noord-Nederland (LD);Eenoudergezin;37.7;23.2;15.9
10;Oost-Nederland (LD);Totaal particulier huishouden;1349.9;28.9;19.7
11;Oost-Nederland (LD);Eenpersoonshuishouden;378.1;17.2;17.2
12;Oost-Nederland (LD);Paar zonder kinderen;407.4;30.7;22.4
13;Oost-Nederland (LD);Paar met kinderen;445.5;36.8;19.6
14;Oost-Nederland (LD);Eenoudergezin;72.9;24.6;16.7
15;West-Nederland (LD);Totaal particulier huishouden;3225.0;29.4;20.8
16;West-Nederland (LD);Eenpersoonshuishouden;1127.4;18.3;18.3
17;West-Nederland (LD);Paar zonder kinderen;895.0;33.4;24.4
18;West-Nederland (LD);Paar met kinderen;881.1;39.9;21.4
19;West-Nederland (LD);Eenoudergezin;217.3;24.0;16.5
20;Zuid-Nederland (LD);Totaal particulier huishouden;1439.7;29.3;20.1
21;Zuid-Nederland (LD);Eenpersoonshuishouden;402.7;17.4;17.4
22;Zuid-Nederland (LD);Paar zonder kinderen;458.7;30.9;22.6
23;Zuid-Nederland (LD);Paar met kinderen;455.1;37.9;20.4
24;Zuid-Nederland (LD);Eenoudergezin;77.7;25.0;17.1
25;Groningen (PV);Totaal particulier huishouden;240.2;25.9;18.4
26;Groningen (PV);Eenpersoonshuishouden;80.1;16.3;16.3
27;Groningen (PV);Paar zonder kinderen;75.1;28.7;21.0
28;Groningen (PV);Paar met kinderen;65.1;34.5;18.6
29;Groningen (PV);Eenoudergezin;14.3;22.3;15.4
30;Friesland (PV);Totaal particulier huishouden;262.9;26.7;18.5
31;Friesland (PV);Eenpersoonshuishouden;79.1;16.5;16.5
32;Friesland (PV);Paar zonder kinderen;82.4;28.8;21.0
33;Friesland (PV);Paar met kinderen;81.9;34.5;18.3
34;Friesland (PV);Eenoudergezin;14.0;23.7;16.1
35;Drenthe (PV);Totaal particulier huishouden;196.7;28.0;19.3
36;Drenthe (PV);Eenpersoonshuishouden;53.4;17.1;17.1
37;Drenthe (PV);Paar zonder kinderen;66.2;29.8;21.8
38;Drenthe (PV);Paar met kinderen;62.5;35.3;18.9
39;Drenthe (PV);Eenoudergezin;9.5;23.9;16.4
40;Overijssel (PV);Totaal particulier huishouden;432.7;28.2;19.1
