ID;Geslacht;Leeftijd;Migratieachtergrond;Generatie;Perioden;BevolkingOpDeEersteVanDeMaand_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 januari;16979120.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 februari;16983680.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 maart;16992010.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 april;16997917.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 mei;17003531.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 juni;17011291.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 juli;17018050.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 augustus;17022674.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 september;17042542.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 oktober;17062489.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 november;17072044.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2016 december;17079787.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 januari;17081507.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 februari;17083783.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 maart;17091456.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 april;17098835.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 mei;17104960.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 juni;17111589.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 juli;17116868.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 augustus;17120835.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 september;17140861.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 oktober;17162311.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 november;17172903.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2017 december;17180690.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 januari;17181084.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 februari;17185477.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;Totaal;2018 maart;17192306.0
