ID;Persoonskenmerken;Perioden;DaklozeMensen_1;DaklozeMensenRelatief_2
0;Totaal personen;2009;17.8;100.0
1;Totaal personen;2010;23.3;100.0
2;Totaal personen;2011;24.4;100.0
3;Totaal personen;2012;27.3;100.0
4;Totaal personen;2013;24.8;100.0
5;Totaal personen;2014;26.9;100.0
6;Totaal personen;2015;31.0;100.0
7;Totaal personen;2016;30.5;100.0
8;Totaal personen;2017;34.5;100.0
9;Totaal personen;2018;39.3;100.0
10;Totaal personen;2019;;
11;Totaal personen;2020;36.4;100.0
12;Totaal personen;2021;32.0;100.0
13;Geslacht: Mannen;2009;14.2;80.0
14;Geslacht: Mannen;2010;17.6;76.0
15;Geslacht: Mannen;2011;19.7;81.0
16;Geslacht: Mannen;2012;22.5;82.0
17;Geslacht: Mannen;2013;19.9;81.0
18;Geslacht: Mannen;2014;21.4;80.0
19;Geslacht: Mannen;2015;25.3;82.0
20;Geslacht: Mannen;2016;24.1;79.0
21;Geslacht: Mannen;2017;29.6;86.0
22;Geslacht: Mannen;2018;33.0;84.0
23;Geslacht: Mannen;2019;;
24;Geslacht: Mannen;2020;30.6;84.0
25;Geslacht: Mannen;2021;26.7;83.0
26;Geslacht: Vrouwen;2009;3.6;20.0
27;Geslacht: Vrouwen;2010;5.7;24.0
28;Geslacht: Vrouwen;2011;4.7;19.0
29;Geslacht: Vrouwen;2012;4.8;18.0
30;Geslacht: Vrouwen;2013;4.8;19.0
31;Geslacht: Vrouwen;2014;5.5;20.0
32;Geslacht: Vrouwen;2015;5.7;18.0
33;Geslacht: Vrouwen;2016;6.4;21.0
34;Geslacht: Vrouwen;2017;4.9;14.0
35;Geslacht: Vrouwen;2018;6.3;16.0
36;Geslacht: Vrouwen;2019;;
37;Geslacht: Vrouwen;2020;5.8;16.0
38;Geslacht: Vrouwen;2021;5.3;17.0
39;Leeftijd: 18 tot 27 jaar;2009;;
40;Leeftijd: 18 tot 27 jaar;2010;;
41;Leeftijd: 18 tot 27 jaar;2011;;
42;Leeftijd: 18 tot 27 jaar;2012;;
43;Leeftijd: 18 tot 27 jaar;2013;;
44;Leeftijd: 18 tot 27 jaar;2014;;
45;Leeftijd: 18 tot 27 jaar;2015;;
46;Leeftijd: 18 tot 27 jaar;2016;;
47;Leeftijd: 18 tot 27 jaar;2017;;
48;Leeftijd: 18 tot 27 jaar;2018;;
49;Leeftijd: 18 tot 27 jaar;2019;;
50;Leeftijd: 18 tot 27 jaar;2020;8.5;23.0
51;Leeftijd: 18 tot 27 jaar;2021;5.7;18.0
52;Leeftijd: 27 tot 50 jaar;2009;;
53;Leeftijd: 27 tot 50 jaar;2010;;
54;Leeftijd: 27 tot 50 jaar;2011;;
55;Leeftijd: 27 tot 50 jaar;2012;;
56;Leeftijd: 27 tot 50 jaar;2013;;
57;Leeftijd: 27 tot 50 jaar;2014;;
58;Leeftijd: 27 tot 50 jaar;2015;;
59;Leeftijd: 27 tot 50 jaar;2016;;
60;Leeftijd: 27 tot 50 jaar;2017;;
61;Leeftijd: 27 tot 50 jaar;2018;;
62;Leeftijd: 27 tot 50 jaar;2019;;
63;Leeftijd: 27 tot 50 jaar;2020;20.7;57.0
64;Leeftijd: 27 tot 50 jaar;2021;19.7;62.0
65;Leeftijd: 18 tot 30 jaar;2009;4.0;22.0
66;Leeftijd: 18 tot 30 jaar;2010;6.1;26.0
67;Leeftijd: 18 tot 30 jaar;2011;6.4;26.0
68;Leeftijd: 18 tot 30 jaar;2012;6.4;23.0
69;Leeftijd: 18 tot 30 jaar;2013;7.2;29.0
70;Leeftijd: 18 tot 30 jaar;2014;6.8;25.0
71;Leeftijd: 18 tot 30 jaar;2015;8.3;27.0
72;Leeftijd: 18 tot 30 jaar;2016;12.4;41.0
73;Leeftijd: 18 tot 30 jaar;2017;10.8;31.0
74;Leeftijd: 18 tot 30 jaar;2018;12.6;32.0
75;Leeftijd: 18 tot 30 jaar;2019;;
76;Leeftijd: 18 tot 30 jaar;2020;;
77;Leeftijd: 18 tot 30 jaar;2021;;
78;Leeftijd: 30 tot 50 jaar;2009;10.1;57.0
79;Leeftijd: 30 tot 50 jaar;2010;12.7;54.0
80;Leeftijd: 30 tot 50 jaar;2011;13.2;54.0
81;Leeftijd: 30 tot 50 jaar;2012;15.0;55.0
82;Leeftijd: 30 tot 50 jaar;2013;12.8;52.0
83;Leeftijd: 30 tot 50 jaar;2014;14.3;53.0
84;Leeftijd: 30 tot 50 jaar;2015;16.4;53.0
85;Leeftijd: 30 tot 50 jaar;2016;13.1;43.0
86;Leeftijd: 30 tot 50 jaar;2017;18.1;52.0
87;Leeftijd: 30 tot 50 jaar;2018;19.2;49.0
88;Leeftijd: 30 tot 50 jaar;2019;;
89;Leeftijd: 30 tot 50 jaar;2020;;
90;Leeftijd: 30 tot 50 jaar;2021;;
91;Leeftijd: 50 tot 65 jaar;2009;3.7;21.0
92;Leeftijd: 50 tot 65 jaar;2010;4.6;20.0
93;Leeftijd: 50 tot 65 jaar;2011;4.7;19.0
94;Leeftijd: 50 tot 65 jaar;2012;5.9;22.0
95;Leeftijd: 50 tot 65 jaar;2013;4.7;19.0
