ID;WOZWaardeklassen;Leeftijdsklassen;Huishoudens;Herkomst;RegioS;Perioden;TotaalBewoondeWoningen_1;BewoondeEigenWoningen_2;BewoondeCorporatiewoningen_3;BewoondeHuurwoningenOverig_4;BewoondeWoningenEigendomOnbekend_5
0;6;6;7;4;Nederland;2009;6640900.0;3748900.0;2113300.0;709000.0;69700.0
1;6;6;7;4;Nederland;2010;6746000.0;3787400.0;2160600.0;711800.0;86200.0
2;6;6;7;4;Nederland;2011;6801400.0;3841100.0;2156600.0;769100.0;34600.0
3;6;6;7;4;Nederland;2012;6848600.0;3847300.0;2148000.0;773600.0;79700.0
4;6;6;7;4;Noord-Nederland (LD);2009;693400.0;424800.0;203900.0;62300.0;2500.0
5;6;6;7;4;Noord-Nederland (LD);2010;704800.0;429200.0;207000.0;65700.0;2800.0
6;6;6;7;4;Noord-Nederland (LD);2011;707600.0;431900.0;205900.0;67500.0;2400.0
7;6;6;7;4;Noord-Nederland (LD);2012;710600.0;432000.0;205200.0;67400.0;6000.0
8;6;6;7;4;Oost-Nederland (LD);2009;1335300.0;806300.0;397900.0;125100.0;6000.0
9;6;6;7;4;Oost-Nederland (LD);2010;1359400.0;816400.0;402100.0;133600.0;7300.0
10;6;6;7;4;Oost-Nederland (LD);2011;1371600.0;824600.0;400300.0;139700.0;7000.0
11;6;6;7;4;Oost-Nederland (LD);2012;1382700.0;826600.0;398800.0;139900.0;17500.0
12;6;6;7;4;West-Nederland (LD);2009;3182600.0;1640000.0;1092400.0;393100.0;57100.0
13;6;6;7;4;West-Nederland (LD);2010;3231500.0;1657800.0;1125700.0;378700.0;69300.0
14;6;6;7;4;West-Nederland (LD);2011;3261200.0;1692800.0;1129800.0;418000.0;20700.0
15;6;6;7;4;West-Nederland (LD);2012;3283900.0;1695900.0;1124500.0;421700.0;41900.0
16;6;6;7;4;Zuid-Nederland (LD);2009;1429700.0;877800.0;419200.0;128600.0;4000.0
17;6;6;7;4;Zuid-Nederland (LD);2010;1450300.0;883900.0;425800.0;133800.0;6700.0
18;6;6;7;4;Zuid-Nederland (LD);2011;1461000.0;891800.0;420700.0;144000.0;4500.0
19;6;6;7;4;Zuid-Nederland (LD);2012;1471200.0;892800.0;419500.0;144600.0;14300.0
20;6;6;7;4;Groningen (PV);2009;236200.0;135200.0;74800.0;25700.0;500.0
21;6;6;7;4;Groningen (PV);2010;241100.0;136100.0;76400.0;27900.0;700.0
22;6;6;7;4;Groningen (PV);2011;241800.0;137500.0;76100.0;27800.0;500.0
