ID;Geslacht;Leeftijd;Herkomst;Perioden;Totaal_1;TotaalBestuursrecht_2;TotaalCivielRecht_3;TotaalStrafrecht_4;LichtAdviesTotaal_5;LichtAdviesBestuursrecht_6;LichtAdviesCivielRecht_7;LichtAdviesStrafrecht_8;MediationTotaal_9;MediationBestuursrecht_10;MediationCivielRecht_11;MediationStrafrecht_12;RegulierTotaal_13;RegulierBestuursrecht_14;RegulierCivielRecht_15;RegulierStrafrecht_16
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2007;209340;45510;127530;53050.0;;;;;;;;;;;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2008;215020;41810;134240;56650.0;;;;;;;;;;;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2009;209040;39900;138650;49100.0;;;;;;;;;;;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2010;202830;38300;136900;45040.0;;;;;;;;;;;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2011;194780;35990;130180;44730.0;;;;;;;;;;;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2012;210270;38350;141850;49120.0;8980.0;2690.0;5910.0;520.0;8250.0;30.0;8220.0;0.0;199420.0;36420.0;132160.0;48830.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2013;216460;40620;144110;51570.0;8580.0;2520.0;5650.0;540.0;10050.0;10.0;10040.0;0.0;204690.0;38920.0;133320.0;51290.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2014;217220;42890;138260;55380.0;9100.0;2360.0;6230.0;620.0;12860.0;10.0;12850.0;0.0;202490.0;41370.0;124380.0;55100.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2015;225400;43360;139710;60400.0;8680.0;2060.0;5980.0;730.0;15040.0;0.0;15030.0;0.0;208810.0;42020.0;123820.0;60120.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2016;223220;39360;140060;60550.0;7920.0;1660.0;5600.0;730.0;16950.0;10.0;16940.0;0.0;205220.0;38290.0;122620.0;60260.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2017;214730;36470;133820;59550.0;7110.0;1320.0;5060.0;780.0;17020.0;20.0;17000.0;0.0;196830.0;35630.0;116360.0;59260.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2018;218150;37530;134740;60970.0;7080.0;1440.0;4790.0;900.0;16890.0;10.0;16880.0;0.0;200390.0;36730.0;117490.0;60630.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2019;206720;35130;125780;59930.0;6710.0;1550.0;4270.0;940.0;15860.0;0.0;15850.0;0.0;189780.0;34220.0;109440.0;59660.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2020;199160;31670;123830;57100.0;6100.0;1460.0;3770.0;930.0;14110.0;0.0;14090.0;0.0;184200.0;30940.0;109290.0;56850.0
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2021;189680;31990;109780;60310.0;5980.0;1150.0;3560.0;1300.0;12250.0;0.0;12230.0;0.0;176220.0;31310.0;96940.0;59810.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal;2022;197600;32250;115710;62560.0;8640.0;2730.0;3370.0;2600.0;12740.0;0.0;12730.0;0.0;182760.0;30850.0;102670.0;61370.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2007;109480;11760;76620;28180.0;;;;;;;;;;;;
17;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2008;112340;11330;79300;29330.0;;;;;;;;;;;;
18;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2009;109300;10970;81250;24960.0;;;;;;;;;;;;
19;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2010;106410;10430;80590;22730.0;;;;;;;;;;;;
20;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2011;101710;9680;76610;22320.0;;;;;;;;;;;;
21;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2012;110630;11060;83220;24240.0;3940.0;760.0;3000.0;240.0;6070.0;20.0;6050.0;0.0;104070.0;10470.0;76990.0;24110.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2013;114550;12240;85460;25130.0;3820.0;700.0;2900.0;260.0;7500.0;10.0;7490.0;0.0;107010.0;11720.0;78210.0;24990.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2014;110160;11750;80280;25880.0;4060.0;570.0;3260.0;250.0;9540.0;0.0;9530.0;0.0;100470.0;11360.0;70740.0;25750.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2015;115420;11840;82470;28580.0;4160.0;590.0;3290.0;310.0;11150.0;0.0;11150.0;0.0;104100.0;11450.0;71310.0;28450.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2016;113150;11020;80480;28380.0;3830.0;510.0;3030.0;320.0;12510.0;10.0;12500.0;0.0;100580.0;10670.0;68060.0;28260.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2017;106940;9770;75780;27420.0;3360.0;380.0;2700.0;300.0;12500.0;10.0;12490.0;0.0;94400.0;9510.0;63350.0;27310.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2018;105070;8970;75150;26880.0;3160.0;340.0;2530.0;320.0;12280.0;10.0;12270.0;0.0;92780.0;8760.0;62940.0;26760.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2019;97660;8240;68990;25930.0;2880.0;300.0;2280.0;320.0;11370.0;0.0;11370.0;0.0;86190.0;8050.0;57590.0;25830.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2020;93140;7450;66460;24280.0;2590.0;300.0;1980.0;340.0;9870.0;0.0;9860.0;0.0;83120.0;7280.0;56470.0;24190.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2021;85350;6930;57470;25570.0;2600.0;300.0;1880.0;440.0;8150.0;0.0;8140.0;0.0;76770.0;6730.0;49060.0;25380.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Nederlandse achtergrond;2022;88460;6740;60060;26420.0;3260.0;450.0;1760.0;1100.0;8400.0;0.0;8390.0;0.0;79430.0;6470.0;51560.0;25880.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2007;99860;33750;50920;24870.0;;;;;;;;;;;;
33;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2008;102690;30480;54940;27320.0;;;;;;;;;;;;
34;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2009;99740;28920;57400;24140.0;;;;;;;;;;;;
35;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2010;96420;27870;56310;22310.0;;;;;;;;;;;;
36;Totaal mannen en vrouwen;Totaal leeftijd;Met migratieachtergrond;2011;93070;26310;53570;22410.0;;;;;;;;;;;;
