ID;KenmerkenVanPersonenEnHuishoudens;Perioden;Koopkrachtontwikkeling_1;k_10ePercentiel_2;k_25ePercentiel_3;k_50ePercentiel_4;k_75ePercentiel_5;k_90ePercentiel_6;PercentageVanDeBevolking_7;PercentageMetInkomensdaling_8
0;1;2001;5.0;-16;-2.8;5.0;15.1;32;100;32
1;1;2002;1.6;-19;-5.2;1.6;9.0;23;100;40
2;1;2003;0.1;-20;-6.4;0.1;6.8;19;100;49
3;1;2004;0.7;-18;-5.4;0.7;8.2;24;100;46
4;1;2005;-0.3;-19;-6.5;-0.3;7.7;23;100;52
5;1;2006;3.0;-16;-3.6;3.0;12.0;28;100;36
6;1;2007;3.1;-14;-2.4;3.1;11.6;29;100;33
7;1;2008;1.4;-17;-4.6;1.4;9.1;23;100;42
8;1;2009;1.9;-19;-5.2;1.9;9.1;23;100;41
9;1;2010;-0.5;-21;-7.5;-0.5;6.0;21;100;54
10;1;2011;-0.7;-19;-6.4;-0.7;6.2;21;100;54
11;1;2012;-1.1;-20;-7.3;-1.1;5.1;19;100;58
12;1;2013;-1.2;-20;-7.2;-1.2;5.7;21;100;56
13;1;2014;1.8;-17;-4.2;1.8;9.3;27;100;38
14;1;2015;1.1;-18;-4.4;1.1;7.9;22;100;42
15;22;2001;3.9;-10;-1.2;3.9;14.6;44;14;28
16;22;2002;1.7;-12;-1.3;1.7;9.0;33;14;30
17;22;2003;0.3;-13;-2.5;0.3;6.7;30;14;45
18;22;2004;0.4;-12;-2.7;0.4;7.1;32;15;46
19;22;2005;-0.8;-13;-3.8;-0.8;6.4;33;15;56
20;22;2006;2.6;-9;-1.1;2.6;11.6;39;15;30
21;22;2007;2.2;-9;-0.6;2.2;10.5;37;15;28
22;22;2008;1.0;-10;-2.0;1.0;9.3;34;15;41
23;22;2009;2.5;-13;-2.2;2.5;11.4;48;15;35
24;22;2010;-0.1;-16;-4.0;-0.1;8.3;47;16;52
25;22;2011;-1.0;-13;-3.7;-1.0;7.6;44;16;57
26;22;2012;-0.8;-15;-3.7;-0.8;6.6;38;16;57
27;22;2013;-1.0;-14;-4.7;-1.0;6.8;42;16;57
28;22;2014;2.0;-11;-1.0;2.0;10.6;46;16;30
29;22;2015;0.9;-14;-2.2;0.9;7.2;35;16;38
30;23;2001;5.6;-14;-1.2;5.6;18.9;50;6;28
31;23;2002;1.8;-17;-3.3;1.8;11.1;34;6;35
32;23;2003;0.4;-17;-4.5;0.4;8.7;31;6;46
33;23;2004;0.6;-17;-3.9;0.6;9.7;36;7;45
34;23;2005;-0.7;-17;-5.3;-0.7;9.6;37;7;54
35;23;2006;3.3;-12;-1.6;3.3;15.4;44;7;31
36;23;2007;2.8;-13;-1.7;2.8;14.0;42;7;31
37;23;2008;1.4;-13;-2.9;1.4;11.7;37;7;41
38;23;2009;2.8;-17;-3.3;2.8;13.6;51;7;35
39;23;2010;0.0;-19;-5.3;0.0;11.0;48;7;50
40;23;2011;-0.6;-17;-4.6;-0.6;10.1;46;7;53
41;23;2012;-0.7;-19;-5.1;-0.7;8.3;39;7;55
42;23;2013;-0.5;-18;-5.6;-0.5;8.7;43;7;53
