ID;Marges;Geslacht;Leeftijd;Perioden;TotaalMetArbeidsongeval_1;ArbeidsongevalZonderVerzuim_2;ArbeidsongevalMet1DagOfMeerVerzuim_3;ArbeidsongevalMet4DgnOfMeerVerzuim_4;LichamelijkLetsel_5;GeestelijkLetsel_6;OnderscheidNietTeMaken_7;OnbekendLetsel_8
0;Waarde;Totaal mannen en vrouwen;Totaal;2015;2.1;0.9;1.2;0.8;1.6;0.2;0.2;0.1
1;Waarde;Totaal mannen en vrouwen;Totaal;2017;2.1;0.9;1.2;0.7;1.7;0.1;0.2;0.0
2;Waarde;Totaal mannen en vrouwen;Totaal;2019;2.1;0.8;1.3;0.9;;;;
3;Waarde;Totaal mannen en vrouwen;Totaal;2021;1.8;0.8;1.1;0.7;;;;
4;Waarde;Totaal mannen en vrouwen;Totaal;2023;1.9;1.1;0.9;0.7;;;;
5;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2015;;;;;;;;
6;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2017;;;;;;;;
7;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2019;;;;;;;;
8;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2021;4.3;1.9;1.5;1.5;;;;
9;Waarde;Totaal mannen en vrouwen;15 tot 25 jaar;2023;4.5;2.8;1.8;1.8;;;;
10;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2015;1.6;1.1;0.8;0.5;1.6;0.0;0.0;0.0
11;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2017;3.4;1.1;2.2;1.0;3.3;0.0;0.1;0.0
12;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2019;2.6;0.9;1.8;1.2;;;;
13;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2021;2.1;0.3;1.8;1.2;;;;
14;Waarde;Totaal mannen en vrouwen;25 tot 35 jaar;2023;2.1;1.5;1.2;0.6;;;;
15;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2015;2.4;1.1;1.3;0.9;1.7;0.2;0.4;0.1
16;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2017;2.2;1.1;1.2;0.5;1.9;0.1;0.1;0.0
17;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2019;2.3;0.7;1.6;1.1;;;;
18;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2021;1.6;0.8;0.7;0.3;;;;
19;Waarde;Totaal mannen en vrouwen;35 tot 45 jaar;2023;1.4;0.8;0.5;0.3;;;;
20;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2015;2.1;1.0;0.9;0.8;1.5;0.3;0.2;0.1
21;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2017;2.1;1.1;1.0;0.8;1.5;0.2;0.3;0.0
22;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2019;2.0;0.9;1.1;0.8;;;;
23;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2021;2.2;1.3;1.1;0.7;;;;
24;Waarde;Totaal mannen en vrouwen;45 tot 55 jaar;2023;1.6;0.8;0.9;0.8;;;;
25;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2015;2.6;0.6;2.0;1.1;2.0;0.1;0.3;0.2
26;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2017;1.4;0.5;1.0;0.7;1.2;0.0;0.0;0.1
27;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2019;1.8;1.1;0.9;0.5;;;;
28;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2021;1.2;0.4;0.8;0.5;;;;
29;Waarde;Totaal mannen en vrouwen;55 tot 65 jaar;2023;2.4;1.3;1.1;0.7;;;;
30;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2015;1.0;0.7;0.3;0.3;0.7;0.2;0.0;0.0
31;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2017;1.2;0.8;0.4;0.3;0.5;0.1;0.4;0.2
32;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2019;1.3;0.3;1.1;0.7;;;;
33;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2021;1.6;0.5;1.3;1.0;;;;
34;Waarde;Totaal mannen en vrouwen;65 jaar of ouder;2023;1.7;0.7;0.8;0.7;;;;
35;Waarde;Mannen;Totaal;2015;2.8;1.3;1.5;1.0;2.2;0.1;0.3;0.1
36;Waarde;Mannen;Totaal;2017;2.5;1.2;1.4;0.7;2.2;0.1;0.1;0.1
37;Waarde;Mannen;Totaal;2019;2.4;1.0;1.5;1.0;;;;
38;Waarde;Mannen;Totaal;2021;2.2;0.9;1.2;0.8;;;;
39;Waarde;Mannen;Totaal;2023;2.3;1.3;1.1;0.8;;;;
