ID;MaatwerkvoorzieningenType;RegioS;Perioden;BegroteUitgaven_1;BegroteUitgavenPer1000Inwoners_2;GerealiseerdeUitgaven_3;GerealiseerdeUitgavenPer1000Inwoners_4
0;Totaal;Nederland;2017;;;4597228.0;269.0
1;Totaal;Nederland;2018;;;4940108.0;288.0
2;Totaal;Nederland;2019;;;5310362.0;307.0
3;Totaal;Nederland;2020;;;5598423.0;322.0
4;Totaal;Nederland;2021;;;5105237.0;292.0
5;Totaal;Nederland;2022;;;5114957.0;291.0
6;Totaal;Nederland;2023;;;5483969.0;308.0
7;Totaal;Aa en Hunze;2017;3899.0;154.0;3462.0;137.0
8;Totaal;Aa en Hunze;2018;3921.0;154.0;4321.0;170.0
9;Totaal;Aa en Hunze;2019;4872.0;192.0;5035.0;198.0
10;Totaal;Aa en Hunze;2020;5001.0;197.0;5662.0;223.0
11;Totaal;Aa en Hunze;2021;5398.0;213.0;5498.0;216.0
12;Totaal;Aa en Hunze;2022;5617.0;220.0;5710.0;223.0
13;Totaal;Aa en Hunze;2023;6748.0;262.0;6758.0;263.0
14;Totaal;Aalburg;2017;;;1538.0;118.0
15;Totaal;Aalburg;2018;;;1851.0;141.0
16;Totaal;Aalburg;2019;;;;
17;Totaal;Aalburg;2020;;;;
18;Totaal;Aalburg;2021;;;;
19;Totaal;Aalburg;2022;;;;
20;Totaal;Aalburg;2023;;;;
21;Totaal;Aalsmeer;2017;;;;
22;Totaal;Aalsmeer;2018;3009.0;96.0;2944.0;93.0
23;Totaal;Aalsmeer;2019;3265.0;103.0;3353.0;106.0
24;Totaal;Aalsmeer;2020;3556.0;112.0;3851.0;121.0
25;Totaal;Aalsmeer;2021;3947.0;123.0;4087.0;128.0
26;Totaal;Aalsmeer;2022;4575.0;141.0;4389.0;135.0
27;Totaal;Aalsmeer;2023;4606.0;139.0;5056.0;153.0
28;Totaal;Aalten;2017;5348.0;198.0;5514.0;204.0
29;Totaal;Aalten;2018;5512.0;204.0;5642.0;209.0
30;Totaal;Aalten;2019;6288.0;233.0;6776.0;251.0
31;Totaal;Aalten;2020;6877.0;254.0;6856.0;253.0
32;Totaal;Aalten;2021;6608.0;244.0;6584.0;243.0
33;Totaal;Aalten;2022;7344.0;271.0;6944.0;256.0
34;Totaal;Aalten;2023;7321.0;269.0;7320.0;269.0
35;Totaal;Achtkarspelen;2017;6877.0;247.0;6373.0;228.0
36;Totaal;Achtkarspelen;2018;5994.0;215.0;6897.0;247.0
37;Totaal;Achtkarspelen;2019;7700.0;276.0;8175.0;294.0
38;Totaal;Achtkarspelen;2020;9261.0;333.0;8478.0;304.0
39;Totaal;Achtkarspelen;2021;8277.0;297.0;7978.0;286.0
40;Totaal;Achtkarspelen;2022;8773.0;314.0;8470.0;303.0
41;Totaal;Achtkarspelen;2023;9531.0;339.0;8775.0;312.0
42;Totaal;Alblasserdam;2017;;;;
43;Totaal;Alblasserdam;2018;3372.0;168.0;3263.0;163.0
44;Totaal;Alblasserdam;2019;3543.0;177.0;3366.0;168.0
45;Totaal;Alblasserdam;2020;3946.0;196.0;3446.0;171.0
46;Totaal;Alblasserdam;2021;3762.0;187.0;3722.0;185.0
47;Totaal;Alblasserdam;2022;4045.0;201.0;3974.0;198.0
48;Totaal;Alblasserdam;2023;4217.0;207.0;4549.0;223.0
49;Totaal;Albrandswaard;2017;;;;
50;Totaal;Albrandswaard;2018;;;2546.0;101.0
51;Totaal;Albrandswaard;2019;2562.0;101.0;3054.0;121.0
52;Totaal;Albrandswaard;2020;2958.0;116.0;3354.0;131.0
53;Totaal;Albrandswaard;2021;3924.0;152.0;3562.0;138.0
