ID;CostToAcquireAndOwn;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3
0;Owner-occupiers Housing Expenditures;2010 1st quarter;86.4;;
1;Owner-occupiers Housing Expenditures;2010 2nd quarter;86.4;0.0;
2;Owner-occupiers Housing Expenditures;2010 3rd quarter;86.0;-0.4;
3;Owner-occupiers Housing Expenditures;2010 4th quarter;86.0;0.0;
4;Owner-occupiers Housing Expenditures;2010;86.2;;
5;Owner-occupiers Housing Expenditures;2011 1st quarter;86.7;0.8;0.4
6;Owner-occupiers Housing Expenditures;2011 2nd quarter;84.9;-2.1;-1.7
7;Owner-occupiers Housing Expenditures;2011 3rd quarter;81.8;-3.6;-4.9
8;Owner-occupiers Housing Expenditures;2011 4th quarter;81.1;-0.9;-5.7
9;Owner-occupiers Housing Expenditures;2011;83.6;-3.0;-3.0
10;Owner-occupiers Housing Expenditures;2012 1st quarter;78.7;-2.9;-9.2
11;Owner-occupiers Housing Expenditures;2012 2nd quarter;79.1;0.5;-6.8
12;Owner-occupiers Housing Expenditures;2012 3rd quarter;77.4;-2.2;-5.4
13;Owner-occupiers Housing Expenditures;2012 4th quarter;79.0;2.1;-2.5
14;Owner-occupiers Housing Expenditures;2012;78.6;-6.1;-6.1
15;Owner-occupiers Housing Expenditures;2013 1st quarter;78.0;-1.3;-0.9
16;Owner-occupiers Housing Expenditures;2013 2nd quarter;75.7;-3.0;-4.4
17;Owner-occupiers Housing Expenditures;2013 3rd quarter;76.2;0.8;-1.5
18;Owner-occupiers Housing Expenditures;2013 4th quarter;75.5;-1.0;-4.5
19;Owner-occupiers Housing Expenditures;2013;76.4;-2.8;-2.8
20;Owner-occupiers Housing Expenditures;2014 1st quarter;75.4;-0.1;-3.4
21;Owner-occupiers Housing Expenditures;2014 2nd quarter;75.5;0.2;-0.2
22;Owner-occupiers Housing Expenditures;2014 3rd quarter;75.9;0.5;-0.4
23;Owner-occupiers Housing Expenditures;2014 4th quarter;76.2;0.4;1.0
24;Owner-occupiers Housing Expenditures;2014;75.8;-0.8;-0.8
25;Owner-occupiers Housing Expenditures;2015 1st quarter;76.6;0.5;1.6
26;Owner-occupiers Housing Expenditures;2015 2nd quarter;77.5;1.2;2.6
27;Owner-occupiers Housing Expenditures;2015 3rd quarter;78.8;1.7;3.8
28;Owner-occupiers Housing Expenditures;2015 4th quarter;79.1;0.3;3.7
29;Owner-occupiers Housing Expenditures;2015;78.0;3.0;3.0
30;Owner-occupiers Housing Expenditures;2016 1st quarter;79.0;-0.1;3.1
31;Owner-occupiers Housing Expenditures;2016 2nd quarter;80.0;1.2;3.2
32;Owner-occupiers Housing Expenditures;2016 3rd quarter;81.1;1.3;2.9
33;Owner-occupiers Housing Expenditures;2016 4th quarter;82.0;1.2;3.7
34;Owner-occupiers Housing Expenditures;2016;80.5;3.2;3.2
35;Owner-occupiers Housing Expenditures;2017 1st quarter;83.1;1.3;5.1
36;Owner-occupiers Housing Expenditures;2017 2nd quarter;84.0;1.2;5.0
37;Owner-occupiers Housing Expenditures;2017 3rd quarter;84.9;1.0;4.7
38;Owner-occupiers Housing Expenditures;2017 4th quarter;86.9;2.4;6.0
39;Owner-occupiers Housing Expenditures;2017;84.7;5.2;5.2
40;Owner-occupiers Housing Expenditures;2018 1st quarter;88.1;1.4;6.1
41;Owner-occupiers Housing Expenditures;2018 2nd quarter;89.3;1.4;6.3
42;Owner-occupiers Housing Expenditures;2018 3rd quarter;91.4;2.4;7.7
43;Owner-occupiers Housing Expenditures;2018 4th quarter;91.9;0.5;5.7
44;Owner-occupiers Housing Expenditures;2018;90.2;6.4;6.4
45;Owner-occupiers Housing Expenditures;2019 1st quarter;93.8;2.1;6.5
46;Owner-occupiers Housing Expenditures;2019 2nd quarter;94.9;1.1;6.2
47;Owner-occupiers Housing Expenditures;2019 3rd quarter;95.6;0.8;4.6
48;Owner-occupiers Housing Expenditures;2019 4th quarter;96.6;1.0;5.1
49;Owner-occupiers Housing Expenditures;2019;95.2;5.6;5.6
50;Owner-occupiers Housing Expenditures;2020 1st quarter;97.7;1.2;4.1
51;Owner-occupiers Housing Expenditures;2020 2nd quarter;99.3;1.7;4.7
52;Owner-occupiers Housing Expenditures;2020 3rd quarter;101.4;2.1;6.0
53;Owner-occupiers Housing Expenditures;2020 4th quarter;101.6;0.2;5.2
54;Owner-occupiers Housing Expenditures;2020;100.0;5.0;5.0
55;Owner-occupiers Housing Expenditures;2021 1st quarter;104.0;2.4;6.5
56;Owner-occupiers Housing Expenditures;2021 2nd quarter;106.5;2.4;7.2
57;Owner-occupiers Housing Expenditures;2021 3rd quarter;108.1;1.5;6.6
58;Owner-occupiers Housing Expenditures;2021 4th quarter;110.8;2.5;9.1
59;Owner-occupiers Housing Expenditures;2021;107.4;7.3;7.3
60;Owner-occupiers Housing Expenditures;2022 1st quarter;114.0;2.9;9.6
61;Owner-occupiers Housing Expenditures;2022 2nd quarter;117.4;3.0;10.3
62;Owner-occupiers Housing Expenditures;2022 3rd quarter;119.5;1.8;10.5
63;Owner-occupiers Housing Expenditures;2022 4th quarter;119.9;0.3;8.2
64;Owner-occupiers Housing Expenditures;2022;117.7;9.6;9.6
65;Owner-occupiers Housing Expenditures;2023 1st quarter;123.0;2.6;7.9
66;Owner-occupiers Housing Expenditures;2023 2nd quarter;124.3;1.1;5.9
67;Owner-occupiers Housing Expenditures;2023 3rd quarter;124.8;0.4;4.5
68;Owner-occupiers Housing Expenditures;2023 4th quarter;125.8;0.8;5.0
69;Owner-occupiers Housing Expenditures;2023;124.5;5.8;5.8
70;Owner-occupiers Housing Expenditures;2024 1st quarter;127.2;1.1;3.5
71;Owner-occupiers Housing Expenditures;2024 2nd quarter;128.2;0.8;3.1
72;Owner-occupiers Housing Expenditures;2024 3rd quarter;130.6;1.9;4.6
73;Owner-occupiers Housing Expenditures;2024 4th quarter;132.3;1.2;5.1
74;Owner-occupiers Housing Expenditures;2024;129.6;4.1;4.1
75;Acquisition of dwellings total;2010 1st quarter;87.6;;
76;Acquisition of dwellings total;2010 2nd quarter;87.6;0.0;
77;Acquisition of dwellings total;2010 3rd quarter;87.3;-0.4;
78;Acquisition of dwellings total;2010 4th quarter;87.8;0.7;
79;Acquisition of dwellings total;2010;87.6;;
80;Acquisition of dwellings total;2011 1st quarter;88.4;0.6;0.8
81;Acquisition of dwellings total;2011 2nd quarter;85.9;-2.8;-1.9
82;Acquisition of dwellings total;2011 3rd quarter;81.5;-5.1;-6.6
83;Acquisition of dwellings total;2011 4th quarter;80.5;-1.2;-8.3
84;Acquisition of dwellings total;2011;84.1;-4.0;-4.0
85;Acquisition of dwellings total;2012 1st quarter;77.2;-4.2;-12.6
86;Acquisition of dwellings total;2012 2nd quarter;77.4;0.2;-9.9
87;Acquisition of dwellings total;2012 3rd quarter;75.2;-2.8;-7.7
88;Acquisition of dwellings total;2012 4th quarter;77.0;2.4;-4.4
89;Acquisition of dwellings total;2012;76.7;-8.8;-8.8
90;Acquisition of dwellings total;2013 1st quarter;75.8;-1.5;-1.7
91;Acquisition of dwellings total;2013 2nd quarter;73.8;-2.7;-4.6
92;Acquisition of dwellings total;2013 3rd quarter;74.3;0.7;-1.1
93;Acquisition of dwellings total;2013 4th quarter;73.5;-1.1;-4.5
94;Acquisition of dwellings total;2013;74.4;-3.1;-3.1
95;Acquisition of dwellings total;2014 1st quarter;72.6;-1.2;-4.2
96;Acquisition of dwellings total;2014 2nd quarter;73.1;0.6;-1.0
97;Acquisition of dwellings total;2014 3rd quarter;73.3;0.3;-1.3
98;Acquisition of dwellings total;2014 4th quarter;73.7;0.5;0.3
99;Acquisition of dwellings total;2014;73.2;-1.6;-1.6
100;Acquisition of dwellings total;2015 1st quarter;74.3;0.7;2.2
101;Acquisition of dwellings total;2015 2nd quarter;75.3;1.4;3.0
102;Acquisition of dwellings total;2015 3rd quarter;75.4;0.2;2.9
103;Acquisition of dwellings total;2015 4th quarter;75.2;-0.4;2.0
104;Acquisition of dwellings total;2015;75.1;2.6;2.6
105;Acquisition of dwellings total;2016 1st quarter;75.1;0.0;1.2
106;Acquisition of dwellings total;2016 2nd quarter;76.3;1.6;1.3
107;Acquisition of dwellings total;2016 3rd quarter;77.7;1.9;3.0
108;Acquisition of dwellings total;2016 4th quarter;78.8;1.4;4.8
109;Acquisition of dwellings total;2016;77.0;2.6;2.6
110;Acquisition of dwellings total;2017 1st quarter;80.0;1.5;6.4
111;Acquisition of dwellings total;2017 2nd quarter;81.0;1.3;6.1
112;Acquisition of dwellings total;2017 3rd quarter;82.3;1.6;5.8
113;Acquisition of dwellings total;2017 4th quarter;85.1;3.5;8.1
114;Acquisition of dwellings total;2017;82.1;6.7;6.7
115;Acquisition of dwellings total;2018 1st quarter;86.2;1.3;7.9
116;Acquisition of dwellings total;2018 2nd quarter;87.6;1.6;8.2
117;Acquisition of dwellings total;2018 3rd quarter;90.5;3.4;10.1
118;Acquisition of dwellings total;2018 4th quarter;91.0;0.5;6.9
119;Acquisition of dwellings total;2018;88.8;8.2;8.2
120;Acquisition of dwellings total;2019 1st quarter;92.6;1.7;7.4
121;Acquisition of dwellings total;2019 2nd quarter;94.0;1.5;7.3
122;Acquisition of dwellings total;2019 3rd quarter;95.1;1.2;5.1
123;Acquisition of dwellings total;2019 4th quarter;96.4;1.3;5.9
124;Acquisition of dwellings total;2019;94.5;6.4;6.4
125;Acquisition of dwellings total;2020 1st quarter;97.3;1.0;5.1
126;Acquisition of dwellings total;2020 2nd quarter;99.5;2.3;5.8
127;Acquisition of dwellings total;2020 3rd quarter;101.6;2.1;6.7
128;Acquisition of dwellings total;2020 4th quarter;101.6;0.1;5.5
129;Acquisition of dwellings total;2020;100.0;5.8;5.8
130;Acquisition of dwellings total;2021 1st quarter;104.5;2.8;7.4
131;Acquisition of dwellings total;2021 2nd quarter;107.8;3.1;8.4
132;Acquisition of dwellings total;2021 3rd quarter;110.0;2.1;8.3
133;Acquisition of dwellings total;2021 4th quarter;113.2;2.9;11.4
134;Acquisition of dwellings total;2021;108.9;8.9;8.9
135;Acquisition of dwellings total;2022 1st quarter;116.6;3.0;11.6
136;Acquisition of dwellings total;2022 2nd quarter;121.3;4.0;12.5
137;Acquisition of dwellings total;2022 3rd quarter;123.5;1.8;12.3
138;Acquisition of dwellings total;2022 4th quarter;123.4;-0.1;9.0
139;Acquisition of dwellings total;2022;121.2;11.3;11.3
140;Acquisition of dwellings total;2023 1st quarter;124.8;1.1;7.0
141;Acquisition of dwellings total;2023 2nd quarter;126.0;1.0;3.9
142;Acquisition of dwellings total;2023 3rd quarter;126.2;0.2;2.1
143;Acquisition of dwellings total;2023 4th quarter;127.3;0.9;3.2
144;Acquisition of dwellings total;2023;126.1;4.0;4.0
145;Acquisition of dwellings total;2024 1st quarter;127.4;0.1;2.1
146;Acquisition of dwellings total;2024 2nd quarter;128.6;0.9;2.1
147;Acquisition of dwellings total;2024 3rd quarter;131.2;2.1;4.0
148;Acquisition of dwellings total;2024 4th quarter;132.9;1.3;4.4
149;Acquisition of dwellings total;2024;130.0;3.1;3.1
150;Acquisition of new dwellings;2010 1st quarter;79.8;;
151;Acquisition of new dwellings;2010 2nd quarter;79.5;-0.4;
152;Acquisition of new dwellings;2010 3rd quarter;79.1;-0.5;
153;Acquisition of new dwellings;2010 4th quarter;80.7;2.0;
154;Acquisition of new dwellings;2010;79.8;;
155;Acquisition of new dwellings;2011 1st quarter;81.2;0.6;1.7
156;Acquisition of new dwellings;2011 2nd quarter;79.2;-2.4;-0.3
157;Acquisition of new dwellings;2011 3rd quarter;79.4;0.2;0.3
158;Acquisition of new dwellings;2011 4th quarter;78.3;-1.3;-3.0
159;Acquisition of new dwellings;2011;79.5;-0.3;-0.3
160;Acquisition of new dwellings;2012 1st quarter;74.0;-5.5;-8.8
161;Acquisition of new dwellings;2012 2nd quarter;74.9;1.2;-5.4
162;Acquisition of new dwellings;2012 3rd quarter;72.3;-3.6;-8.9
163;Acquisition of new dwellings;2012 4th quarter;75.7;4.8;-3.3
164;Acquisition of new dwellings;2012;74.2;-6.7;-6.7
165;Acquisition of new dwellings;2013 1st quarter;74.4;-1.7;0.5
166;Acquisition of new dwellings;2013 2nd quarter;72.0;-3.3;-4.0
167;Acquisition of new dwellings;2013 3rd quarter;72.9;1.3;0.9
168;Acquisition of new dwellings;2013 4th quarter;71.9;-1.5;-5.1
169;Acquisition of new dwellings;2013;72.8;-1.9;-1.9
170;Acquisition of new dwellings;2014 1st quarter;70.4;-2.0;-5.4
171;Acquisition of new dwellings;2014 2nd quarter;71.0;0.9;-1.3
172;Acquisition of new dwellings;2014 3rd quarter;71.3;0.4;-2.2
173;Acquisition of new dwellings;2014 4th quarter;71.6;0.4;-0.4
174;Acquisition of new dwellings;2014;71.1;-2.4;-2.4
175;Acquisition of new dwellings;2015 1st quarter;72.5;1.3;2.9
176;Acquisition of new dwellings;2015 2nd quarter;73.6;1.6;3.6
177;Acquisition of new dwellings;2015 3rd quarter;73.6;0.0;3.2
178;Acquisition of new dwellings;2015 4th quarter;73.1;-0.7;2.1
179;Acquisition of new dwellings;2015;73.2;3.0;3.0
180;Acquisition of new dwellings;2016 1st quarter;72.7;-0.5;0.3
181;Acquisition of new dwellings;2016 2nd quarter;73.9;1.7;0.4
182;Acquisition of new dwellings;2016 3rd quarter;75.5;2.1;2.6
183;Acquisition of new dwellings;2016 4th quarter;76.7;1.7;5.0
184;Acquisition of new dwellings;2016;74.7;2.0;2.0
185;Acquisition of new dwellings;2017 1st quarter;78.0;1.7;7.4
186;Acquisition of new dwellings;2017 2nd quarter;78.8;1.0;6.6
187;Acquisition of new dwellings;2017 3rd quarter;80.3;1.9;6.4
188;Acquisition of new dwellings;2017 4th quarter;84.1;4.7;9.6
189;Acquisition of new dwellings;2017;80.3;7.5;7.5
190;Acquisition of new dwellings;2018 1st quarter;85.1;1.3;9.1
191;Acquisition of new dwellings;2018 2nd quarter;86.1;1.1;9.2
192;Acquisition of new dwellings;2018 3rd quarter;89.6;4.1;11.6
193;Acquisition of new dwellings;2018 4th quarter;90.0;0.5;7.1
194;Acquisition of new dwellings;2018;87.7;9.2;9.2
195;Acquisition of new dwellings;2019 1st quarter;91.6;1.8;7.7
196;Acquisition of new dwellings;2019 2nd quarter;93.3;1.8;8.4
197;Acquisition of new dwellings;2019 3rd quarter;94.6;1.4;5.6
198;Acquisition of new dwellings;2019 4th quarter;96.2;1.6;6.8
199;Acquisition of new dwellings;2019;93.9;7.1;7.1
200;Acquisition of new dwellings;2020 1st quarter;96.7;0.6;5.5
201;Acquisition of new dwellings;2020 2nd quarter;99.6;3.0;6.7
202;Acquisition of new dwellings;2020 3rd quarter;102.1;2.5;7.8
203;Acquisition of new dwellings;2020 4th quarter;101.6;-0.4;5.7
204;Acquisition of new dwellings;2020;100.0;6.5;6.5
