ID;Geslacht;Opleidingsclusters;Vooropleiding;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na3Jaar_23;Na4Jaar_24;Na5Jaar_25;Na6Jaar_26;Na7Jaar_27;Na8Jaar_28;Na9Jaar_29;Na3Jaar_30;Na4Jaar_31;Na5Jaar_32;Na6Jaar_33;Na7Jaar_34;Na8Jaar_35;Na9Jaar_36;Na1Jaar_37;Na2Jaar_38;Na3Jaar_39;Na4Jaar_40;Na5Jaar_41;Na6Jaar_42;Na7Jaar_43;Na8Jaar_44;InJaar2_45;InJaar3_46;InJaar4_47;InJaar5_48;InJaar6_49;InJaar7_50;InJaar8_51;InJaar9_52;InJaar2_53;InJaar3_54;InJaar4_55;InJaar5_56;InJaar6_57;InJaar7_58;InJaar8_59;InJaar9_60;InJaar2_61;InJaar3_62;InJaar4_63;InJaar5_64;InJaar6_65;InJaar7_66;InJaar8_67;InJaar9_68;InJaar2_69;InJaar3_70;InJaar4_71;InJaar5_72;InJaar6_73;InJaar7_74;InJaar8_75;InJaar9_76;InJaar2_77;InJaar3_78;InJaar4_79;InJaar5_80;InJaar6_81;InJaar7_82;InJaar8_83;InJaar9_84
0;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 1995;57640.0;4.0;41.0;58.0;65.0;68.0;70.0;72.0;4.0;41.0;58.0;64.0;67.0;69.0;70.0;4.0;39.0;55.0;60.0;62.0;63.0;63.0;0.0;1.0;3.0;4.0;5.0;6.0;6.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;14.0;18.0;20.0;22.0;23.0;24.0;25.0;25.0;85.0;80.0;75.0;38.0;18.0;11.0;7.0;5.0;83.0;77.0;72.0;35.0;16.0;9.0;5.0;4.0;77.0;71.0;65.0;28.0;11.0;6.0;3.0;2.0;5.0;7.0;7.0;6.0;4.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
1;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 1996;61450.0;5.0;41.0;58.0;65.0;69.0;71.0;72.0;5.0;41.0;58.0;65.0;68.0;69.0;70.0;5.0;40.0;55.0;60.0;62.0;63.0;64.0;0.0;1.0;3.0;4.0;5.0;6.0;6.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;14.0;18.0;20.0;22.0;23.0;23.0;24.0;24.0;85.0;80.0;74.0;37.0;19.0;11.0;8.0;5.0;83.0;78.0;72.0;34.0;17.0;9.0;6.0;4.0;78.0;71.0;65.0;28.0;13.0;7.0;4.0;3.0;5.0;7.0;7.0;6.0;4.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;1.0;1.0
2;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 1997;61600.0;6.0;41.0;58.0;65.0;69.0;71.0;72.0;6.0;41.0;58.0;64.0;67.0;69.0;70.0;6.0;40.0;55.0;60.0;62.0;63.0;64.0;0.0;1.0;3.0;4.0;5.0;6.0;6.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;14.0;18.0;21.0;22.0;22.0;23.0;23.0;24.0;85.0;80.0;73.0;37.0;20.0;12.0;8.0;6.0;83.0;77.0;70.0;34.0;17.0;10.0;6.0;4.0;77.0;70.0;63.0;27.0;12.0;7.0;4.0;3.0;6.0;7.0;7.0;7.0;5.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
3;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 1998;63190.0;7.0;42.0;57.0;64.0;69.0;71.0;;7.0;42.0;57.0;64.0;67.0;69.0;;7.0;41.0;55.0;60.0;62.0;63.0;;0.0;1.0;2.0;4.0;5.0;6.0;;0.0;0.0;0.0;1.0;2.0;2.0;;15.0;20.0;21.0;22.0;22.0;22.0;23.0;24.0;84.0;78.0;72.0;36.0;20.0;13.0;8.0;5.0;82.0;75.0;68.0;33.0;17.0;11.0;7.0;4.0;77.0;69.0;61.0;27.0;12.0;7.0;4.0;3.0;5.0;7.0;7.0;7.0;5.0;4.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0
4;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 1999;68150.0;8.0;42.0;57.0;64.0;68.0;;;8.0;42.0;57.0;63.0;66.0;;;8.0;41.0;54.0;59.0;61.0;;;0.0;1.0;3.0;4.0;5.0;;;0.0;0.0;0.0;1.0;2.0;;;16.0;20.0;21.0;22.0;22.0;23.0;23.0;;83.0;78.0;70.0;37.0;21.0;13.0;9.0;;81.0;74.0;67.0;33.0;18.0;11.0;7.0;;75.0;67.0;59.0;26.0;12.0;7.0;4.0;;6.0;7.0;8.0;7.0;6.0;4.0;3.0;;2.0;3.0;3.0;3.0;3.0;2.0;2.0;
5;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 2000;69150.0;8.0;41.0;56.0;64.0;;;;8.0;41.0;56.0;62.0;;;;8.0;40.0;53.0;57.0;;;;0.0;1.0;3.0;5.0;;;;0.0;0.0;1.0;2.0;;;;16.0;20.0;21.0;21.0;22.0;22.0;;;84.0;78.0;71.0;38.0;22.0;14.0;;;81.0;74.0;67.0;34.0;19.0;12.0;;;75.0;66.0;58.0;26.0;13.0;7.0;;;7.0;8.0;9.0;8.0;6.0;5.0;;;2.0;4.0;4.0;4.0;3.0;2.0;;
6;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 2001;67220.0;10.0;42.0;57.0;;;;;10.0;41.0;56.0;;;;;10.0;40.0;53.0;;;;;0.0;1.0;3.0;;;;;0.0;1.0;1.0;;;;;16.0;19.0;20.0;21.0;22.0;;;;83.0;78.0;70.0;38.0;21.0;;;;80.0;75.0;66.0;34.0;18.0;;;;74.0;66.0;57.0;26.0;12.0;;;;6.0;8.0;9.0;8.0;6.0;;;;2.0;3.0;4.0;3.0;3.0;;;
7;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 2002;66690.0;9.0;42.0;;;;;;9.0;41.0;;;;;;9.0;41.0;;;;;;0.0;1.0;;;;;;0.0;1.0;;;;;;13.0;17.0;18.0;20.0;;;;;85.0;80.0;72.0;38.0;;;;;83.0;77.0;69.0;35.0;;;;;75.0;67.0;59.0;26.0;;;;;8.0;9.0;9.0;9.0;;;;;2.0;3.0;4.0;3.0;;;;
8;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 2003;72630.0;10.0;;;;;;;9.0;;;;;;;9.0;;;;;;;0.0;;;;;;;0.0;;;;;;;13.0;17.0;19.0;;;;;;86.0;80.0;72.0;;;;;;84.0;77.0;68.0;;;;;;76.0;68.0;59.0;;;;;;8.0;9.0;9.0;;;;;;2.0;3.0;3.0;;;;;
9;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 2004;76160.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;18.0;;;;;;;86.0;80.0;;;;;;;84.0;77.0;;;;;;;76.0;67.0;;;;;;;8.0;9.0;;;;;;;2.0;3.0;;;;;;
10;Totaal mannen en vrouwen;0;Totaal vooropleidingen;Cohort 2005;76900.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.0;;;;;;;;85.0;;;;;;;;83.0;;;;;;;;74.0;;;;;;;;9.0;;;;;;;;2.0;;;;;;;
11;Totaal mannen en vrouwen;0;MBO;Cohort 1995;14620.0;6.0;44.0;60.0;65.0;67.0;69.0;69.0;6.0;44.0;60.0;65.0;67.0;68.0;69.0;6.0;43.0;58.0;62.0;63.0;64.0;65.0;0.0;1.0;2.0;3.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;17.0;22.0;24.0;26.0;27.0;28.0;28.0;28.0;82.0;77.0;69.0;30.0;13.0;7.0;4.0;3.0;82.0;76.0;69.0;29.0;12.0;6.0;4.0;3.0;78.0;72.0;64.0;25.0;9.0;5.0;3.0;2.0;3.0;4.0;5.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
12;Totaal mannen en vrouwen;0;MBO;Cohort 1996;15750.0;8.0;43.0;58.0;64.0;66.0;67.0;68.0;8.0;43.0;58.0;63.0;66.0;67.0;68.0;8.0;42.0;56.0;60.0;62.0;63.0;63.0;0.0;1.0;3.0;3.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;23.0;25.0;27.0;28.0;28.0;29.0;29.0;82.0;76.0;66.0;30.0;14.0;8.0;5.0;4.0;81.0;76.0;66.0;29.0;13.0;7.0;5.0;4.0;78.0;70.0;61.0;25.0;11.0;6.0;4.0;3.0;4.0;5.0;5.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
13;Totaal mannen en vrouwen;0;MBO;Cohort 1997;16070.0;13.0;46.0;59.0;64.0;67.0;68.0;69.0;13.0;46.0;59.0;64.0;66.0;67.0;68.0;13.0;45.0;57.0;61.0;63.0;64.0;64.0;0.0;1.0;2.0;3.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;18.0;23.0;25.0;27.0;27.0;28.0;28.0;28.0;82.0;76.0;62.0;28.0;13.0;8.0;5.0;4.0;81.0;76.0;61.0;27.0;13.0;7.0;5.0;3.0;77.0;71.0;56.0;23.0;10.0;6.0;4.0;2.0;4.0;5.0;5.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0
