ID;Persoonskenmerken;RegioS;Perioden;TotaalJongerenMetJeugdzorgInNatura_1;TotaalJeugdhulpZonderVerblijf_2;AlleenJeugdhulpZonderVerblijf_3;JHzvEnJeugdhulpMetVerblijf_4;JHzvEnJeugdbeschermingJB_5;JHzvEnJeugdreclasseringJR_6;JHzvEnJBEnJR_7;JHzvEnAndereJeugdzorg_8;TotaalJeugdhulpMetVerblijf_9;AlleenJeugdhulpMetVerblijf_10;JHmvEnJeugdhulpZonderVerblijf_11;JHmvEnJeugdbeschermingJB_12;JHmvEnJeugdreclasseringJR_13;JHmvEnJBEnJR_14;JHmvEnAndereJeugdzorg_15;TotaalJeugdbescherming_16;AlleenJeugdbescherming_17;JBEnJeugdhulp_18;JBEnJeugdreclasseringJR_19;JBEnJeugdhulpEnJR_20;JBEnAndereJeugdzorg_21;TotaalJeugdreclassering_22;AlleenJeugdreclassering_23;JREnJeugdhulp_24;JREnJeugdbeschermingJB_25;JREnJeugdhulpEnJB_26;JREnAndereJeugdzorg_27
0;Totaal;Nederland;1e kwartaal 2015;264730;230695.0;205660.0;7760.0;7255.0;1625.0;395.0;8005.0;32970.0;7670.0;7760.0;9155.0;205.0;180.0;8005.0;36215.0;11195.0;23850.0;325.0;840.0;;8595.0;5305.0;2125.0;325.0;840.0;
1;Totaal;Nederland;1e halfjaar 2015;303345;269765.0;240035.0;9360.0;8380.0;1985.0;480.0;9520.0;35710.0;7610.0;9360.0;8800.0;210.0;205.0;9520.0;38190.0;10865.0;25915.0;345.0;1070.0;;9560.0;5550.0;2600.0;345.0;1070.0;
2;Totaal;Nederland;2e halfjaar 2015;324430;293460.0;262225.0;10320.0;8340.0;2250.0;430.0;9900.0;36180.0;7365.0;10320.0;8195.0;215.0;185.0;9900.0;36440.0;9595.0;25585.0;240.0;1020.0;;9340.0;5175.0;2905.0;240.0;1020.0;
3;Totaal;Nederland;2015;365900;332645.0;295020.0;12070.0;10165.0;2600.0;590.0;12200.0;40505.0;7500.0;12070.0;8290.0;220.0;225.0;12200.0;41950.0;10750.0;29405.0;350.0;1445.0;;11150.0;5920.0;3440.0;350.0;1445.0;
4;Totaal;Nederland;1e halfjaar 2016;328210;293190.0;265410.0;9410.0;7960.0;2250.0;365.0;7790.0;38345.0;10260.0;9410.0;10365.0;265.0;245.0;7790.0;35200.0;8605.0;25420.0;215.0;955.0;;9100.0;5055.0;2870.0;215.0;955.0;
5;Totaal;Nederland;2e halfjaar 2016;345220;311555.0;281760.0;10300.0;8410.0;2425.0;365.0;8290.0;39565.0;10540.0;10300.0;9950.0;255.0;225.0;8290.0;34935.0;7915.0;25885.0;190.0;945.0;;8820.0;4590.0;3090.0;190.0;945.0;
6;Totaal;Nederland;2016;392960;358125.0;321455.0;12650.0;10030.0;2865.0;470.0;10655.0;43790.0;10075.0;12650.0;9895.0;255.0;270.0;10655.0;39680.0;8720.0;29385.0;230.0;1345.0;;10680.0;5400.0;3705.0;230.0;1345.0;
7;Totaal;Nederland;1e halfjaar 2017;348035;315080.0;283430.0;11285.0;9045.0;2350.0;360.0;8610.0;40805.0;10785.0;11285.0;9620.0;300.0;210.0;8610.0;35100.0;7445.0;26555.0;220.0;885.0;;8530.0;4375.0;3055.0;220.0;885.0;
8;Totaal;Nederland;2e halfjaar 2017;359880;327825.0;294670.0;12060.0;9420.0;2365.0;355.0;8955.0;41540.0;10815.0;12060.0;9220.0;310.0;175.0;8955.0;35105.0;7210.0;26855.0;190.0;850.0;;8270.0;4125.0;3100.0;190.0;850.0;
9;Totaal;Nederland;2017;412265;379790.0;339065.0;14710.0;11110.0;2975.0;480.0;11450.0;46185.0;10355.0;14710.0;9130.0;315.0;220.0;11450.0;39455.0;7475.0;30520.0;215.0;1235.0;;10135.0;4755.0;3930.0;215.0;1235.0;
10;Totaal;Noord-Nederland (LD);1e kwartaal 2015;32880;29350.0;26480.0;770.0;945.0;220.0;30.0;910.0;3570.0;785.0;770.0;1055.0;35.0;15.0;910.0;4035.0;1125.0;2825.0;10.0;75.0;;895.0;500.0;305.0;10.0;75.0;
11;Totaal;Noord-Nederland (LD);1e halfjaar 2015;36710;33235.0;29880.0;930.0;1030.0;260.0;35.0;1105.0;3875.0;770.0;930.0;1025.0;35.0;15.0;1105.0;4230.0;1090.0;3035.0;15.0;90.0;;1010.0;530.0;375.0;15.0;90.0;
12;Totaal;Noord-Nederland (LD);2e halfjaar 2015;38320;35050.0;31485.0;1050.0;1055.0;280.0;30.0;1150.0;3985.0;730.0;1050.0;1005.0;35.0;20.0;1150.0;4180.0;1005.0;3075.0;10.0;90.0;;975.0;465.0;410.0;10.0;90.0;
13;Totaal;Noord-Nederland (LD);2015;42355;38870.0;34710.0;1210.0;1200.0;315.0;45.0;1390.0;4425.0;780.0;1210.0;990.0;35.0;25.0;1390.0;4620.0;1080.0;3395.0;15.0;130.0;;1185.0;565.0;475.0;15.0;130.0;
14;Totaal;Noord-Nederland (LD);1e halfjaar 2016;35360;31720.0;28325.0;1090.0;960.0;270.0;25.0;1045.0;4460.0;1075.0;1090.0;1175.0;50.0;20.0;1045.0;4040.0;870.0;3070.0;15.0;85.0;;925.0;430.0;395.0;15.0;85.0;
15;Totaal;Noord-Nederland (LD);2e halfjaar 2016;36080;32450.0;28880.0;1180.0;975.0;305.0;20.0;1095.0;4595.0;1105.0;1180.0;1155.0;40.0;20.0;1095.0;4075.0;875.0;3100.0;20.0;80.0;;945.0;415.0;430.0;20.0;80.0;
16;Totaal;Noord-Nederland (LD);2016;40530;36855.0;32605.0;1390.0;1140.0;340.0;30.0;1350.0;5055.0;1100.0;1390.0;1150.0;40.0;25.0;1350.0;4475.0;875.0;3465.0;15.0;120.0;;1095.0;465.0;500.0;15.0;120.0;
17;Totaal;Noord-Nederland (LD);1e halfjaar 2017;40690;37415.0;33155.0;1500.0;1155.0;355.0;30.0;1225.0;4955.0;1140.0;1500.0;1035.0;45.0;10.0;1225.0;4040.0;675.0;3285.0;;70.0;;930.0;360.0;495.0;;70.0;
18;Totaal;Noord-Nederland (LD);2e halfjaar 2017;42185;39035.0;34545.0;1645.0;1200.0;355.0;30.0;1260.0;5105.0;1185.0;1645.0;970.0;40.0;;1260.0;3985.0;615.0;3300.0;10.0;65.0;;895.0;325.0;500.0;10.0;65.0;
19;Totaal;Noord-Nederland (LD);2017;46580;43380.0;38165.0;1880.0;1335.0;420.0;40.0;1540.0;5570.0;1145.0;1880.0;950.0;40.0;10.0;1540.0;4395.0;660.0;3630.0;;100.0;;1105.0;390.0;610.0;;100.0;
20;Totaal;Oost-Nederland (LD);1e kwartaal 2015;56230;48180.0;42380.0;2215.0;1535.0;285.0;40.0;1725.0;8115.0;1705.0;2215.0;2405.0;35.0;30.0;1725.0;8420.0;2690.0;5565.0;55.0;115.0;;1675.0;1125.0;380.0;55.0;115.0;
21;Totaal;Oost-Nederland (LD);1e halfjaar 2015;64045;56020.0;49230.0;2590.0;1775.0;350.0;55.0;2020.0;8765.0;1745.0;2590.0;2330.0;35.0;40.0;2020.0;8840.0;2645.0;5990.0;50.0;155.0;;1845.0;1170.0;470.0;50.0;155.0;
22;Totaal;Oost-Nederland (LD);2e halfjaar 2015;68830;61205.0;54130.0;2790.0;1725.0;400.0;55.0;2105.0;9005.0;1810.0;2790.0;2215.0;55.0;30.0;2105.0;8490.0;2410.0;5880.0;40.0;160.0;;1810.0;1060.0;550.0;40.0;160.0;
23;Totaal;Oost-Nederland (LD);2015;77010;68945.0;60490.0;3230.0;2085.0;465.0;65.0;2600.0;9905.0;1730.0;3230.0;2255.0;45.0;45.0;2600.0;9680.0;2695.0;6705.0;55.0;225.0;;2160.0;1245.0;635.0;55.0;225.0;
24;Totaal;Oost-Nederland (LD);1e halfjaar 2016;68775;60050.0;54070.0;2310.0;1590.0;380.0;40.0;1660.0;9405.0;2615.0;2310.0;2705.0;65.0;50.0;1660.0;8180.0;2175.0;5830.0;35.0;140.0;;1775.0;1080.0;515.0;35.0;140.0;
25;Totaal;Oost-Nederland (LD);2e halfjaar 2016;72655;64220.0;57770.0;2510.0;1690.0;395.0;55.0;1805.0;9835.0;2785.0;2510.0;2625.0;65.0;50.0;1805.0;8075.0;1910.0;5985.0;25.0;150.0;;1700.0;975.0;545.0;25.0;150.0;
26;Totaal;Oost-Nederland (LD);2016;81665;72845.0;64895.0;3105.0;2005.0;475.0;65.0;2305.0;10840.0;2665.0;3105.0;2635.0;65.0;65.0;2305.0;9155.0;2175.0;6730.0;35.0;210.0;;2090.0;1170.0;675.0;35.0;210.0;
27;Totaal;Oost-Nederland (LD);1e halfjaar 2017;72655;64010.0;57300.0;2635.0;1710.0;355.0;55.0;1960.0;10455.0;3110.0;2635.0;2600.0;100.0;50.0;1960.0;8110.0;1795.0;6120.0;35.0;160.0;;1695.0;955.0;550.0;35.0;160.0;
28;Totaal;Oost-Nederland (LD);2e halfjaar 2017;75395;66890.0;59850.0;2795.0;1840.0;395.0;45.0;1960.0;10555.0;3155.0;2795.0;2490.0;105.0;50.0;1960.0;8095.0;1755.0;6165.0;30.0;150.0;;1675.0;925.0;580.0;30.0;150.0;
29;Totaal;Oost-Nederland (LD);2017;85510;76865.0;68165.0;3500.0;2125.0;480.0;60.0;2530.0;11800.0;3080.0;3500.0;2515.0;110.0;60.0;2530.0;9000.0;1810.0;6945.0;30.0;215.0;;2010.0;1040.0;725.0;30.0;215.0;
30;Totaal;West-Nederland (LD);1e kwartaal 2015;121305;105225.0;94415.0;3130.0;3140.0;830.0;255.0;3455.0;14710.0;3745.0;3130.0;4185.0;95.0;95.0;3455.0;16320.0;5115.0;10520.0;190.0;490.0;;4375.0;2650.0;1045.0;190.0;490.0;
31;Totaal;West-Nederland (LD);1e halfjaar 2015;140405;124585.0;111580.0;3865.0;3640.0;1040.0;300.0;4160.0;15935.0;3690.0;3865.0;4030.0;90.0;100.0;4160.0;17235.0;4955.0;11465.0;210.0;605.0;;4850.0;2745.0;1295.0;210.0;605.0;
