ID;Geslacht;Persoonskenmerken;Arbeidspositie;LevenLangOntwikkelen;Perioden;Bevolking15Tot75Jaar_1
0;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2013;12638
1;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2014;12665
2;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2015;12685
3;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2016;12768
4;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2017;12870
5;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2018;12936
6;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2019;13015
7;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2020;13094
8;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2021;13147
9;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2022;13228
10;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2023;13326
11;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Totaal;2024;13388
12;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2013;3255
13;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2014;3300
14;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2015;3405
15;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2016;3404
16;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2017;3456
17;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2018;3471
18;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2019;3547
19;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2020;3490
20;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2021;4298
21;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2022;4291
22;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2023;4311
23;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Deelname leven lang ontwikkelen;2024;4330
24;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2013;2142
25;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2014;2129
26;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2015;2160
27;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2016;2157
28;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2017;2199
29;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2018;2237
30;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2019;2294
31;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2020;2309
32;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2021;2439
33;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2022;2468
34;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2023;2473
35;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt formeel onderwijs;2024;2424
36;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2013;1113
37;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2014;1171
38;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2015;1245
39;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2016;1246
40;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2017;1257
41;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2018;1234
42;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2019;1253
43;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2020;1181
44;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2021;1859
45;Totaal mannen en vrouwen;Totaal personen;Beroeps- en niet beroepsbevolking;Volgt niet-formeel onderwijs;2022;1822
