ID;Providers;Financing;Periods;ExpenditureOnHealthAndSocialCare_1
0;Total health and social care providers;Total financ schemes health,social care;1998;39380.0
1;Total health and social care providers;Total financ schemes health,social care;1999;42394.0
2;Total health and social care providers;Total financ schemes health,social care;2000;45361.0
3;Total health and social care providers;Total financ schemes health,social care;2001;50767.0
4;Total health and social care providers;Total financ schemes health,social care;2002;56663.0
5;Total health and social care providers;Total financ schemes health,social care;2003;60888.0
6;Total health and social care providers;Total financ schemes health,social care;2004;63003.0
7;Total health and social care providers;Total financ schemes health,social care;2005;65424.0
8;Total health and social care providers;Total financ schemes health,social care;2006;68495.0
9;Total health and social care providers;Total financ schemes health,social care;2007;72713.0
10;Total health and social care providers;Total financ schemes health,social care;2008;77705.0
11;Total health and social care providers;Total financ schemes health,social care;2009;82298.0
12;Total health and social care providers;Total financ schemes health,social care;2010;85790.0
13;Total health and social care providers;Total financ schemes health,social care;2011;88125.0
14;Total health and social care providers;Total financ schemes health,social care;2012;90622.0
15;Total health and social care providers;Total financ schemes health,social care;2013;90954.0
16;Total health and social care providers;Total financ schemes health,social care;2014;91927.0
17;Total health and social care providers;Total financ schemes health,social care;2015;92323.0
18;Total health and social care providers;Total financ schemes health,social care;2016;94842.0
19;Total health and social care providers;Total financ schemes health,social care;2017;96972.0
20;Total health and social care providers;Total financ schemes health,social care;2018;101031.0
21;Total health and social care providers;Total financ schemes health,social care;2019;107429.0
22;Total health and social care providers;Total financ schemes health,social care;2020;116306.0
23;Total health and social care providers;Total financ schemes health,social care;2021;124691.0
24;Total health and social care providers;Total financ schemes health,social care;2022;126197.0
25;Total health and social care providers;Total financing of residents;1998;39258.0
26;Total health and social care providers;Total financing of residents;1999;42269.0
27;Total health and social care providers;Total financing of residents;2000;45232.0
28;Total health and social care providers;Total financing of residents;2001;50632.0
29;Total health and social care providers;Total financing of residents;2002;56498.0
30;Total health and social care providers;Total financing of residents;2003;60730.0
31;Total health and social care providers;Total financing of residents;2004;62840.0
32;Total health and social care providers;Total financing of residents;2005;65253.0
33;Total health and social care providers;Total financing of residents;2006;68330.0
34;Total health and social care providers;Total financing of residents;2007;72549.0
35;Total health and social care providers;Total financing of residents;2008;77539.0
36;Total health and social care providers;Total financing of residents;2009;82116.0
37;Total health and social care providers;Total financing of residents;2010;85599.0
38;Total health and social care providers;Total financing of residents;2011;87921.0
39;Total health and social care providers;Total financing of residents;2012;90410.0
40;Total health and social care providers;Total financing of residents;2013;90748.0
41;Total health and social care providers;Total financing of residents;2014;91731.0
42;Total health and social care providers;Total financing of residents;2015;92115.0
43;Total health and social care providers;Total financing of residents;2016;94634.0
44;Total health and social care providers;Total financing of residents;2017;96761.0
45;Total health and social care providers;Total financing of residents;2018;100813.0
46;Total health and social care providers;Total financing of residents;2019;107199.0
47;Total health and social care providers;Total financing of residents;2020;116081.0
48;Total health and social care providers;Total financing of residents;2021;124469.0
49;Total health and social care providers;Total financing of residents;2022;125946.0
50;Total health and social care providers;HF1: Government, comp. contr. schemes;1998;28411.0
51;Total health and social care providers;HF1: Government, comp. contr. schemes;1999;30369.0
52;Total health and social care providers;HF1: Government, comp. contr. schemes;2000;32621.0
53;Total health and social care providers;HF1: Government, comp. contr. schemes;2001;36792.0
54;Total health and social care providers;HF1: Government, comp. contr. schemes;2002;40953.0
55;Total health and social care providers;HF1: Government, comp. contr. schemes;2003;44000.0
56;Total health and social care providers;HF1: Government, comp. contr. schemes;2004;44569.0
57;Total health and social care providers;HF1: Government, comp. contr. schemes;2005;46636.0
58;Total health and social care providers;HF1: Government, comp. contr. schemes;2006;57297.0
59;Total health and social care providers;HF1: Government, comp. contr. schemes;2007;61620.0
60;Total health and social care providers;HF1: Government, comp. contr. schemes;2008;65111.0
61;Total health and social care providers;HF1: Government, comp. contr. schemes;2009;69430.0
62;Total health and social care providers;HF1: Government, comp. contr. schemes;2010;72396.0
63;Total health and social care providers;HF1: Government, comp. contr. schemes;2011;73646.0
64;Total health and social care providers;HF1: Government, comp. contr. schemes;2012;74998.0
65;Total health and social care providers;HF1: Government, comp. contr. schemes;2013;74394.0
66;Total health and social care providers;HF1: Government, comp. contr. schemes;2014;75304.0
67;Total health and social care providers;HF1: Government, comp. contr. schemes;2015;75763.0
68;Total health and social care providers;HF1: Government, comp. contr. schemes;2016;77812.0
69;Total health and social care providers;HF1: Government, comp. contr. schemes;2017;79985.0
70;Total health and social care providers;HF1: Government, comp. contr. schemes;2018;83710.0
71;Total health and social care providers;HF1: Government, comp. contr. schemes;2019;89613.0
72;Total health and social care providers;HF1: Government, comp. contr. schemes;2020;99458.0
73;Total health and social care providers;HF1: Government, comp. contr. schemes;2021;106450.0
74;Total health and social care providers;HF1: Government, comp. contr. schemes;2022;106967.0
75;Total health and social care providers;HF11: Government schemes;1998;5481.0
76;Total health and social care providers;HF11: Government schemes;1999;6132.0
77;Total health and social care providers;HF11: Government schemes;2000;6604.0
78;Total health and social care providers;HF11: Government schemes;2001;7516.0
79;Total health and social care providers;HF11: Government schemes;2002;8060.0
80;Total health and social care providers;HF11: Government schemes;2003;8380.0
81;Total health and social care providers;HF11: Government schemes;2004;8136.0
82;Total health and social care providers;HF11: Government schemes;2005;8934.0
83;Total health and social care providers;HF11: Government schemes;2006;9327.0
84;Total health and social care providers;HF11: Government schemes;2007;12519.0
85;Total health and social care providers;HF11: Government schemes;2008;13639.0
86;Total health and social care providers;HF11: Government schemes;2009;14974.0
87;Total health and social care providers;HF11: Government schemes;2010;15393.0
88;Total health and social care providers;HF11: Government schemes;2011;15260.0
89;Total health and social care providers;HF11: Government schemes;2012;14674.0
90;Total health and social care providers;HF11: Government schemes;2013;13078.0
91;Total health and social care providers;HF11: Government schemes;2014;12944.0
92;Total health and social care providers;HF11: Government schemes;2015;17159.0
93;Total health and social care providers;HF11: Government schemes;2016;17935.0
94;Total health and social care providers;HF11: Government schemes;2017;18478.0
95;Total health and social care providers;HF11: Government schemes;2018;19647.0
96;Total health and social care providers;HF11: Government schemes;2019;21082.0
97;Total health and social care providers;HF11: Government schemes;2020;27291.0
98;Total health and social care providers;HF11: Government schemes;2021;30164.0
99;Total health and social care providers;HF11: Government schemes;2022;27649.0
100;Total health and social care providers;HF12: Compulsory contributory schemes;1998;22931.0
101;Total health and social care providers;HF12: Compulsory contributory schemes;1999;24237.0
102;Total health and social care providers;HF12: Compulsory contributory schemes;2000;26017.0
103;Total health and social care providers;HF12: Compulsory contributory schemes;2001;29277.0
104;Total health and social care providers;HF12: Compulsory contributory schemes;2002;32892.0
105;Total health and social care providers;HF12: Compulsory contributory schemes;2003;35621.0
106;Total health and social care providers;HF12: Compulsory contributory schemes;2004;36433.0
107;Total health and social care providers;HF12: Compulsory contributory schemes;2005;37702.0
108;Total health and social care providers;HF12: Compulsory contributory schemes;2006;47970.0
109;Total health and social care providers;HF12: Compulsory contributory schemes;2007;49101.0
110;Total health and social care providers;HF12: Compulsory contributory schemes;2008;51472.0
111;Total health and social care providers;HF12: Compulsory contributory schemes;2009;54456.0
112;Total health and social care providers;HF12: Compulsory contributory schemes;2010;57003.0
113;Total health and social care providers;HF12: Compulsory contributory schemes;2011;58387.0
114;Total health and social care providers;HF12: Compulsory contributory schemes;2012;60324.0
115;Total health and social care providers;HF12: Compulsory contributory schemes;2013;61316.0
116;Total health and social care providers;HF12: Compulsory contributory schemes;2014;62360.0
117;Total health and social care providers;HF12: Compulsory contributory schemes;2015;58604.0
118;Total health and social care providers;HF12: Compulsory contributory schemes;2016;59877.0
119;Total health and social care providers;HF12: Compulsory contributory schemes;2017;61506.0
120;Total health and social care providers;HF12: Compulsory contributory schemes;2018;64063.0
121;Total health and social care providers;HF12: Compulsory contributory schemes;2019;68531.0
122;Total health and social care providers;HF12: Compulsory contributory schemes;2020;72167.0
123;Total health and social care providers;HF12: Compulsory contributory schemes;2021;76285.0
124;Total health and social care providers;HF12: Compulsory contributory schemes;2022;79318.0
125;Total health and social care providers;HF121a: Long-term care insurance;1998;11385.0
126;Total health and social care providers;HF121a: Long-term care insurance;1999;12205.0
127;Total health and social care providers;HF121a: Long-term care insurance;2000;13202.0
128;Total health and social care providers;HF121a: Long-term care insurance;2001;14863.0
129;Total health and social care providers;HF121a: Long-term care insurance;2002;17010.0
130;Total health and social care providers;HF121a: Long-term care insurance;2003;18679.0
131;Total health and social care providers;HF121a: Long-term care insurance;2004;19388.0
132;Total health and social care providers;HF121a: Long-term care insurance;2005;20169.0
133;Total health and social care providers;HF121a: Long-term care insurance;2006;21425.0
134;Total health and social care providers;HF121a: Long-term care insurance;2007;21450.0
135;Total health and social care providers;HF121a: Long-term care insurance;2008;20231.0
136;Total health and social care providers;HF121a: Long-term care insurance;2009;21509.0
137;Total health and social care providers;HF121a: Long-term care insurance;2010;22522.0
138;Total health and social care providers;HF121a: Long-term care insurance;2011;23275.0
139;Total health and social care providers;HF121a: Long-term care insurance;2012;25590.0
140;Total health and social care providers;HF121a: Long-term care insurance;2013;24968.0
141;Total health and social care providers;HF121a: Long-term care insurance;2014;25194.0
142;Total health and social care providers;HF121a: Long-term care insurance;2015;17887.0
143;Total health and social care providers;HF121a: Long-term care insurance;2016;18145.0
144;Total health and social care providers;HF121a: Long-term care insurance;2017;18612.0
145;Total health and social care providers;HF121a: Long-term care insurance;2018;19562.0
146;Total health and social care providers;HF121a: Long-term care insurance;2019;21758.0
