ID;Kenmerken;Perioden;TotaalWerkzameArbeidsgehandicapten_1;TotaalPersonenMetAanpassingenOpWerk_2;TotaalPersonenAanpassingenNogNodig_3;GeenAanpassingenOpHetWerkNodig_4;TotaalPersonenMetAanpassingenOpWerk_5;AangepastHulpmiddelenOfMeubilair_6;AangepastWerktijden_7;AangepastHoeveelheidWerk_8;AangepastFunctieOfTakenpakket_9;AangepastAndereAanpassing_10;TotaalPersonenAanpassingenNogNodig_11;NodigAanpassingHulpmiddelenMeubilair_12;NodigAanpassingWerktijden_13;NodigAanpassingHoeveelheidWerk_14;NodigAanpassingFunctieOfTakenpakket_15;NodigAanpassingAndereAanpassing_16;GeenAanpassingenOpHetWerkNodig_17
0;Mannen en vrouwen;2000;763.0;198.0;146.0;419.0;198.0;94.0;53.0;42.0;75.0;28.0;146.0;60.0;30.0;41.0;43.0;40.0;419.0
1;Mannen en vrouwen;2001 voor revisie;772.0;217.0;136.0;419.0;217.0;94.0;59.0;48.0;79.0;27.0;136.0;53.0;27.0;36.0;48.0;33.0;419.0
2;Mannen en vrouwen;2001 na revisie;763.0;211.0;132.0;419.0;211.0;90.0;57.0;48.0;77.0;27.0;132.0;51.0;27.0;35.0;47.0;32.0;419.0
3;Mannen en vrouwen;2002;768.0;227.0;122.0;418.0;227.0;94.0;66.0;58.0;91.0;27.0;122.0;51.0;20.0;28.0;41.0;30.0;418.0
4;Mannen en vrouwen;2003;757.0;226.0;123.0;408.0;226.0;90.0;70.0;55.0;84.0;30.0;123.0;51.0;24.0;30.0;39.0;30.0;408.0
5;Mannen en vrouwen;2004;742.0;221.0;119.0;403.0;221.0;83.0;69.0;55.0;86.0;26.0;119.0;43.0;21.0;31.0;43.0;26.0;403.0
6;Mannen en vrouwen;2005;712.0;213.0;115.0;384.0;213.0;79.0;69.0;47.0;82.0;28.0;115.0;43.0;19.0;27.0;43.0;24.0;384.0
7;Mannen en vrouwen;2006 ;667.0;203.0;105.0;359.0;203.0;70.0;68.0;50.0;93.0;16.0;105.0;39.0;23.0;28.0;33.0;21.0;359.0
8;Mannen;2000;439.0;108.0;80.0;252.0;108.0;48.0;28.0;22.0;45.0;16.0;80.0;30.0;15.0;23.0;21.0;25.0;252.0
9;Mannen;2001 voor revisie;436.0;114.0;78.0;244.0;114.0;45.0;31.0;26.0;47.0;13.0;78.0;26.0;17.0;22.0;26.0;20.0;244.0
10;Mannen;2001 na revisie;437.0;113.0;76.0;248.0;113.0;43.0;30.0;26.0;46.0;13.0;76.0;24.0;17.0;22.0;26.0;20.0;248.0
11;Mannen;2002;436.0;127.0;67.0;242.0;127.0;47.0;31.0;33.0;54.0;15.0;67.0;25.0;10.0;14.0;23.0;17.0;242.0
12;Mannen;2003;427.0;113.0;66.0;247.0;113.0;38.0;33.0;28.0;45.0;17.0;66.0;25.0;12.0;16.0;21.0;17.0;247.0
13;Mannen;2004;416.0;112.0;68.0;235.0;112.0;38.0;33.0;29.0;47.0;15.0;68.0;22.0;11.0;18.0;27.0;15.0;235.0
14;Mannen;2005;393.0;111.0;64.0;218.0;111.0;36.0;31.0;24.0;46.0;16.0;64.0;22.0;10.0;15.0;25.0;14.0;218.0
15;Mannen;2006 ;365.0;102.0;52.0;211.0;102.0;27.0;34.0;29.0;47.0;6.0;52.0;19.0;9.0;12.0;17.0;10.0;211.0
16;Vrouwen;2000;323.0;90.0;67.0;167.0;90.0;46.0;25.0;19.0;30.0;12.0;67.0;30.0;15.0;18.0;22.0;15.0;167.0
17;Vrouwen;2001 voor revisie;336.0;103.0;58.0;175.0;103.0;49.0;28.0;22.0;32.0;14.0;58.0;27.0;10.0;14.0;22.0;13.0;175.0
18;Vrouwen;2001 na revisie;326.0;98.0;56.0;172.0;98.0;46.0;27.0;22.0;31.0;13.0;56.0;27.0;10.0;13.0;20.0;12.0;172.0
19;Vrouwen;2002;332.0;100.0;56.0;176.0;100.0;47.0;35.0;25.0;38.0;12.0;56.0;27.0;10.0;14.0;18.0;14.0;176.0
20;Vrouwen;2003;330.0;113.0;57.0;161.0;113.0;53.0;37.0;27.0;40.0;13.0;57.0;27.0;12.0;13.0;18.0;13.0;161.0
21;Vrouwen;2004;327.0;108.0;50.0;168.0;108.0;46.0;36.0;26.0;40.0;10.0;50.0;22.0;10.0;13.0;16.0;10.0;168.0
22;Vrouwen;2005;319.0;102.0;51.0;166.0;102.0;43.0;38.0;23.0;36.0;11.0;51.0;20.0;9.0;12.0;18.0;10.0;166.0
23;Vrouwen;2006 ;302.0;101.0;53.0;148.0;101.0;43.0;34.0;21.0;46.0;11.0;53.0;21.0;13.0;16.0;17.0;12.0;148.0
24;15 tot 25 jarigen;2000;60.0;12.0;12.0;36.0;12.0;6.0;2.0;2.0;4.0;2.0;12.0;6.0;;2.0;2.0;4.0;36.0
25;15 tot 25 jarigen;2001 voor revisie;59.0;14.0;9.0;36.0;14.0;5.0;4.0;3.0;4.0;2.0;9.0;4.0;;2.0;3.0;3.0;36.0
26;15 tot 25 jarigen;2001 na revisie;60.0;12.0;9.0;39.0;12.0;5.0;3.0;2.0;3.0;;9.0;3.0;;2.0;3.0;3.0;39.0
27;15 tot 25 jarigen;2002;55.0;12.0;7.0;36.0;12.0;4.0;4.0;3.0;6.0;;7.0;2.0;;;2.0;3.0;36.0
28;15 tot 25 jarigen;2003;53.0;12.0;6.0;35.0;12.0;4.0;3.0;2.0;5.0;2.0;6.0;3.0;;;2.0;;35.0
29;15 tot 25 jarigen;2004;45.0;12.0;6.0;27.0;12.0;4.0;3.0;2.0;4.0;2.0;6.0;2.0;;2.0;4.0;;27.0
30;15 tot 25 jarigen;2005;42.0;10.0;5.0;27.0;10.0;3.0;4.0;2.0;4.0;2.0;5.0;2.0;;;;;27.0
31;15 tot 25 jarigen;2006 ;39.0;11.0;6.0;22.0;11.0;3.0;3.0;4.0;4.0;2.0;6.0;2.0;3.0;2.0;;2.0;22.0
32;25 tot 35 jarigen;2000;165.0;45.0;33.0;86.0;45.0;21.0;13.0;8.0;19.0;8.0;33.0;16.0;6.0;10.0;10.0;11.0;86.0
33;25 tot 35 jarigen;2001 voor revisie;152.0;46.0;30.0;76.0;46.0;23.0;12.0;9.0;14.0;6.0;30.0;13.0;6.0;8.0;9.0;8.0;76.0
34;25 tot 35 jarigen;2001 na revisie;155.0;45.0;32.0;78.0;45.0;21.0;12.0;10.0;15.0;6.0;32.0;14.0;6.0;8.0;10.0;8.0;78.0
35;25 tot 35 jarigen;2002;157.0;51.0;27.0;79.0;51.0;23.0;15.0;14.0;19.0;5.0;27.0;11.0;5.0;5.0;7.0;8.0;79.0
36;25 tot 35 jarigen;2003;145.0;49.0;22.0;74.0;49.0;26.0;15.0;11.0;15.0;7.0;22.0;11.0;4.0;4.0;6.0;6.0;74.0
37;25 tot 35 jarigen;2004;140.0;44.0;23.0;73.0;44.0;19.0;14.0;10.0;16.0;4.0;23.0;11.0;5.0;5.0;7.0;5.0;73.0
38;25 tot 35 jarigen;2005;120.0;39.0;21.0;60.0;39.0;16.0;13.0;8.0;13.0;6.0;21.0;7.0;3.0;4.0;8.0;5.0;60.0
39;25 tot 35 jarigen;2006 ;119.0;35.0;20.0;65.0;35.0;9.0;13.0;10.0;21.0;5.0;20.0;9.0;3.0;4.0;5.0;4.0;65.0
40;35 tot 45 jarigen;2000;211.0;61.0;41.0;109.0;61.0;32.0;12.0;13.0;18.0;8.0;41.0;16.0;10.0;11.0;14.0;8.0;109.0
41;35 tot 45 jarigen;2001 voor revisie;214.0;63.0;38.0;114.0;63.0;27.0;17.0;12.0;26.0;8.0;38.0;17.0;6.0;7.0;13.0;9.0;114.0
42;35 tot 45 jarigen;2001 na revisie;215.0;64.0;37.0;114.0;64.0;28.0;17.0;12.0;26.0;8.0;37.0;17.0;7.0;8.0;13.0;9.0;114.0
