ID;ZorgpraktijkenSBI2008;Perioden;Ondernemers_1;Bedrijven_2;TotaalBedrijfsopbrengsten_3;NettoOmzet_4;TotaalOverigeBedrijfsopbrengsten_5;Subsidies_6;NietEerderGenoemdeBedrijfsopbrengsten_7;TotaalBedrijfskosten_8;TotaalArbeidskosten_9;LonenEnSalarissen_10;PensioenlastenEnSocialeLasten_11;AfschrijvingenOpVasteActiva_12;TotaalOverigeBedrijfskosten_13;OverigePersoneelskosten_14;NietEerderGenoemdeBedrijfskosten_15;Bedrijfsresultaat_16;FinancieleBaten_17;FinancieleLasten_18;FinancieelResultaat_19;BuitengewoneBaten_20;BuitengewoneLasten_21;BuitengewoonResultaat_22;ResultaatVoorBelasting_23
0;8621 Praktijken van huisartsen;2005;7510.0;;1792.0;1704.0;88.0;5.0;83.0;953.0;305.0;212.0;93.0;66.0;583.0;46.0;537.0;838.0;17.0;29.0;-12.0;21.0;4.0;17.0;844.0
1;8621 Praktijken van huisartsen;2006;7550.0;;2010.0;1900.0;110.0;5.0;105.0;1009.0;341.0;239.0;102.0;67.0;601.0;52.0;548.0;1002.0;18.0;27.0;-9.0;16.0;4.0;12.0;1005.0
2;8621 Praktijken van huisartsen;2007;7980.0;;2161.0;2038.0;123.0;5.0;118.0;1100.0;376.0;263.0;113.0;57.0;667.0;61.0;606.0;1061.0;25.0;28.0;-3.0;28.0;7.0;22.0;1080.0
3;8621 Praktijken van huisartsen;2008;7730.0;40.0;2182.0;2066.0;116.0;6.0;111.0;1169.0;405.0;285.0;120.0;59.0;705.0;69.0;635.0;1014.0;21.0;32.0;-11.0;27.0;6.0;21.0;1023.0
4;8621 Praktijken van huisartsen;2009;7910.0;40.0;2277.0;2153.0;124.0;6.0;118.0;1234.0;431.0;306.0;125.0;62.0;741.0;76.0;665.0;1043.0;17.0;30.0;-13.0;17.0;5.0;12.0;1042.0
5;8621 Praktijken van huisartsen;2010;7990.0;50.0;2340.0;2200.0;140.0;7.0;133.0;1295.0;459.0;327.0;133.0;71.0;764.0;84.0;680.0;1045.0;11.0;25.0;-14.0;22.0;9.0;13.0;1044.0
6;8621 Praktijken van huisartsen;2011;8070.0;40.0;2481.0;2342.0;139.0;7.0;132.0;1369.0;488.0;347.0;140.0;76.0;806.0;89.0;717.0;1112.0;10.0;25.0;-16.0;20.0;5.0;16.0;1111.0
7;8621 Praktijken van huisartsen;2012;8015.0;40.0;2436.0;2305.0;131.0;7.0;124.0;1389.0;509.0;363.0;146.0;67.0;813.0;91.0;723.0;1047.0;11.0;25.0;-14.0;18.0;4.0;14.0;1046.0
8;8621 Praktijken van huisartsen;2013;8080.0;30.0;2478.0;2346.0;132.0;7.0;125.0;1469.0;541.0;385.0;157.0;72.0;855.0;97.0;758.0;1010.0;11.0;23.0;-12.0;25.0;5.0;20.0;1018.0
9;8621 Praktijken van huisartsen;2014;8560.0;30.0;2590.0;2466.0;124.0;7.0;117.0;1520.0;563.0;401.0;162.0;66.0;891.0;100.0;791.0;1070.0;10.0;22.0;-12.0;22.0;7.0;16.0;1073.0
