ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
0;Nederland;Totaal particulier huishouden;6718.6;30.3;21.1
1;Nederland;Eenpersoonshuishouden;2188.7;18.4;18.4
2;Nederland;Paar zonder kinderen;2020.6;32.9;24.0
3;Nederland;Paar met kinderen;1910.7;40.9;21.8
4;Nederland;Eenoudergezin;339.1;24.1;16.4
5;Noord-Nederland (LD);Totaal particulier huishouden;699.6;27.9;19.4
6;Noord-Nederland (LD);Eenpersoonshuishouden;219.3;17.0;17.0
7;Noord-Nederland (LD);Paar zonder kinderen;231.3;30.0;21.9
8;Noord-Nederland (LD);Paar met kinderen;198.0;37.2;19.8
9;Noord-Nederland (LD);Eenoudergezin;28.4;22.4;15.2
10;Oost-Nederland (LD);Totaal particulier huishouden;1343.1;30.4;20.6
11;Oost-Nederland (LD);Eenpersoonshuishouden;386.6;17.7;17.7
12;Oost-Nederland (LD);Paar zonder kinderen;411.5;31.8;23.2
13;Oost-Nederland (LD);Paar met kinderen;428.6;39.6;21.0
14;Oost-Nederland (LD);Eenoudergezin;60.3;24.6;16.6
15;West-Nederland (LD);Totaal particulier huishouden;3236.7;30.7;21.7
16;West-Nederland (LD);Eenpersoonshuishouden;1171.2;19.0;19.0
17;West-Nederland (LD);Paar zonder kinderen;913.1;34.6;25.3
18;West-Nederland (LD);Paar met kinderen;841.3;42.7;22.8
19;West-Nederland (LD);Eenoudergezin;184.9;24.1;16.3
20;Zuid-Nederland (LD);Totaal particulier huishouden;1439.3;30.5;20.9
21;Zuid-Nederland (LD);Eenpersoonshuishouden;411.6;17.9;17.9
22;Zuid-Nederland (LD);Paar zonder kinderen;464.8;31.9;23.3
23;Zuid-Nederland (LD);Paar met kinderen;442.8;40.3;21.6
24;Zuid-Nederland (LD);Eenoudergezin;65.5;24.6;16.8
25;Groningen (PV);Totaal particulier huishouden;241.2;27.0;19.2
26;Groningen (PV);Eenpersoonshuishouden;84.7;17.0;17.0
27;Groningen (PV);Paar zonder kinderen;77.4;29.8;21.8
28;Groningen (PV);Paar met kinderen;60.9;37.0;19.8
29;Groningen (PV);Eenoudergezin;10.3;21.3;14.6
30;Friesland (PV);Totaal particulier huishouden;262.6;27.8;19.3
31;Friesland (PV);Eenpersoonshuishouden;80.8;16.8;16.8
32;Friesland (PV);Paar zonder kinderen;86.1;29.7;21.7
33;Friesland (PV);Paar met kinderen;77.3;36.9;19.5
34;Friesland (PV);Eenoudergezin;10.4;22.7;15.3
35;Drenthe (PV);Totaal particulier huishouden;195.8;29.0;19.9
36;Drenthe (PV);Eenpersoonshuishouden;53.8;17.3;17.3
37;Drenthe (PV);Paar zonder kinderen;67.7;30.4;22.2
38;Drenthe (PV);Paar met kinderen;59.8;37.6;20.1
39;Drenthe (PV);Eenoudergezin;7.6;23.3;15.9
40;Overijssel (PV);Totaal particulier huishouden;431.5;29.5;20.0
41;Overijssel (PV);Eenpersoonshuishouden;124.0;17.4;17.4
42;Overijssel (PV);Paar zonder kinderen;133.4;30.6;22.4
43;Overijssel (PV);Paar met kinderen;137.9;38.4;20.3
44;Overijssel (PV);Eenoudergezin;17.9;24.6;16.5
45;Flevoland (PV);Totaal particulier huishouden;135.1;30.8;20.6
46;Flevoland (PV);Eenpersoonshuishouden;35.2;17.9;17.9
47;Flevoland (PV);Paar zonder kinderen;38.6;32.9;24.0
48;Flevoland (PV);Paar met kinderen;47.0;39.1;20.8
49;Flevoland (PV);Eenoudergezin;8.2;22.2;15.0
50;Gelderland (PV);Totaal particulier huishouden;776.5;30.8;20.9
51;Gelderland (PV);Eenpersoonshuishouden;227.3;17.9;17.9
52;Gelderland (PV);Paar zonder kinderen;239.5;32.3;23.6
53;Gelderland (PV);Paar met kinderen;243.6;40.3;21.4
54;Gelderland (PV);Eenoudergezin;34.1;25.2;17.0
55;Utrecht (PV);Totaal particulier huishouden;473.0;32.8;22.8
56;Utrecht (PV);Eenpersoonshuishouden;160.2;19.7;19.7
57;Utrecht (PV);Paar zonder kinderen;137.2;36.4;26.5
58;Utrecht (PV);Paar met kinderen;136.2;44.1;23.5
59;Utrecht (PV);Eenoudergezin;21.4;25.7;17.4
60;Noord-Holland (PV);Totaal particulier huishouden;1142.7;30.4;21.9
61;Noord-Holland (PV);Eenpersoonshuishouden;445.4;19.2;19.2
62;Noord-Holland (PV);Paar zonder kinderen;310.2;35.3;25.8
63;Noord-Holland (PV);Paar met kinderen;273.3;43.0;23.0
64;Noord-Holland (PV);Eenoudergezin;69.2;24.0;16.3
65;Zuid-Holland (PV);Totaal particulier huishouden;1463.0;30.4;21.4
66;Zuid-Holland (PV);Eenpersoonshuishouden;517.6;18.7;18.7
67;Zuid-Holland (PV);Paar zonder kinderen;412.1;34.0;24.8
68;Zuid-Holland (PV);Paar met kinderen;386.7;42.2;22.5
69;Zuid-Holland (PV);Eenoudergezin;88.0;23.8;16.1
70;Zeeland (PV);Totaal particulier huishouden;158.0;29.5;20.5
71;Zeeland (PV);Eenpersoonshuishouden;48.1;17.6;17.6
72;Zeeland (PV);Paar zonder kinderen;53.5;31.3;22.8
73;Zeeland (PV);Paar met kinderen;45.2;39.7;21.1
74;Zeeland (PV);Eenoudergezin;6.3;24.4;16.6
75;Noord-Brabant (PV);Totaal particulier huishouden;965.1;31.1;21.2
76;Noord-Brabant (PV);Eenpersoonshuishouden;272.1;18.2;18.2
77;Noord-Brabant (PV);Paar zonder kinderen;311.0;32.4;23.6
78;Noord-Brabant (PV);Paar met kinderen;302.5;40.8;21.8
79;Noord-Brabant (PV);Eenoudergezin;42.4;24.8;16.8
80;Limburg (PV);Totaal particulier huishouden;474.2;29.4;20.3
81;Limburg (PV);Eenpersoonshuishouden;139.5;17.3;17.3
82;Limburg (PV);Paar zonder kinderen;153.7;30.8;22.5
83;Limburg (PV);Paar met kinderen;140.2;39.3;21.2
84;Limburg (PV);Eenoudergezin;23.1;24.3;16.7
85;Oost-Groningen (CR);Totaal particulier huishouden;65.5;26.4;18.3
86;Oost-Groningen (CR);Eenpersoonshuishouden;18.9;15.7;15.7
87;Oost-Groningen (CR);Paar zonder kinderen;23.0;27.2;19.9
88;Oost-Groningen (CR);Paar met kinderen;18.7;35.5;19.1
89;Oost-Groningen (CR);Eenoudergezin;2.7;21.7;14.8
90;Delfzijl en omgeving (CR);Totaal particulier huishouden;22.2;27.2;19.0
91;Delfzijl en omgeving (CR);Eenpersoonshuishouden;6.7;16.8;16.8
92;Delfzijl en omgeving (CR);Paar zonder kinderen;7.7;29.1;21.3
93;Delfzijl en omgeving (CR);Paar met kinderen;6.1;36.0;19.3
94;Delfzijl en omgeving (CR);Eenoudergezin;1.0;21.4;14.5
95;Overig Groningen (CR);Totaal particulier huishouden;153.5;27.2;19.7
96;Overig Groningen (CR);Eenpersoonshuishouden;59.1;17.4;17.4
97;Overig Groningen (CR);Paar zonder kinderen;46.8;31.2;22.8
98;Overig Groningen (CR);Paar met kinderen;36.1;38.0;20.3
99;Overig Groningen (CR);Eenoudergezin;6.7;21.1;14.5
100;Noord-Friesland (CR);Totaal particulier huishouden;135.4;27.5;19.1
101;Noord-Friesland (CR);Eenpersoonshuishouden;43.4;16.8;16.8
102;Noord-Friesland (CR);Paar zonder kinderen;43.0;29.6;21.6
103;Noord-Friesland (CR);Paar met kinderen;39.5;36.8;19.5
104;Noord-Friesland (CR);Eenoudergezin;5.5;22.5;15.2
105;Zuidwest-Friesland (CR);Totaal particulier huishouden;43.0;27.9;19.3
106;Zuidwest-Friesland (CR);Eenpersoonshuishouden;12.8;16.8;16.8
107;Zuidwest-Friesland (CR);Paar zonder kinderen;14.4;29.9;21.8
108;Zuidwest-Friesland (CR);Paar met kinderen;12.8;36.6;19.3
109;Zuidwest-Friesland (CR);Eenoudergezin;1.6;23.0;15.5
110;Zuidoost-Friesland (CR);Totaal particulier huishouden;84.2;28.2;19.5
111;Zuidoost-Friesland (CR);Eenpersoonshuishouden;24.6;16.8;16.8
112;Zuidoost-Friesland (CR);Paar zonder kinderen;28.7;29.9;21.8
113;Zuidoost-Friesland (CR);Paar met kinderen;25.0;37.2;19.7
114;Zuidoost-Friesland (CR);Eenoudergezin;3.3;22.9;15.4
115;Noord-Drenthe (CR);Totaal particulier huishouden;74.9;30.1;20.8
116;Noord-Drenthe (CR);Eenpersoonshuishouden;21.2;17.8;17.8
117;Noord-Drenthe (CR);Paar zonder kinderen;26.3;32.2;23.5
118;Noord-Drenthe (CR);Paar met kinderen;22.4;39.0;20.8
119;Noord-Drenthe (CR);Eenoudergezin;2.8;23.2;15.9
120;Zuidoost-Drenthe (CR);Totaal particulier huishouden;69.7;27.8;19.0
121;Zuidoost-Drenthe (CR);Eenpersoonshuishouden;18.4;16.4;16.4
122;Zuidoost-Drenthe (CR);Paar zonder kinderen;24.2;28.6;20.9
123;Zuidoost-Drenthe (CR);Paar met kinderen;21.4;35.8;19.2
124;Zuidoost-Drenthe (CR);Eenoudergezin;2.8;23.1;15.7
125;Zuidwest-Drenthe (CR);Totaal particulier huishouden;51.2;29.3;20.0
126;Zuidwest-Drenthe (CR);Eenpersoonshuishouden;14.2;17.5;17.5
127;Zuidwest-Drenthe (CR);Paar zonder kinderen;17.3;30.2;22.1
128;Zuidwest-Drenthe (CR);Paar met kinderen;16.0;38.1;20.2
129;Zuidwest-Drenthe (CR);Eenoudergezin;2.0;23.8;16.1
130;Noord-Overijssel (CR);Totaal particulier huishouden;132.0;29.8;20.1
131;Noord-Overijssel (CR);Eenpersoonshuishouden;37.9;17.4;17.4
132;Noord-Overijssel (CR);Paar zonder kinderen;40.1;31.0;22.6
133;Noord-Overijssel (CR);Paar met kinderen;44.0;38.8;20.3
134;Noord-Overijssel (CR);Eenoudergezin;5.2;25.1;16.8
135;Zuidwest-Overijssel (CR);Totaal particulier huishouden;58.9;29.2;20.1
136;Zuidwest-Overijssel (CR);Eenpersoonshuishouden;17.8;17.4;17.4
137;Zuidwest-Overijssel (CR);Paar zonder kinderen;18.4;31.6;23.0
138;Zuidwest-Overijssel (CR);Paar met kinderen;17.8;38.0;20.3
139;Zuidwest-Overijssel (CR);Eenoudergezin;2.4;23.8;16.1
140;Twente (CR);Totaal particulier huishouden;240.6;29.4;19.9
141;Twente (CR);Eenpersoonshuishouden;68.4;17.4;17.4
142;Twente (CR);Paar zonder kinderen;74.9;30.2;22.0
143;Twente (CR);Paar met kinderen;76.1;38.4;20.3
144;Twente (CR);Eenoudergezin;10.3;24.5;16.5
145;Veluwe (CR);Totaal particulier huishouden;244.0;31.9;21.3
146;Veluwe (CR);Eenpersoonshuishouden;68.0;18.3;18.3
147;Veluwe (CR);Paar zonder kinderen;74.0;32.9;24.0
148;Veluwe (CR);Paar met kinderen;81.4;41.1;21.6
149;Veluwe (CR);Eenoudergezin;10.4;26.8;17.9
150;Achterhoek (CR);Totaal particulier huishouden;151.8;30.3;20.4
151;Achterhoek (CR);Eenpersoonshuishouden;39.9;17.4;17.4
152;Achterhoek (CR);Paar zonder kinderen;50.3;30.9;22.6
153;Achterhoek (CR);Paar met kinderen;48.8;38.8;20.7
154;Achterhoek (CR);Eenoudergezin;5.7;25.6;17.3
155;Arnhem/Nijmegen (CR);Totaal particulier huishouden;293.9;29.5;20.6
156;Arnhem/Nijmegen (CR);Eenpersoonshuishouden;98.6;17.9;17.9
157;Arnhem/Nijmegen (CR);Paar zonder kinderen;89.0;32.4;23.6
158;Arnhem/Nijmegen (CR);Paar met kinderen;81.1;40.0;21.4
159;Arnhem/Nijmegen (CR);Eenoudergezin;14.3;23.3;15.8
160;Zuidwest-Gelderland (CR);Totaal particulier huishouden;86.8;32.8;21.4
161;Zuidwest-Gelderland (CR);Eenpersoonshuishouden;20.8;17.7;17.7
162;Zuidwest-Gelderland (CR);Paar zonder kinderen;26.1;32.5;23.8
163;Zuidwest-Gelderland (CR);Paar met kinderen;32.3;41.6;22.0
164;Zuidwest-Gelderland (CR);Eenoudergezin;3.7;27.4;18.4
165;Utrecht (CR);Totaal particulier huishouden;473.0;32.8;22.8
166;Utrecht (CR);Eenpersoonshuishouden;160.2;19.7;19.7
167;Utrecht (CR);Paar zonder kinderen;137.2;36.4;26.5
168;Utrecht (CR);Paar met kinderen;136.2;44.1;23.5
169;Utrecht (CR);Eenoudergezin;21.4;25.7;17.4
170;Kop van Noord-Holland (CR);Totaal particulier huishouden;146.2;30.5;20.8
171;Kop van Noord-Holland (CR);Eenpersoonshuishouden;41.6;17.5;17.5
172;Kop van Noord-Holland (CR);Paar zonder kinderen;47.2;32.1;23.4
173;Kop van Noord-Holland (CR);Paar met kinderen;46.0;40.5;21.5
174;Kop van Noord-Holland (CR);Eenoudergezin;6.5;23.8;16.0
175;Alkmaar en omgeving (CR);Totaal particulier huishouden;92.8;31.3;21.7
176;Alkmaar en omgeving (CR);Eenpersoonshuishouden;29.3;18.7;18.7
177;Alkmaar en omgeving (CR);Paar zonder kinderen;28.5;34.2;25.0
178;Alkmaar en omgeving (CR);Paar met kinderen;27.1;41.9;22.2
179;Alkmaar en omgeving (CR);Eenoudergezin;4.7;24.1;16.3
180;IJmond (CR);Totaal particulier huishouden;78.2;31.9;22.1
181;IJmond (CR);Eenpersoonshuishouden;24.1;19.4;19.4
182;IJmond (CR);Paar zonder kinderen;24.6;34.1;24.9
183;IJmond (CR);Paar met kinderen;23.3;42.8;22.8
184;IJmond (CR);Eenoudergezin;3.8;24.1;16.3
185;Agglomeratie Haarlem (CR);Totaal particulier huishouden;97.8;32.1;23.1
186;Agglomeratie Haarlem (CR);Eenpersoonshuishouden;39.2;19.8;19.8
187;Agglomeratie Haarlem (CR);Paar zonder kinderen;27.7;37.5;27.4
188;Agglomeratie Haarlem (CR);Paar met kinderen;22.5;46.0;24.6
189;Agglomeratie Haarlem (CR);Eenoudergezin;4.6;25.6;17.4
190;Zaanstreek (CR);Totaal particulier huishouden;65.6;30.5;21.2
191;Zaanstreek (CR);Eenpersoonshuishouden;20.4;18.2;18.2
192;Zaanstreek (CR);Paar zonder kinderen;20.6;32.9;24.0
193;Zaanstreek (CR);Paar met kinderen;18.3;41.2;22.1
194;Zaanstreek (CR);Eenoudergezin;3.6;23.3;15.8
195;Groot-Amsterdam (CR);Totaal particulier huishouden;556.8;29.0;21.6
196;Groot-Amsterdam (CR);Eenpersoonshuishouden;253.4;19.3;19.3
197;Groot-Amsterdam (CR);Paar zonder kinderen;130.2;36.1;26.3
198;Groot-Amsterdam (CR);Paar met kinderen;108.3;42.7;23.0
199;Groot-Amsterdam (CR);Eenoudergezin;41.0;23.4;16.0
200;Het Gooi en Vechtstreek (CR);Totaal particulier huishouden;105.2;34.4;24.3
201;Het Gooi en Vechtstreek (CR);Eenpersoonshuishouden;37.4;20.6;20.6
202;Het Gooi en Vechtstreek (CR);Paar zonder kinderen;31.5;38.4;28.0
203;Het Gooi en Vechtstreek (CR);Paar met kinderen;27.8;48.5;25.9
204;Het Gooi en Vechtstreek (CR);Eenoudergezin;5.0;27.3;18.7
205;Agglomeratie Leiden en Bollenstreek (CR);Totaal particulier huishouden;157.0;33.0;22.8
206;Agglomeratie Leiden en Bollenstreek (CR);Eenpersoonshuishouden;52.6;19.7;19.7
207;Agglomeratie Leiden en Bollenstreek (CR);Paar zonder kinderen;45.3;35.7;26.1
208;Agglomeratie Leiden en Bollenstreek (CR);Paar met kinderen;47.3;45.0;23.9
209;Agglomeratie Leiden en Bollenstreek (CR);Eenoudergezin;7.1;26.8;18.1
210;Agglomeratie 's-Gravenhage (CR);Totaal particulier huishouden;343.4;30.0;22.0
211;Agglomeratie 's-Gravenhage (CR);Eenpersoonshuishouden;142.5;19.9;19.9
212;Agglomeratie 's-Gravenhage (CR);Paar zonder kinderen;86.7;36.0;26.3
213;Agglomeratie 's-Gravenhage (CR);Paar met kinderen;74.8;42.7;22.9
214;Agglomeratie 's-Gravenhage (CR);Eenoudergezin;23.9;23.4;15.9
215;Delft en Westland (CR);Totaal particulier huishouden;84.6;31.6;21.9
216;Delft en Westland (CR);Eenpersoonshuishouden;28.0;18.7;18.7
217;Delft en Westland (CR);Paar zonder kinderen;25.0;33.7;24.6
218;Delft en Westland (CR);Paar met kinderen;24.9;43.7;23.2
219;Delft en Westland (CR);Eenoudergezin;4.0;26.1;17.6
220;Oost-Zuid-Holland (CR);Totaal particulier huishouden;126.0;33.5;22.4
221;Oost-Zuid-Holland (CR);Eenpersoonshuishouden;34.2;18.7;18.7
222;Oost-Zuid-Holland (CR);Paar zonder kinderen;39.3;34.8;25.4
223;Oost-Zuid-Holland (CR);Paar met kinderen;42.8;43.6;23.1
224;Oost-Zuid-Holland (CR);Eenoudergezin;5.2;26.6;17.8
225;Groot-Rijnmond (CR);Totaal particulier huishouden;591.5;29.0;20.6
226;Groot-Rijnmond (CR);Eenpersoonshuishouden;213.3;17.9;17.9
227;Groot-Rijnmond (CR);Paar zonder kinderen;166.7;32.9;24.0
228;Groot-Rijnmond (CR);Paar met kinderen;146.3;40.7;21.9
229;Groot-Rijnmond (CR);Eenoudergezin;40.0;22.6;15.3
230;Zuidoost-Zuid-Holland (CR);Totaal particulier huishouden;160.5;30.9;21.0
