ID;Perioden;TotaalBedrijfsopbrengsten_1;TotaalNettoOmzet_2;Trombosedienst_3;MedischLaboratorium_4;OverigeActiviteiten_5;TotaalOverigeBedrijfsopbrengsten_6;Subsidies_7;NietEerderGenoemdeBedrijfsopbrengsten_8;TotaalBedrijfskosten_9;TotaalArbeidskosten_10;LonenEnSalarissen_11;Pensioenlasten_12;SocialeLasten_13;AfschrijvingenOpVasteActiva_14;TotaalOverigeBedrijfskosten_15;TotaalOverigePersoneelskosten_16;KostenUitzendkrachtenEnOverigeInleen_17;NietEerderGenoemdePersoneelskosten_18;NietEerderGenoemdeBedrijfskosten_19;Bedrijfsresultaat_20;SaldoBijzWaardevermeerderingVermind_21;FinancieelResultaat_22;VrijvalVoorzieningen_23;ToevoegingenVoorzieningen_24;SaldoVoorzieningen_25;IncidenteelResultaat_26;ResultaatVoorBelastingen_27;TotaalWerkzamePersonen_28;Werknemers_29;OverigeWerkzamePersonen_30;TotaalArbeidsjarenWerkzamePersonen_31;ArbeidsjarenWerknemers_32;ArbeidsjarenOverigeWerkzamePersonen_33
0;2008;761;723;46.0;343.0;334.0;39;13.0;26.0;700;304;252;19;33;33;363;36;20.0;16.0;327;61;;-3.0;0;1;0;1.0;59.0;9860.0;9280;580.0;6560.0;6270;290.0
1;2009;789;749;47.0;355.0;347.0;40;13.0;27.0;730;326;269;21;36;34;370;38;21.0;16.0;332;60;;-3.0;3;1;2;0.0;59.0;10220.0;9580;650.0;6900.0;6550;350.0
2;2010;852;819;48.0;349.0;422.0;33;11.0;22.0;799;349;285;23;41;40;411;57;26.0;31.0;354;53;0.0;-4.0;3;0;3;1.0;52.0;10480.0;9810;660.0;6990.0;6660;330.0
3;2011;867;845;52.0;388.0;405.0;22;7.0;15.0;830;372;306;25;41;40;418;45;27.0;18.0;373;38;0.0;-1.0;4;1;3;0.0;39.0;11150.0;10420;730.0;7600.0;7180;410.0
4;2012;988;936;57.0;481.0;397.0;52;8.0;44.0;935;414;337;30;47;46;475;51;29.0;22.0;424;53;0.0;-1.0;3;0;3;0.0;54.0;11760.0;10970;790.0;8190.0;7720;460.0
5;2013;982;939;61.0;482.0;397.0;43;3.0;40.0;940;417;339;29;48;47;476;63;35.0;28.0;413;42;0.0;-2.0;2;0;2;0.0;43.0;11730.0;10760;970.0;8070.0;7570;500.0
6;2014;1037;991;66.0;495.0;430.0;46;2.0;43.0;1031;444;359;32;53;49;538;68;42.0;27.0;469;6;0.0;-2.0;0;1;-1;0.0;3.0;12020.0;10870;1150.0;8350.0;7810;540.0
7;2015;1130;1105;80.0;543.0;481.0;25;3.0;22.0;1094;474;385;32;57;53;567;64;39.0;25.0;503;36;0.0;-1.0;2;3;-1;0.0;34.0;12840.0;11940;900.0;8650.0;8230;420.0
8;2016;1145;1109;73.0;569.0;467.0;37;4.0;33.0;1091;487;396;30;61;49;555;68;42.0;26.0;487;54;;;1;2;-1;;43.0;12570.0;11560;1020.0;8590.0;8160;430.0
9;2017;1144;1113;76.0;583.0;454.0;31;3.0;27.0;1107;502;409;33;61;47;558;66;41.0;25.0;491;37;0.0;-1.0;0;3;-3;0.0;33.0;12790.0;11860;930.0;8710.0;8320;380.0
10;2018;1223;1205;69.0;630.0;505.0;18;3.0;15.0;1137;525;426;34;65;49;563;75;47.0;28.0;489;85;2.0;3.0;0;5;-4;0.0;85.0;12830.0;12020;810.0;8920.0;8500;410.0
11;2019;1137;1117;68.0;621.0;428.0;20;3.0;17.0;1140;526;427;34;65;51;564;76;46.0;30.0;488;-3;-1.0;2.0;0;5;-5;-1.0;-8.0;12450.0;11490;960.0;8840.0;8300;540.0
12;2020;1241;1216;62.0;769.0;385.0;25;8.0;17.0;1223;556;452;37;68;54;612;72;42.0;30.0;541;19;0.0;-6.0;0;2;-2;2.0;13.0;12840.0;11820;1020.0;9220.0;8640;590.0
13;2021;1343;1307;53.0;968.0;286.0;36;2.0;34.0;1224;538;436;39;63;44;642;79;48.0;30.0;564;119;-2.0;-4.0;1;2;-2;1.0;113.0;12640.0;11480;1160.0;8660.0;8110;550.0
14;2022;1235;1196;;;;38;;;1249;556;448;42;67;52;641;91;;;550;-14;-3.0;;0;2;-2;5.0;;;11250;;;8050;
15;2023;1237;1190;;;;47;;;1284;634;513;45;76;47;602;75;;;527;-47;0.0;-4.0;0;1;0;0.0;-53.0;;12180;;;8630;
