ID;Perioden;TotaalAantalMaatschappijen_1;VrijgesteldeWaarborgmaatschapijen_2;BijkantoorInNederland_3;TotaalAantalInStatistiek_4;BinnenlandseMaatschappijen_5;BuitenlandseMaatschappijen_6;TotaalAantalMaatschappijen_7;Levensverzekeraars_8;Spaarkassen_9;WaargenomenBuitenlandseMaatschappijen_10
0;1999;631;230;110;281;265;16;109;102;4;3
1;2000;582;207;109;258;242;16;101;94;4;3
2;2001;546;180;106;260;247;13;98;91;4;3
3;2002;521;166;104;251;240;11;92;85;4;3
4;2003;511;161;104;246;236;10;87;80;4;3
5;2004;473;149;87;237;229;8;83;78;4;1
6;2005;461;148;86;227;220;7;75;70;4;1
7;2006;478;145;89;244;237;7;71;66;4;1
8;2007;454;136;81;230;224;6;72;64;4;1
9;2008;439;130;81;223;217;6;67;60;4;1
10;2009;419;118;88;213;207;6;62;53;4;1
11;2010;394;108;89;197;193;4;50;43;4;1
12;2011;376;108;90;178;174;4;53;39;4;1
13;2012;330;102;78;150;148;2;45;37;4;1
14;2013;317;90;78;149;147;2;40;36;4;0
15;2014;272;76;58;138;136;2;40;35;3;0
16;2015;243;72;41;130;129;1;40;35;1;0
