ID;Geslacht;Leeftijd;NietGeregistreerdeBeroepen;AanbiedersZorg;Perioden;BrutoLoonSocialeVerzekeringen_1;BanenVanWerknemers_2;BanenVanWerknemersRelatief_3;ArbeidsjarenVanWerknemers_4;ArbeidsjarenVanWerknemersRelatief_5;Zelfstandigen_6;ZelfstandigenRelatief_7
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2001;27.6;1074.0;100.0;707.0;100.0;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2002;29.0;1137.0;100.0;742.0;100.0;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2003;29.9;1179.0;100.0;773.0;100.0;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2004;30.4;1186.0;100.0;786.0;100.0;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2005;30.6;1200.0;100.0;790.0;100.0;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2006;30.6;1246.0;100.0;845.0;100.0;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2007;31.3;1291.0;100.0;882.0;100.0;74.0;100.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2008;34.1;1317.0;100.0;901.0;100.0;78.0;100.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2009;35.3;1355.0;100.0;916.0;100.0;84.0;100.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2010;36.0;1415.0;100.0;947.0;100.0;90.0;100.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2011;36.7;1449.0;100.0;986.0;100.0;94.0;100.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2012;37.7;1455.0;100.0;979.0;100.0;104.0;100.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders zorg;2013;35.8;1418.0;100.0;964.0;100.0;108.0;100.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2001;31.2;439.0;100.0;312.0;100.0;;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2002;33.1;464.0;100.0;328.0;100.0;;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal beroepen;Totaal aanbieders gezondheidszorg;2003;34.4;479.0;100.0;341.0;100.0;;
