ID;Geslacht;Leeftijd;Migratieachtergrond;Perioden;TotaalGedetineerden_1;GedetineerdenInVanTotaal_2
0;Totaal mannen en vrouwen;Totaal;Totaal;2005;50650;100.0
1;Totaal mannen en vrouwen;Totaal;Totaal;2006;50030;100.0
2;Totaal mannen en vrouwen;Totaal;Totaal;2007;47620;100.0
3;Totaal mannen en vrouwen;Totaal;Totaal;2008;45190;100.0
4;Totaal mannen en vrouwen;Totaal;Totaal;2009;44050;100.0
5;Totaal mannen en vrouwen;Totaal;Totaal;2010;43760;100.0
6;Totaal mannen en vrouwen;Totaal;Totaal;2011;43940;100.0
7;Totaal mannen en vrouwen;Totaal;Totaal;2012;42500;100.0
8;Totaal mannen en vrouwen;Totaal;Totaal;2013;42700;100.0
9;Totaal mannen en vrouwen;Totaal;Totaal;2014;43240;100.0
10;Totaal mannen en vrouwen;Totaal;Totaal;2015;39790;100.0
11;Totaal mannen en vrouwen;Totaal;Totaal;2016;35250;100.0
12;Totaal mannen en vrouwen;Totaal;Totaal;2017;33540;100.0
13;Totaal mannen en vrouwen;Totaal;Totaal;2018;33200;100.0
14;Totaal mannen en vrouwen;Totaal;Totaal;2019;33960;100.0
15;Totaal mannen en vrouwen;Totaal;Totaal;2020;27300;100.0
16;Totaal mannen en vrouwen;Totaal;Totaal;2021;29370;100.0
17;Totaal mannen en vrouwen;Totaal;Totaal;2022;30380;100.0
18;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2005;20100;39.7
19;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2006;20100;40.2
20;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2007;19040;40.0
21;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2008;17920;39.6
22;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2009;16710;37.9
23;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2010;16280;37.2
24;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2011;16290;37.1
25;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2012;15450;36.4
26;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2013;15660;36.7
27;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2014;15970;36.9
28;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2015;14490;36.4
