ID;Geslacht;GeboortelandOuders;Herkomstland;VoortijdigSchoolverlater;Perioden;Jongeren18Tot25Jaar_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2013;1454.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2014;1452.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2015;1445.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2016;1452.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2017;1470.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2018;1484.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2019;1503.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2020;1523.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2021;1531.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2022;1564.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2023;1587.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2024;1588.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2013;131.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2014;126.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2015;117.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2016;113.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2017;102.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2018;111.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2019;111.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2020;106.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2021;79.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Voortijdig schoolverlaters;2022;87.0
