ID;GeboortelandGroep;Geslacht;JaarVanVestigingInNederland;Perioden;TotaalNietNederlandseImmigranten_1;WerknemersZelfstandigen_2;WerkloosheidsBijstandsuitkering_3;OverigeNietNederlandseImmigranten_4
0;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;1995;100.0;53.0;16.0;31.0
1;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;1996;100.0;56.0;14.0;30.0
2;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;1997;100.0;58.0;14.0;28.0
3;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;1998;100.0;60.0;12.0;28.0
4;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;1999;100.0;63.0;12.0;26.0
5;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1990;2000;100.0;65.0;10.0;25.0
6;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;1995;100.0;50.0;18.0;32.0
7;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;1996;100.0;53.0;16.0;31.0
8;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;1997;100.0;57.0;16.0;27.0
9;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;1998;100.0;60.0;14.0;26.0
10;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;1999;100.0;63.0;12.0;25.0
11;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1991;2000;100.0;64.0;11.0;25.0
12;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;1995;100.0;45.0;17.0;38.0
13;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;1996;100.0;50.0;15.0;35.0
14;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;1997;100.0;54.0;14.0;32.0
15;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;1998;100.0;57.0;13.0;30.0
16;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;1999;100.0;61.0;12.0;27.0
17;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1992;2000;100.0;62.0;11.0;27.0
18;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;1995;100.0;35.0;24.0;41.0
19;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;1996;100.0;41.0;23.0;36.0
20;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;1997;100.0;46.0;21.0;33.0
21;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;1998;100.0;53.0;18.0;29.0
22;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;1999;100.0;58.0;17.0;25.0
23;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1993;2000;100.0;61.0;15.0;24.0
24;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;1995;100.0;29.0;22.0;50.0
25;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;1996;100.0;35.0;25.0;41.0
26;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;1997;100.0;42.0;24.0;35.0
27;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;1998;100.0;48.0;21.0;30.0
28;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;1999;100.0;55.0;19.0;26.0
29;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1994;2000;100.0;59.0;16.0;25.0
30;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;1995;100.0;22.0;11.0;67.0
31;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;1996;100.0;30.0;18.0;52.0
32;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;1997;100.0;36.0;22.0;42.0
33;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;1998;100.0;47.0;20.0;33.0
34;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;1999;100.0;52.0;19.0;29.0
35;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1995;2000;100.0;58.0;16.0;26.0
36;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;1995;;;;
37;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;1996;100.0;24.0;11.0;64.0
38;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;1997;100.0;34.0;17.0;49.0
39;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;1998;100.0;42.0;22.0;36.0
40;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;1999;100.0;48.0;20.0;32.0
41;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;53.0;18.0;28.0
42;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1997;1995;;;;
43;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1997;1996;;;;
44;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1997;1997;100.0;28.0;11.0;61.0
45;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1997;1998;100.0;39.0;15.0;46.0
46;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1997;1999;100.0;45.0;17.0;37.0
47;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1997;2000;100.0;50.0;18.0;31.0
48;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1998;1995;;;;
49;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1998;1996;;;;
50;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1998;1997;;;;
51;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1998;1998;100.0;32.0;6.0;61.0
52;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1998;1999;100.0;43.0;9.0;48.0
53;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1998;2000;100.0;48.0;11.0;41.0
54;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1999;1995;;;;
55;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1999;1996;;;;
56;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1999;1997;;;;
57;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1999;1998;;;;
58;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1999;1999;100.0;33.0;4.0;62.0
59;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 1999;2000;100.0;45.0;8.0;46.0
60;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 2000;1995;;;;
61;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 2000;1996;;;;
62;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 2000;1997;;;;
63;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 2000;1998;;;;
64;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 2000;1999;;;;
65;Totaal alle geboortelanden;Totaal mannen en vrouwen;Vestigingsjaar 2000;2000;100.0;35.0;4.0;61.0
66;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1990;1995;100.0;63.0;16.0;21.0
67;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1990;1996;100.0;68.0;13.0;19.0
68;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1990;1997;100.0;70.0;13.0;17.0
69;Totaal alle geboortelanden;Mannen;Vestigingsjaar 1990;1998;100.0;72.0;10.0;18.0
