ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;Perioden;BanenVanWerknemersInDecember_1
0;A-U Alle economische activiteiten;Totaal;2010 december;7888.2
1;A-U Alle economische activiteiten;Totaal;2011 december ;7937.7
2;A-U Alle economische activiteiten;Totaal;2012 december;7820.1
3;A-U Alle economische activiteiten;Totaal;2013 december;7701.0
4;A-U Alle economische activiteiten;Totaal;2014 december;7735.2
5;A-U Alle economische activiteiten;Totaal;2015 december;7846.1
6;A-U Alle economische activiteiten;Totaal;2016 december;7978.4
7;A-U Alle economische activiteiten;Totaal;2017 december;8208.6
8;A-U Alle economische activiteiten;Totaal;2018 december;8422.04
9;A-U Alle economische activiteiten;Totaal;2019 december;8560.5
10;A-U Alle economische activiteiten;Totaal;2020 december;8401.6
11;A-U Alle economische activiteiten;Totaal;2021 december;8697.6
12;A-U Alle economische activiteiten;Totaal;2022 december;8941.8
13;A-U Alle economische activiteiten;Totaal;2023 december;9020.0
14;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2010 december;1239.7
15;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2011 december ;1198.0
16;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2012 december;1170.4
17;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2013 december;1155.5
18;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2014 december;1181.3
19;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2015 december;1196.0
20;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2016 december;1228.6
21;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2017 december;1253.7
22;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2018 december;1257.32
23;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2019 december;1262.6
24;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2020 december;1208.9
25;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2021 december;1299.2
26;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2022 december;1312.8
27;A-U Alle economische activiteiten;0  tot 10 werkzame personen;2023 december;1305.3
28;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2010 december;1278.8
29;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2011 december ;1314.7
30;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2012 december;1273.8
31;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2013 december;1228.2
32;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2014 december;1238.5
33;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2015 december;1262.5
34;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2016 december;1292.5
35;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2017 december;1337.9
36;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2018 december;1363.66
37;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2019 december;1384.9
38;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2020 december;1331.4
39;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2021 december;1392.8
40;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2022 december;1462.9
41;A-U Alle economische activiteiten;10  tot 50 werkzame personen;2023 december;1448.3
42;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2010 december;590.3
43;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2011 december ;601.7
44;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2012 december;573.9
45;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2013 december;553.3
46;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2014 december;559.0
47;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2015 december;576.0
48;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2016 december;588.7
49;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2017 december;602.9
50;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2018 december;616.35
51;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2019 december;631.1
52;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2020 december;610.1
53;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2021 december;637.3
54;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2022 december;655.5
55;A-U Alle economische activiteiten;50  tot 100 werkzame personens;2023 december;637.2
56;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2010 december;1498.4
57;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2011 december ;1493.0
58;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2012 december;1473.4
59;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2013 december;1456.0
60;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2014 december;1441.6
61;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2015 december;1489.1
62;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2016 december;1531.1
63;A-U Alle economische activiteiten;100  tot 500 werkzame personen;2017 december;1576.6
