ID;Sex;Age;DegreeOfDisablement;Periods;TotalInflow_1;Employers_2;PersonnelPublicSector_3;SelfEmployed_4;YoungHandicapped_5;OtherInflow_6;WAO_7;Wajong_8;WAZ_9;TotalOutflow_10;ReasonRecoveredFromIllness_11;Retirement_12;OtherOutflow_13;WAO_14;Wajong_15;WAZ_16
0;Total men and women;Total age;Total, degree of disablement;1998 January;10760;8170;1280;210;480;630;9600;600;570;8740;1850;2560.0;4330;7750;540;440
1;Total men and women;Total age;Total, degree of disablement;1998 February;9260;6580;670;180;690;1150;7500;840;920;8790;1610;2420.0;4750;7440;760;590
2;Total men and women;Total age;Total, degree of disablement;1998 March;9020;6550;980;240;480;770;7750;600;670;6930;1980;2730.0;2220;6120;300;520
3;Total men and women;Total age;Total, degree of disablement;1998 April;9790;7120;830;380;670;810;8150;780;860;8340;2030;2860.0;3450;7000;510;830
4;Total men and women;Total age;Total, degree of disablement;1998 May;7950;5580;650;330;900;500;6360;980;620;7500;1690;2780.0;3040;6270;640;590
5;Total men and women;Total age;Total, degree of disablement;1998 June;8640;6410;690;370;630;540;7210;720;710;7630;1770;2500.0;3350;6230;700;700
6;Total men and women;Total age;Total, degree of disablement;1998 July;7840;5580;850;370;510;530;6580;580;680;7680;1620;2880.0;3180;6580;510;590
7;Total men and women;Total age;Total, degree of disablement;1998 August;7940;5930;720;330;560;410;6750;600;590;7510;1570;2570.0;3370;6070;690;750
8;Total men and women;Total age;Total, degree of disablement;1998 September;8330;6480;680;310;510;350;7230;560;540;7660;1540;2550.0;3570;6010;810;850
9;Total men and women;Total age;Total, degree of disablement;1998 October;8810;6520;1080;400;490;330;7690;530;590;6760;1480;2370.0;2910;5520;510;730
10;Total men and women;Total age;Total, degree of disablement;1998 November;10110;6980;1100;420;700;910;8730;750;640;7260;1650;2230.0;3380;6120;390;760
11;Total men and women;Total age;Total, degree of disablement;1998 December;13540;7080;1230;1380;1700;2160;8880;3070;1600;7520;1750;2380.0;3380;6460;420;640
12;Total men and women;Total age;Total, degree of disablement;1998 annual total;112000;78950;10740;4920;8310;9090;92420;10590;8990;92300;20530;30830.0;40940;77560;6770;7970
13;Total men and women;Total age;Total, degree of disablement;1999 January;9090;5840;1960;380;640;280;7830;680;580;8070;1670;2240.0;4160;6790;350;920
14;Total men and women;Total age;Total, degree of disablement;1999 February;9860;7170;1030;360;910;390;8290;960;610;7620;1810;2470.0;3350;6460;440;730
15;Total men and women;Total age;Total, degree of disablement;1999 March;9670;7150;1210;480;460;370;8450;510;710;9290;1660;2750.0;4880;6980;1620;700
16;Total men and women;Total age;Total, degree of disablement;1999 April;8750;6510;1030;400;500;320;7610;550;590;7750;1850;2560.0;3330;6410;530;810
17;Total men and women;Total age;Total, degree of disablement;1999 May;8460;6330;780;380;680;280;7170;740;540;7090;1730;2460.0;2910;5950;360;780
18;Total men and women;Total age;Total, degree of disablement;1999 June;8890;6650;880;390;670;300;7590;720;580;6920;1600;2590.0;2720;5890;380;650
19;Total men and women;Total age;Total, degree of disablement;1999 July;9090;6130;600;440;1570;340;6800;1630;650;7130;1580;2750.0;2800;6090;360;680
20;Total men and women;Total age;Total, degree of disablement;1999 August;8120;6100;720;350;610;340;6870;690;570;7060;1520;2470.0;3070;5790;370;900
21;Total men and women;Total age;Total, degree of disablement;1999 September;8310;6440;770;310;510;290;7250;550;510;7010;1550;2440.0;3020;5890;390;730
22;Total men and women;Total age;Total, degree of disablement;1999 October;8510;6600;750;370;480;310;7380;530;600;6520;1450;2360.0;2710;5400;370;750
23;Total men and women;Total age;Total, degree of disablement;1999 November;11970;8220;2210;470;610;460;10510;670;790;8430;1840;3400.0;3190;7230;420;780
24;Total men and women;Total age;Total, degree of disablement;1999 December;9610;7350;870;340;650;410;8270;710;620;9890;1810;2410.0;5680;8810;380;700
25;Total men and women;Total age;Total, degree of disablement;1999 annual total;110320;80480;12810;4670;8280;4080;94020;8960;7340;92770;20070;30890.0;41820;77670;5980;9120
26;Total men and women;Total age;Total, degree of disablement;2000 January;9110;6860;850;520;570;310;7740;630;750;7380;1740;2740.0;2900;5940;380;1060
27;Total men and women;Total age;Total, degree of disablement;2000 February;10870;8180;990;430;740;530;9250;850;770;7710;2100;2190.0;3420;6680;270;760
28;Total men and women;Total age;Total, degree of disablement;2000 March;9530;7460;1250;490;0;330;8760;0;770;8530;1770;2650.0;4110;7490;120;920
29;Total men and women;Total age;Total, degree of disablement;2000 April;9960;6770;1020;510;1230;440;7840;1360;760;8080;1910;2530.0;3650;6900;290;890
30;Total men and women;Total age;Total, degree of disablement;2000 May;9540;7170;760;510;690;400;7970;750;820;7730;1950;2670.0;3110;6500;390;830
31;Total men and women;Total age;Total, degree of disablement;2000 June;8550;6180;1000;410;610;350;7220;650;680;9040;1800;2510.0;4730;6850;1440;750
32;Total men and women;Total age;Total, degree of disablement;2000 July;8220;6010;700;440;760;310;6740;810;670;8400;1680;2910.0;3810;7030;580;790
33;Total men and women;Total age;Total, degree of disablement;2000 August;8630;6900;380;400;550;410;7310;590;740;8720;1860;2640.0;4210;7210;580;930
34;Total men and women;Total age;Total, degree of disablement;2000 September;8810;6250;1330;470;450;310;7590;500;720;7440;1700;2450.0;3290;6210;350;890
35;Total men and women;Total age;Total, degree of disablement;2000 October;9100;6860;960;440;490;350;7840;540;720;7240;1650;2440.0;3150;6060;360;820
36;Total men and women;Total age;Total, degree of disablement;2000 November;11870;9130;1310;410;590;430;10460;650;760;7570;2000;2360.0;3210;6270;420;880
37;Total men and women;Total age;Total, degree of disablement;2000 December;10590;7990;1230;400;580;390;9250;630;720;7340;1950;2370.0;3030;6150;390;800
38;Total men and women;Total age;Total, degree of disablement;2000 annual total;114780;85760;11780;5410;7260;4570;97960;7950;8870;95170;22110;30450.0;42610;79300;5560;10310
39;Total men and women;Total age;Total, degree of disablement;2001 January;9540;6320;2010;390;400;420;8350;520;660;7340;1770;2590.0;2980;6080;330;920
40;Total men and women;Total age;Total, degree of disablement;2001 February;10610;7790;1460;440;530;380;9260;600;750;7550;2060;2300.0;3190;6370;440;740
41;Total men and women;Total age;Total, degree of disablement;2001 March;10420;7470;1630;430;520;380;9140;560;730;7800;2100;2730.0;2960;6640;310;840
42;Total men and women;Total age;Total, degree of disablement;2001 April;9990;7420;1330;410;470;370;8760;520;710;7490;2230;2620.0;2640;6370;380;750
43;Total men and women;Total age;Total, degree of disablement;2001 May;11780;7590;2840;350;560;440;10460;620;710;8510;2260;3490.0;2750;7550;380;580
44;Total men and women;Total age;Total, degree of disablement;2001 June;10270;7020;2000;440;460;360;9040;520;710;7940;1950;2590.0;3400;6450;310;1190
45;Total men and women;Total age;Total, degree of disablement;2001 July;8180;6110;830;410;480;350;6950;520;710;10650;1990;3110.0;5540;9600;310;740
46;Total men and women;Total age;Total, degree of disablement;2001 August;9140;7020;740;400;600;380;7780;650;710;8710;2230;2530.0;3950;7280;380;1060
47;Total men and women;Total age;Total, degree of disablement;2001 September;7960;6080;730;420;430;300;6830;480;650;7520;1940;2400.0;3180;6290;310;930
48;Total men and women;Total age;Total, degree of disablement;2001 October;9710;7470;850;420;560;420;8340;620;760;7830;2240;2450.0;3140;6580;380;860
49;Total men and women;Total age;Total, degree of disablement;2001 November;9510;7270;980;440;480;350;8270;540;700;7210;2110;2250.0;2860;6070;310;820
50;Total men and women;Total age;Total, degree of disablement;2001 December;9370;7070;1040;360;550;360;8130;590;650;7120;2210;2390.0;2530;6070;320;730
51;Total men and women;Total age;Total, degree of disablement;2001 annual total;116470;84630;16420;4910;6030;4490;101290;6740;8440;95660;25090;31450.0;39120;81350;4150;10150
52;Total men and women;Total age;Total, degree of disablement;2002 January;9030;6930;850;410;480;370;7800;530;700;7550;2080;2690.0;2780;6240;360;950
53;Total men and women;Total age;Total, degree of disablement;2002 February;9320;7250;790;400;480;400;8060;550;700;7970;2250;2230.0;3490;6780;370;820
54;Total men and women;Total age;Total, degree of disablement;2002 March;9080;6970;770;420;530;380;7770;590;720;7990;2220;2640.0;3130;6800;340;850
55;Total men and women;Total age;Total, degree of disablement;2002 April;9770;7490;870;410;570;430;8380;630;760;8380;2700;2500.0;3180;7110;410;860
56;Total men and women;Total age;Total, degree of disablement;2002 May;8720;6570;750;460;530;410;7340;600;780;7590;2310;2740.0;2530;6520;360;700
57;Total men and women;Total age;Total, degree of disablement;2002 June;7930;5770;960;530;480;190;6770;520;650;7460;2330;2520.0;2600;6440;340;690
58;Total men and women;Total age;Total, degree of disablement;2002 July;9120;6580;1000;620;660;260;7610;730;780;8590;2690;3060.0;2840;7510;350;730
59;Total men and women;Total age;Total, degree of disablement;2002 August;8040;5880;760;630;590;180;6670;630;740;7970;2310;2490.0;3170;6750;280;930
60;Total men and women;Total age;Total, degree of disablement;2002 September;7570;5430;910;550;490;200;6370;540;670;7500;2230;2310.0;2950;6320;340;850
61;Total men and women;Total age;Total, degree of disablement;2002 October;9910;7130;1190;670;680;250;8350;750;820;8110;2540;2410.0;3170;6880;330;900
62;Total men and women;Total age;Total, degree of disablement;2002 November;8660;6360;830;690;570;210;7220;620;820;7350;2350;2140.0;2860;6240;320;790
63;Total men and women;Total age;Total, degree of disablement;2002 December;8040;5560;1150;560;580;190;6730;640;670;7610;2320;2470.0;2830;6400;370;850
64;Total men and women;Total age;Total, degree of disablement;2002 annual total;105170;77900;10820;6340;6640;3470;89060;7320;8800;94050;28330;30190.0;35530;79990;4150;9910
65;Total men and women;Total age;Total, degree of disablement;2003 January;8590;6360;730;760;520;220;7130;570;890;7550;2120;2780.0;2640;6230;340;970
