ID;Geslacht;Onderwijssoort;Studierichting;Opleidingsvorm;Herkomstgroepering;Perioden;AssociateDegree_1;Bachelor_2;Doctoraal_3;WoMaster_4;Vervolgopleidingen_5
0;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;1995/'96;0;51177;;;2093
1;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;1996/'97;0;50508;;;2751
2;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;1997/'98;0;50094;;;2634
3;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;1998/'99;0;50131;;;2692
4;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;1999/'00;0;52233;;;2641
5;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2000/'01;0;53138;;;2966
6;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2001/'02;0;56057;;;3226
7;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2002/'03;0;57970;;;3362
8;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2003/'04;0;59628;;;3540
9;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2004/'05;0;59256;;;3824
10;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2005/'06;0;59489;;;4450
11;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2006/'07;11;60036;;;4802
12;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2007/'08;276;60057;;;5014
13;Totaal mannen en vrouwen;Hoger beroepsonderwijs;0;Totaal opleidingsvormen;0;2008/'09;807;61703;;;4039
