ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalBudgetsIn1000Euros_1;MunicipalBudgetsEuroInhabitant_2
0;Total property tax;Aa en Hunze;2005;4501.0;178.0
1;Total property tax;Aa en Hunze;2006;2973.0;117.0
2;Total property tax;Aa en Hunze;2007;2944.0;115.0
3;Total property tax;Aa en Hunze;2008;3066.0;119.0
4;Total property tax;Aa en Hunze;2009;3298.0;129.0
5;Total property tax;Aa en Hunze;2010;3310.0;129.0
6;Total property tax;Aa en Hunze;2011;3323.0;129.0
7;Total property tax;Aa en Hunze;2012;3327.0;129.0
8;Total property tax;Aa en Hunze;2013;3436.0;134.0
9;Total property tax;Aa en Hunze;2014;3615.0;142.0
10;Total property tax;Aa en Hunze;2015;3743.0;149.0
11;Total property tax;Aa en Hunze;2016;3905.0;155.0
12;Total property tax;Aa en Hunze;2017;4100.0;162.0
13;Total property tax;Aa en Hunze;2018;4270.0;168.0
14;Total property tax;Aa en Hunze;2019;4301.0;169.0
15;Total property tax;Aa en Hunze;2020;4402.0;173.0
16;Total property tax;Aa en Hunze;2021;4517.0;178.0
17;Total property tax;Aa en Hunze;2022;4517.0;177.0
18;Total property tax;Aa en Hunze;2023;4851.0;189.0
19;Total property tax;Aa en Hunze;2024;5090.0;197.0
20;Total property tax;Aa en Hunze;2025;5250.0;202.0
21;Total property tax;Aalburg;2005;2016.0;165.0
22;Total property tax;Aalburg;2006;1307.0;107.0
23;Total property tax;Aalburg;2007;1438.0;117.0
24;Total property tax;Aalburg;2008;1546.0;125.0
25;Total property tax;Aalburg;2009;1625.0;129.0
26;Total property tax;Aalburg;2010;1707.0;135.0
27;Total property tax;Aalburg;2011;1796.0;142.0
28;Total property tax;Aalburg;2012;1902.0;149.0
29;Total property tax;Aalburg;2013;1992.0;156.0
30;Total property tax;Aalburg;2014;2024.0;158.0
31;Total property tax;Aalburg;2015;2081.0;161.0
32;Total property tax;Aalburg;2016;2131.0;164.0
33;Total property tax;Aalburg;2017;2170.0;166.0
34;Total property tax;Aalburg;2018;2217.0;169.0
35;Total property tax;Aalburg;2019;;
36;Total property tax;Aalburg;2020;;
37;Total property tax;Aalburg;2021;;
38;Total property tax;Aalburg;2022;;
39;Total property tax;Aalburg;2023;;
40;Total property tax;Aalburg;2024;;
41;Total property tax;Aalburg;2025;;
42;Total property tax;Aalsmeer;2005;6193.0;267.0
43;Total property tax;Aalsmeer;2006;4792.0;200.0
44;Total property tax;Aalsmeer;2007;5181.0;207.0
45;Total property tax;Aalsmeer;2008;5735.0;217.0
46;Total property tax;Aalsmeer;2009;6379.0;227.0
47;Total property tax;Aalsmeer;2010;6832.0;234.0
48;Total property tax;Aalsmeer;2011;6872.0;227.0
49;Total property tax;Aalsmeer;2012;7103.0;234.0
50;Total property tax;Aalsmeer;2013;7313.0;239.0
51;Total property tax;Aalsmeer;2014;7470.0;243.0
52;Total property tax;Aalsmeer;2015;7493.0;241.0
53;Total property tax;Aalsmeer;2016;7617.0;243.0
54;Total property tax;Aalsmeer;2017;7695.0;245.0
55;Total property tax;Aalsmeer;2018;8216.0;261.0
56;Total property tax;Aalsmeer;2019;8775.0;277.0
57;Total property tax;Aalsmeer;2020;9739.0;306.0
58;Total property tax;Aalsmeer;2021;10293.0;322.0
59;Total property tax;Aalsmeer;2022;10569.0;326.0
60;Total property tax;Aalsmeer;2023;11446.0;346.0
61;Total property tax;Aalsmeer;2024;13830.0;415.0
62;Total property tax;Aalsmeer;2025;15394.0;463.0
63;Total property tax;Aalten;2005;;
64;Total property tax;Aalten;2006;2217.0;81.0
65;Total property tax;Aalten;2007;2917.0;106.0
66;Total property tax;Aalten;2008;3102.0;113.0
67;Total property tax;Aalten;2009;3278.0;119.0
68;Total property tax;Aalten;2010;3349.0;121.0
69;Total property tax;Aalten;2011;3479.0;127.0
70;Total property tax;Aalten;2012;3645.0;133.0
71;Total property tax;Aalten;2013;3760.0;139.0
72;Total property tax;Aalten;2014;3875.0;143.0
73;Total property tax;Aalten;2015;3975.0;148.0
74;Total property tax;Aalten;2016;4190.0;156.0
75;Total property tax;Aalten;2017;4308.0;159.0
76;Total property tax;Aalten;2018;4408.0;163.0
77;Total property tax;Aalten;2019;4584.0;170.0
78;Total property tax;Aalten;2020;4719.0;174.0
79;Total property tax;Aalten;2021;5073.0;187.0
80;Total property tax;Aalten;2022;5208.0;192.0
81;Total property tax;Aalten;2023;5343.0;196.0
82;Total property tax;Aalten;2024;5664.0;207.0
83;Total property tax;Aalten;2025;5789.0;211.0
84;Total property tax;Ter Aar;2005;1876.0;209.0
85;Total property tax;Ter Aar;2006;1311.0;146.0
86;Total property tax;Ter Aar;2007;;
87;Total property tax;Ter Aar;2008;;
88;Total property tax;Ter Aar;2009;;
89;Total property tax;Ter Aar;2010;;
90;Total property tax;Ter Aar;2011;;
91;Total property tax;Ter Aar;2012;;
92;Total property tax;Ter Aar;2013;;
93;Total property tax;Ter Aar;2014;;
94;Total property tax;Ter Aar;2015;;
95;Total property tax;Ter Aar;2016;;
96;Total property tax;Ter Aar;2017;;
97;Total property tax;Ter Aar;2018;;
98;Total property tax;Ter Aar;2019;;
