ID;Geslacht;Kenmerken;Perioden;SlachtoffersMoordEnDoodslag_1;SlachtoffersMoordEnDoodslagRelatief_2
0;Totaal mannen en vrouwen;Totaal;1996;240;15.5
1;Totaal mannen en vrouwen;Totaal;1997;237;15.2
2;Totaal mannen en vrouwen;Totaal;1998;208;13.2
3;Totaal mannen en vrouwen;Totaal;1999;230;14.5
4;Totaal mannen en vrouwen;Totaal;2000;223;14.0
5;Totaal mannen en vrouwen;Totaal;2001;264;16.5
6;Totaal mannen en vrouwen;Totaal;2002;224;13.9
7;Totaal mannen en vrouwen;Totaal;2003;247;15.2
8;Totaal mannen en vrouwen;Totaal;2004;223;13.7
9;Totaal mannen en vrouwen;Totaal;2005;197;12.1
10;Totaal mannen en vrouwen;Totaal;2006;159;9.7
11;Totaal mannen en vrouwen;Totaal;2007;164;10.0
12;Totaal mannen en vrouwen;Totaal;2008;176;10.7
13;Totaal mannen en vrouwen;Totaal;2009;175;10.6
14;Totaal mannen en vrouwen;Totaal;2010;158;9.5
15;Totaal mannen en vrouwen;Totaal;2011;165;9.9
16;Totaal mannen en vrouwen;Totaal;2012;157;9.4
17;Totaal mannen en vrouwen;Totaal;2013;147;8.7
18;Totaal mannen en vrouwen;Totaal;2014;144;8.5
19;Totaal mannen en vrouwen;Totaal;2015;120;7.1
20;Totaal mannen en vrouwen;Totaal;2016;108;6.3
21;Totaal mannen en vrouwen;Totaal;2017;158;9.2
22;Totaal mannen en vrouwen;Totaal;2018;119;6.9
23;Totaal mannen en vrouwen;Totaal;2019;125;7.2
24;Totaal mannen en vrouwen;Totaal;2020;121;6.9
25;Totaal mannen en vrouwen;Totaal;2021;126;7.2
26;Totaal mannen en vrouwen;Totaal;2022;143;8.1
27;Totaal mannen en vrouwen;Totaal;2023;125;7.0
28;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;1996;29;7.7
29;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;1997;36;9.5
30;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;1998;26;6.8
31;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;1999;26;6.7
32;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2000;27;6.9
33;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2001;25;6.4
34;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2002;28;7.1
35;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2003;30;7.5
36;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2004;25;6.3
37;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2005;27;6.8
38;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2006;23;5.8
39;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2007;28;7.1
40;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2008;16;4.1
41;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2009;23;5.9
42;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2010;24;6.1
43;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2011;18;4.6
44;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2012;21;5.4
45;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2013;19;4.9
46;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2014;14;3.6
47;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2015;9;2.4
48;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2016;8;2.1
49;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2017;17;4.5
50;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2018;13;3.4
51;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2019;10;2.6
52;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2020;18;4.8
53;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2021;15;4.0
54;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2022;17;4.5
55;Totaal mannen en vrouwen;Leeftijd: jonger dan 20 jaar;2023;11;2.9
56;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;1996;67;28.5
57;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;1997;70;30.6
58;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;1998;54;24.2
59;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;1999;56;25.8
60;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2000;60;28.5
61;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2001;56;27.2
62;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2002;58;28.7
63;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2003;45;22.6
64;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2004;36;18.3
65;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2005;36;18.4
66;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2006;26;13.3
67;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2007;33;16.8
68;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2008;36;18.2
69;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2009;34;17.0
70;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2010;26;12.8
71;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2011;38;18.5
72;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2012;24;11.6
73;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2013;29;13.9
74;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2014;27;12.8
75;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2015;27;12.7
76;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2016;23;10.7
77;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2017;33;15.2
78;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2018;25;11.4
79;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2019;27;12.2
80;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2020;22;9.8
81;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2021;25;11.1
82;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2022;25;10.9
83;Totaal mannen en vrouwen;Leeftijd: 20 tot 30 jaar;2023;22;9.4
84;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;1996;51;19.9
85;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;1997;50;19.3
86;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;1998;49;18.8
87;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;1999;65;24.8
88;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2000;55;20.9
89;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2001;70;26.5
90;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2002;65;24.7
91;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2003;67;25.8
92;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2004;62;24.4
93;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2005;51;20.7
94;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2006;44;18.3
95;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2007;35;15.0
96;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2008;46;20.2
97;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2009;38;17.2
98;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2010;36;16.7
99;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2011;30;14.3
100;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2012;33;16.0
101;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2013;31;15.3
102;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2014;31;15.4
103;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2015;21;10.4
104;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2016;28;13.7
105;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2017;26;12.6
106;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2018;20;9.6
107;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2019;27;12.7
108;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2020;27;12.5
109;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2021;21;9.5
110;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2022;34;15.1
111;Totaal mannen en vrouwen;Leeftijd: 30 tot 40 jaar;2023;26;11.2
112;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;1996;41;17.5
113;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;1997;31;13.3
114;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;1998;38;16.4
115;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;1999;41;17.5
116;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2000;41;17.3
117;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2001;59;24.6
118;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2002;29;11.9
119;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2003;37;15.0
120;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2004;37;14.8
121;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2005;36;14.3
122;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2006;29;11.4
123;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2007;29;11.4
124;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2008;37;14.4
125;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2009;30;11.6
126;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2010;29;11.2
127;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2011;35;13.5
128;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2012;40;15.5
129;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2013;28;11.0
130;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2014;31;12.4
131;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2015;27;11.1
132;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2016;18;7.6
133;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2017;32;13.7
134;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2018;21;9.2
135;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2019;22;9.8
136;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2020;15;6.9
137;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2021;19;8.8
138;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2022;24;11.3
139;Totaal mannen en vrouwen;Leeftijd: 40 tot 50 jaar;2023;27;12.7
140;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;1996;24;13.9
141;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;1997;23;12.6
142;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;1998;12;6.3
143;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;1999;19;9.6
144;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2000;24;11.8
145;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2001;31;14.9
146;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2002;26;12.2
147;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2003;34;15.6
148;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2004;30;13.6
149;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2005;21;9.3
150;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2006;17;7.5
151;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2007;26;11.6
152;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2008;23;10.3
153;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2009;30;13.3
154;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2010;16;7.0
155;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2011;23;10.0
156;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2012;15;6.4
157;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2013;19;8.0
158;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2014;17;7.1
159;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2015;18;7.4
160;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2016;13;5.3
161;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2017;26;10.5
162;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2018;21;8.4
163;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2019;19;7.5
164;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2020;21;8.3
165;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2021;23;9.0
166;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2022;16;6.3
167;Totaal mannen en vrouwen;Leeftijd: 50 tot 60 jaar;2023;16;6.3
168;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;1996;28;10.1
169;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;1997;27;9.7
170;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;1998;29;10.3
171;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;1999;23;8.0
172;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2000;16;5.5
173;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2001;23;7.8
174;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2002;18;6.1
175;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2003;34;11.3
176;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2004;33;10.7
177;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2005;26;8.3
178;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2006;20;6.2
179;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2007;13;3.9
180;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2008;18;5.2
181;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2009;20;5.6
182;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2010;27;7.4
183;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2011;21;5.6
184;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2012;24;6.3
185;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2013;21;5.4
186;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2014;24;6.0
187;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2015;18;4.4
188;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2016;18;4.3
189;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2017;24;5.6
190;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2018;19;4.4
191;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2019;20;4.5
192;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2020;18;4.0
193;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2021;23;5.0
194;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2022;27;5.7
195;Totaal mannen en vrouwen;Leeftijd: 60 jaar of ouder;2023;23;4.8
196;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;1996;22;
197;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;1997;33;
198;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;1998;23;
199;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;1999;19;
200;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2000;24;
201;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2001;12;
202;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2002;14;
203;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2003;16;
204;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2004;23;
205;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2005;24;
206;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2006;12;
207;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2007;16;
208;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2008;12;
209;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2009;13;
210;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2010;12;
211;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2011;13;
212;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2012;15;
213;Totaal mannen en vrouwen;Wijze: Ophangen, verwurgen of verstikken;2013;21;
