ID;Logiesvormen;WoonlandVanGasten;RegioS;Perioden;Gasten_1;Overnachtingen_2
0;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 januari;1764;3865
1;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 februari;1791;3929
2;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 maart;2197;4794
3;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 1e kwartaal;5751;12588
4;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 april;3148;8142
5;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 mei;3629;10249
6;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 juni;3289;9537
7;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 2e kwartaal;10066;27928
8;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 juli;3522;12667
9;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 augustus;3933;15000
10;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 september;3082;8268
11;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 3e kwartaal;10537;35935
12;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 oktober;2910;7394
13;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 november;2187;4715
14;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 december;1900;4352
15;Totaal logiesaccommodaties;Totaal landen;Nederland;2012 4e kwartaal;6998;16461
16;Totaal logiesaccommodaties;Totaal landen;Nederland;2012;33353;92911
17;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 januari;1690;3803
18;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 februari;1791;3988
19;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 maart;2243;5085
20;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 1e kwartaal;5724;12876
21;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 april;2914;7262
22;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 mei;3796;10879
23;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 juni;3333;9517
24;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 2e kwartaal;10042;27657
25;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 juli;3737;13251
26;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 augustus;4179;16381
27;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 september;3157;8796
28;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 3e kwartaal;11073;38428
29;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 oktober;2921;7532
30;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 november;2278;4989
31;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 december;2012;4591
32;Totaal logiesaccommodaties;Totaal landen;Nederland;2013 4e kwartaal;7211;17113
33;Totaal logiesaccommodaties;Totaal landen;Nederland;2013;34050;96074
34;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 januari;1826;3960
35;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 februari;1895;4067
36;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 maart;2410;5190
37;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 1e kwartaal;6132;13218
38;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 april;3162;8091
39;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 mei;3626;9676
40;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 juni;3868;11593
41;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 2e kwartaal;10657;29360
42;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 juli;3700;12979
43;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 augustus;4281;16703
44;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 september;3368;9375
45;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 3e kwartaal;11349;39058
46;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 oktober;3270;8330
47;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 november;2331;4961
48;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 december;2118;4825
49;Totaal logiesaccommodaties;Totaal landen;Nederland;2014 4e kwartaal;7719;18116
50;Totaal logiesaccommodaties;Totaal landen;Nederland;2014;35856;99752
51;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 januari;1889;4142
52;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 februari;2106;4696
53;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 maart;2373;5123
54;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 1e kwartaal;6368;13961
55;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 april;3272;8318
56;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 mei;4036;11470
57;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 juni;3617;10249
58;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 2e kwartaal;10925;30037
59;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 juli;4079;14816
60;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 augustus;4449;16469
61;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 september;3316;9023
62;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 3e kwartaal;11845;40308
63;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 oktober;3401;8682
64;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 november;2522;5391
65;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 december;2258;5156
66;Totaal logiesaccommodaties;Totaal landen;Nederland;2015 4e kwartaal;8181;19229
67;Totaal logiesaccommodaties;Totaal landen;Nederland;2015;37318;103534
68;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 januari;2048;4510
69;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 februari;2324;5051
70;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 maart;2704;6208
71;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 1e kwartaal;7076;15769
72;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 april;3278;8035
73;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 mei;4165;11273
74;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 juni;3526;9663
75;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 2e kwartaal;10968;28971
76;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 juli;4085;14216
77;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 augustus;4527;17136
78;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 september;3675;10130
79;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 3e kwartaal;12287;41482
80;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 oktober;3615;9320
81;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 november;2571;5451
82;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 december;2365;5219
83;Totaal logiesaccommodaties;Totaal landen;Nederland;2016 4e kwartaal;8552;19990
84;Totaal logiesaccommodaties;Totaal landen;Nederland;2016;38883;106213
85;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 januari;2352;5113
86;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 februari;2326;4940
87;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 maart;2849;6027
88;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 1e kwartaal;7528;16080
89;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 april;3942;10020
90;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 mei;4215;10782
91;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 juni;4286;11711
92;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 2e kwartaal;12443;32513
93;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 juli;4414;14381
94;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 augustus;4661;16841
95;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 september;3837;10474
96;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 3e kwartaal;12912;41695
97;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 oktober;3823;9468
98;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 november;2818;6100
99;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 december;2711;5841
100;Totaal logiesaccommodaties;Totaal landen;Nederland;2017 4e kwartaal;9353;21410
101;Totaal logiesaccommodaties;Totaal landen;Nederland;2017;42235;111698
102;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 januari;2504;5400
103;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 februari;2490;5302
104;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 maart;3133;7001
105;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 1e kwartaal;8127;17703
106;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 april;3907;9460
107;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 mei;4567;12336
108;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 juni;4210;11363
109;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 2e kwartaal;12684;33160
110;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 juli;4546;14666
111;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 augustus;4947;17687
112;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 september;3991;10612
113;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 3e kwartaal;13484;42965
114;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 oktober;3967;9903
115;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 november;2959;6418
116;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 december;2692;5933
117;Totaal logiesaccommodaties;Totaal landen;Nederland;2018 4e kwartaal;9618;22254
118;Totaal logiesaccommodaties;Totaal landen;Nederland;2018;43913;116082
119;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 januari;2458;5496
120;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 februari;2565;5464
121;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 maart;3289;7248
122;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 1e kwartaal;8313;18209
123;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 april;4307;11177
124;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 mei;4193;10539
125;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 juni;4894;13754
126;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 2e kwartaal;13393;35470
127;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 juli;4704;15622
128;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 augustus;5143;18983
129;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 september;4165;11298
130;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 3e kwartaal;14012;45903
131;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 oktober;4087;10422
132;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 november;3194;6975
133;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 december;2918;6463
134;Totaal logiesaccommodaties;Totaal landen;Nederland;2019 4e kwartaal;10198;23860
135;Totaal logiesaccommodaties;Totaal landen;Nederland;2019;45916;123443
136;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 januari;2622;5914
137;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 februari;2811;6332
138;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 maart;1426;3487
139;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 1e kwartaal;6859;15733
140;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 april;364;1179
141;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 mei;924;2752
142;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 juni;2395;7445
143;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 2e kwartaal;3683;11377
144;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 juli;4191;16068
145;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 augustus;4740;19112
146;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 september;3235;10408
147;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 3e kwartaal;12166;45588
148;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 oktober;2124;6545
149;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 november;1288;3094
150;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 december;1181;3078
151;Totaal logiesaccommodaties;Totaal landen;Nederland;2020 4e kwartaal;4593;12718
152;Totaal logiesaccommodaties;Totaal landen;Nederland;2020;27301;85415
153;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 januari;769;2179
154;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 februari;1186;3234
155;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 maart;1167;3070
156;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 1e kwartaal;3122;8482
157;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 april;1772;5033
158;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 mei;3161;10184
159;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 juni;3197;10192
160;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 2e kwartaal;8130;25409
161;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 juli;4141;15685
162;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 augustus;4794;19377
163;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 september;3746;11505
164;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 3e kwartaal;12682;46568
165;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 oktober;3790;10494
166;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 november;2589;6381
167;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 december;1408;3761
168;Totaal logiesaccommodaties;Totaal landen;Nederland;2021 4e kwartaal;7787;20636
169;Totaal logiesaccommodaties;Totaal landen;Nederland;2021;31720;101094
170;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 januari;1230;3363
171;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 februari;1998;4693
172;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 maart;2893;6927
173;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 1e kwartaal;6121;14983
174;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 april;4266;11704
175;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 mei;4846;13430
176;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 juni;4716;13605
177;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 2e kwartaal;13827;38739
178;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 juli;5231;18256
179;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 augustus;5500;20672
180;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 september;4420;12957
181;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 3e kwartaal;15151;51885
182;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 oktober;4548;12401
183;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 november;3347;7680
184;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 december;3006;6950
185;Totaal logiesaccommodaties;Totaal landen;Nederland;2022 4e kwartaal;10901;27031
186;Totaal logiesaccommodaties;Totaal landen;Nederland;2022;46000;132638
187;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 januari;2734;6560
188;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 februari;2770;6418
189;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 maart;3331;8023
190;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 1e kwartaal;8835;21000
191;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 april;4573;12428
192;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 mei;5140;15082
193;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 juni;4853;14455
194;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 2e kwartaal;14566;41965
195;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 juli;5392;19062
196;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 augustus;5278;20151
197;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 september;4472;12960
198;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 3e kwartaal;15142;52173
199;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 oktober;4513;12527
200;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 november;3254;7496
201;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 december;3094;7110
202;Totaal logiesaccommodaties;Totaal landen;Nederland;2023 4e kwartaal;10861;27134
203;Totaal logiesaccommodaties;Totaal landen;Nederland;2023;49404;142272
204;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 januari;2970;7168
205;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 februari;2973;7137
206;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 maart;3621;8848
207;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 1e kwartaal;9564;23153
208;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 april;4367;11408
209;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 mei;5459;15973
210;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 juni;4934;14161
211;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 2e kwartaal;14761;41541
212;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 juli;5355;18488
213;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 augustus;5841;21525
214;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 september;4834;13802
215;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 3e kwartaal;16054;53811
216;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 oktober;4487;12175
217;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 november;3444;7924
218;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 december;3358;7608
219;Totaal logiesaccommodaties;Totaal landen;Nederland;2024 4e kwartaal;11287;27709
220;Totaal logiesaccommodaties;Totaal landen;Nederland;2024;51655;146095
221;Totaal logiesaccommodaties;Totaal landen;Nederland;2025 januari;2931;6895
222;Totaal logiesaccommodaties;Totaal landen;Nederland;2025 februari;2885;6834
223;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 januari;174;441
224;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 februari;181;454
225;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 maart;226;572
226;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 1e kwartaal;581;1467
227;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 april;333;964
228;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 mei;459;1465
229;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 juni;420;1418
230;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 2e kwartaal;1212;3846
231;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 juli;449;1980
232;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 augustus;535;2622
233;Totaal logiesaccommodaties;Totaal landen;Noord-Nederland (LD);2012 september;359;1148
