ID;Perioden;MannenEnVrouwen_1;TotaalAantalMannen_2;ThuiswonendKind_3;Alleenstaand_4;TotaalSamenwonendePersonen_5;PartnerInNietGehuwdPaarGeenKin_6;PartnerInGehuwdPaarGeenKindEren_7;PartnerInNietGehuwdPaarMetKind_8;PartnerInGehuwdPaarMetKindEren_9;OuderInEenouderhuishouden_10;OverigLidHuishouden_11;PersonenInInstitutioneleHuishoudens_12;TotaalAantalVrouwen_13;ThuiswonendKind_14;Alleenstaand_15;TotaalSamenwonendePersonen_16;PartnerInNietGehuwdPaarGeenKin_17;PartnerInGehuwdPaarGeenKindEren_18;PartnerInNietGehuwdPaarMetKind_19;PartnerInGehuwdPaarMetKindEren_20;OuderInEenouderhuishouden_21;OverigLidHuishouden_22;PersonenInInstitutioneleHuishoudens_23;TotaalParticuliereHuishoudens_24;Eenpersoonshuishouden_25;TotaalMeerpersoonshuishoudens_26;k_2Personen_27;k_3Personen_28;k_4Personen_29;k_5OfMeerPersonen_30;GemiddeldeHuishoudensgrootte_31;TotaalParticuliereHuishoudens_32;Eenpersoonshuishouden_33;TotaalMeerpersoonshuishoudens_34;MeerpersoonshuishoudensZonderKinderen_35;MeerpersoonshuishoudensMetKinderen_36;TotaalNietGehuwdeParen_37;k_0Kinderen_38;k_1Kind_39;k_2Kinderen_40;k_3OfMeerKinderen_41;TotaalGehuwdeParen_42;k_0Kinderen_43;k_1Kind_44;k_2Kinderen_45;k_3OfMeerKinderen_46;TotaalEenouderhuishoudens_47;k_1Kind_48;k_2Kinderen_49;k_3OfMeerKinderen_50;OverigHuishouden_51;MannenEnVrouwen_52;TotaalMannenInEenInstelling_53;Ongehuwd_54;Gehuwd_55;Verweduwd_56;Gescheiden_57;TotaalVrouwenInEenInstelling_58;Ongehuwd_59;Gehuwd_60;Verweduwd_61;Gescheiden_62;TotaalPersonenWonendInInstellingen_63;VerzorgingsEnVerpleeghuis_64;OverigeZorginstelling_65;OverigSoortInstelling_66
10;2005;16305526;8065979;2494676;1124269;4156696;508070;1565601;245927;1837098;72284;137098;80956;8239547;2140008;1325109;4141811;488674;1562015;251156;1839966;371840;128533;132246;7090965;2449378;4641587;2317627;905839;973043;445078;2.27;7090965;2449378;4641587;2110295;2531292;747056;498513;128480;95578;24485;3402433;1563808;626291;836838;375496;444124;262189;135863;46072;47974;213202;80956;50893;11148;12567;6348;132246;43334;10608;70315;7989;213202;126667.0;74645.0;11890.0
11;2006;16334210;8077407;2485606;1151851;4150773;504093;1574069;261720;1810891;74079;135970;79128;8256803;2134739;1350233;4136600;485603;1570235;266599;1814163;378291;127415;129525;7146088;2502084;4644004;2328134;902872;973351;439647;2.26;7146088;2502084;4644004;2114857;2529147;759189;495029;133591;104090;26479;3384769;1572152;615951;828173;368493;452370;267647;138547;46176;47676;208653;79128;49712;10745;12322;6349;129525;41891;10193;69311;8130;208653;123891.0;73306.0;11456.0
12;2007;16357992;8088514;2475095;1169358;4153039;505131;1586033;278673;1783202;75865;135259;79898;8269478;2126051;1367533;4138792;486931;1581879;283070;1786912;383016;127252;126834;7190543;2536891;4653652;2347504;900559;972325;433264;2.25;7190543;2536891;4653652;2128727;2524925;777059;496187;139157;113095;28620;3369128;1583956;605544;818991;360637;458881;272499;140596;45786;48584;206732;79898;50448;10629;12175;6646;126834;41118;9959;67472;8285;206732;121027.0;74358.0;11347.0
13;2008;16405399;8112073;2465115;1187509;4162489;510952;1598441;296592;1756504;78090;137991;80879;8293326;2119921;1383505;4146993;491714;1594197;300562;1760520;387614;129308;125985;7242202;2571014;4671188;2371615;900475;971097;428001;2.24;7242202;2571014;4671188;2148277;2522911;800022;501445;145909;121837;30831;3354949;1596319;596053;809235;353342;465704;278051;142199;45454;50513;206864;80879;51197;10602;12111;6969;125985;40897;9944;66442;8702;206864;119619.0;76293.0;10952.0
14;2009;16485787;8156396;2461568;1217701;4173255;514613;1611657;312626;1734359;80847;141248;81777;8329391;2118078;1401693;4157993;495461;1607179;316506;1738847;394062;132339;125226;7312579;2619394;4693185;2396462;901234;971092;424397;2.23;7312579;2619394;4693185;2166972;2526213;819717;505151;151229;130348;32989;3346156;1609418;589048;800178;347512;474909;285206;144034;45669;52403;207003;81777;51890;10785;11807;7295;125226;40505;10162;65689;8870;207003;118945.0;77188.0;10870.0
15;2010;16574989;8203476;2461725;1247425;4184033;515963;1623888;328580;1715602;83863;143102;83328;8371513;2120498;1422091;4167899;495451;1619348;332466;1720634;402387;133279;125359;7386144;2669516;4716628;2417798;907781;970519;420530;2.22;7386144;2669516;4716628;2181514;2535114;836339;505816;156616;138418;35489;3339959;1621618;585797;790892;341652;486250;293180;147033;46037;54080;208687;83328;52740;11086;11765;7737;125359;40418;10355;65361;9225;208687;119063.0;79218.0;10406.0
16;2011;16655799;8243482;2462451;1274161;4203540;525387;1631878;347124;1699151;86072;126852;90406;8412317;2121821;1434090;4187115;503361;1627147;352083;1704524;410200;130182;128909;7443801;2708251;4735550;2439795;904504;972431;418820;2.21;7443801;2708251;4735550;2187823;2547727;864011;514402;163909;147730;37970;3331368;1629522;583775;782489;335582;496272;302979;147199;46094;43899;219315;90406;57333;12137;12136;8800;128909;41778;11262;66043;9826;219315;121674.0;86901.0;10740.0
17;2012;16730348;8282871;2465444;1304828;4205056;523363;1639101;358680;1683912;90264;125705;91574;8447477;2125325;1456936;4187902;500225;1634253;363656;1689768;420630;129034;127650;7512824;2761764;4751060;2455421;909274;971486;414879;2.2;7512824;2761764;4751060;2192158;2558902;872962;511794;167019;154672;39477;3323517;1636677;582203;774010;330627;510894;313322;150683;46889;43687;219224;91574;58442;12270;11935;8927;127650;42126;11390;64155;9979;219224;120393.0;88295.0;10536.0
18;2013;16779575;8307339;2460238;1327083;4211852;530073;1644756;372507;1664516;93574;124135;90457;8472236;2124362;1475099;4193422;505083;1639866;377823;1670650;428004;127022;124327;7569371;2802182;4767189;2474729;914480;967899;410081;2.19;7569371;2802182;4767189;2202863;2564326;892743;517578;171738;162076;41351;3309894;1642311;579843;763157;324583;521578;321518;153200;46860;42974;214784;90457;57638;12217;11796;8806;124327;40412;11396;62434;10085;214784;118252.0;85743.0;10789.0
19;2014;16829289;8334385;2456510;1332934;4217926;541741;1648208;385749;1642228;97591;121998;107426;8494904;2119096;1470918;4198410;515321;1643070;391171;1648848;438279;125685;142516;7590228;2803852;4786376;2498744;920496;964012;403124;2.18;7590228;2803852;4786376;2216508;2569868;916991;528531;176139;169483;42838;3291177;1645639;578378;750341;316819;535870;331653;156324;47893;42338;249942;107426;71084;13604;13359;9379;142516;48426;12692;69502;11896;249942;121644.0;110984.0;17314.0
20;2015;16900726;8372858;2452185;1369327;4218188;543400;1654022;400326;1620440;100443;124852;107863;8527868;2117024;1498470;4201869;518911;1648736;406704;1627518;444846;128728;136931;7665198;2867797;4797401;2512123;923286;961010;400982;2.17;7665198;2867797;4797401;2224618;2572783;934671;531156;181134;177326;45055;3275358;1651379;575005;738342;310632;545289;338281;158384;48624;42083;244794;107863;72263;13341;12768;9491;136931;48193;11938;65025;11775;244794;118593.0;104661.0;21540.0
21;2016;16979120;8417135;2454083;1395599;4223535;553414;1656041;410010;1604070;103469;125663;114786;8561985;2121299;1510735;4206861;527848;1650605;416876;1611532;453957;129031;140102;7720787;2906334;4814453;2530437;924877;958746;400393;2.17;7720787;2906334;4814453;2235783;2578670;954074;540631;182643;184026;46774;3261124;1653323;571665;728666;307470;557426;345502;162146;49778;41829;254888;114786;77575;14765;12488;9958;140102;51325;13321;63180;12276;254888;120668.0;104764.0;29456.0
22;2017;17081507;8475102;2461408;1428860;4236564;561100;1660232;422955;1592277;105288;131479;111503;8606405;2129577;1532368;4221906;535552;1654522;431597;1600235;456836;131919;133799;7794075;2961228;4832847;2540703;926964;961007;404173;2.16;7794075;2961228;4832847;2247191;2585656;975602;548326;186827;191327;49122;3253633;1657377;568482;721461;306313;562124;346706;164223;51195;41488;245302;111503;74429;15830;11887;9357;133799;48529;14203;59812;11255;245302;115321.0;98600.0;31381.0
23;2018;17181084;8527041;2469068;1451873;4255710;576075;1665606;430957;1583072;108376;129793;112221;8654043;2138904;1545744;4239282;548791;1659582;439473;1591436;464043;129519;136551;7857914;2997617;4860297;2565256;929901;959802;405338;2.15;7857914;2997617;4860297;2265409;2594888;997648;562433;187848;196362;51005;3249848;1662594;567153;714686;305415;572419;352216;167646;52557;40382;248772;112221;74124;16109;12187;9801;136551;50221;14736;59711;11883;248772;116189.0;106605.0;25978.0
24;2019;17282163;8581086;2478141;1475159;4273532;589396;1669913;436979;1577244;110918;130497;112839;8701077;2148600;1562463;4255172;560684;1663379;444939;1586170;471188;129832;133822;7924691;3037622;4887069;2586739;932959;960878;406493;2.15;7924691;3037622;4887069;2282297;2604772;1015999;575040;187879;200116;52964;3248353;1666646;567014;710251;304442;582106;357524;170478;54104;40611;246661;112839;73895;16655;12149;10140;133822;48925;14765;58308;11824;246661;115394.0;110217.0;21050.0
25;2020;17407585;8648031;2486993;1500815;4296405;604166;1675903;443180;1573156;113720;130421;119677;8759554;2156612;1578963;4278457;575666;1668875;451388;1582528;476255;130081;139186;7997800;3079778;4918022;2610601;938515;961314;407592;2.14;7997800;3079778;4918022;2302921;2615101;1037200;589916;189262;203427;54595;3250231;1672389;568123;706212;303507;589975;361769;172880;55326;40616;258863;119677;77489;18596;12749;10843;139186;50765;16444;59403;12574;258863;119911.0;114394.0;24558.0
26;2021;17475415;8686536;2485146;1510980;4320935;635742;1673897;452901;1558395;115115;133351;121009;8788879;2152162;1586137;4301835;604416;1666713;462387;1568319;478756;132238;137751;8043443;3097117;4946326;2640717;940588;958249;406772;2.14;8043443;3097117;4946326;2331454;2614872;1077723;620079;192530;208658;56456;3233662;1670305;566657;696999;299701;593871;364662;173275;55934;41070;258760;121009;78761;18924;12376;10948;137751;50209;16289;58387;12866;258760;117231.0;116142.0;25387.0
27;2022;17590672;8745468;2485558;1550950;4336937;648680;1678314;461499;1548444;115802;132860;123361;8845204;2153397;1621614;4318645;618074;1670922;470664;1558985;480606;131764;139178;8138591;3172564;4966027;2661105;942346;956266;406310;2.13;8138591;3172564;4966027;2349821;2616206;1099461;633378;194717;212937;58429;3228333;1674618;565298;690522;297895;596408;366681;173091;56636;41825;262539;123361;80393;19209;12564;11195;139178;50653;16589;58611;13325;262539;118805.0;117408.0;26326.0
28;2023;17811291;8850309;2506951;1597332;4360397;654611;1681473;465443;1558870;118318;136318;130993;8960982;2176499;1668710;4341685;622913;1673813;474935;1570024;492315;136742;145031;8270244;3266042;5004202;2677788;956719;959324;410371;2.12;8270244;3266042;5004202;2358933;2645269;1108952;638763;197393;213159;59637;3242090;1677643;573500;691936;299011;610633;375750;176748;58135;42527;276024;130993;84001;21823;13402;11767;145031;53314;18014;59673;14030;276024;125046.0;120401.0;30577.0
29;2024;17942942;8920768;2502801;1633867;4378908;667821;1691779;464904;1554404;120785;143076;141331;9022174;2168102;1706693;4358564;634555;1683561;474332;1566116;497271;143699;147845;8374404;3340560;5033844;2706372;968419;953582;405471;2.11;8374404;3340560;5033844;2385910;2647934;1120806;651188;198578;211683;59357;3247930;1687670;580368;686176;293716;618056;381715;177232;59109;47052;289176;141331;89379;25633;13903;12416;147845;53620;19281;60112;14832;289176;128686.0;122027.0;38463.0
