ID;HouseholdExpenditure;CPISeries;Periods;PriceIndexFigures_1;MonthOnMonthChange_2;YearOnYearChange_3;WeightingCoefficient_4
0;0   Total expenditure;CPI all households;1996 January;100.6;;;100000
1;0   Total expenditure;CPI all households;1996 February;101.0;0.4;;100000
2;0   Total expenditure;CPI all households;1996 March;102.0;1.0;;100000
3;0   Total expenditure;CPI all households;1996 April;102.3;0.3;;100000
4;0   Total expenditure;CPI all households;1996 May;102.0;-0.3;;100000
5;0   Total expenditure;CPI all households;1996 June;101.6;-0.4;;100000
6;0   Total expenditure;CPI all households;1996 July;101.9;0.3;;100000
7;0   Total expenditure;CPI all households;1996 August;101.7;-0.2;;100000
8;0   Total expenditure;CPI all households;1996 September;102.7;1.0;;100000
9;0   Total expenditure;CPI all households;1996 October;102.9;0.2;;100000
10;0   Total expenditure;CPI all households;1996 November;102.8;-0.1;;100000
11;0   Total expenditure;CPI all households;1996 December;102.7;-0.1;;100000
12;0   Total expenditure;CPI all households;1996;102.0;;;100000
13;0   Total expenditure;CPI all households;1997 January;102.8;0.1;2.2;100000
14;0   Total expenditure;CPI all households;1997 February;103.0;0.2;2.0;100000
15;0   Total expenditure;CPI all households;1997 March;103.8;0.8;1.8;100000
16;0   Total expenditure;CPI all households;1997 April;103.9;0.1;1.6;100000
17;0   Total expenditure;CPI all households;1997 May;104.2;0.3;2.2;100000
18;0   Total expenditure;CPI all households;1997 June;103.6;-0.6;2.0;100000
19;0   Total expenditure;CPI all households;1997 July;104.0;0.4;2.1;100000
20;0   Total expenditure;CPI all households;1997 August;104.3;0.3;2.6;100000
21;0   Total expenditure;CPI all households;1997 September;105.2;0.9;2.4;100000
22;0   Total expenditure;CPI all households;1997 October;105.3;0.1;2.3;100000
23;0   Total expenditure;CPI all households;1997 November;105.4;0.1;2.5;100000
24;0   Total expenditure;CPI all households;1997 December;105.1;-0.3;2.3;100000
25;0   Total expenditure;CPI all households;1997;104.2;;2.2;100000
26;0   Total expenditure;CPI all households;1998 January;104.7;-0.4;1.8;100000
27;0   Total expenditure;CPI all households;1998 February;105.3;0.6;2.2;100000
28;0   Total expenditure;CPI all households;1998 March;106.2;0.9;2.3;100000
29;0   Total expenditure;CPI all households;1998 April;106.4;0.2;2.4;100000
30;0   Total expenditure;CPI all households;1998 May;106.3;-0.1;2.0;100000
31;0   Total expenditure;CPI all households;1998 June;105.9;-0.4;2.2;100000
32;0   Total expenditure;CPI all households;1998 July;106.1;0.2;2.0;100000
33;0   Total expenditure;CPI all households;1998 August;106.1;0.0;1.7;100000
34;0   Total expenditure;CPI all households;1998 September;107.0;0.8;1.7;100000
35;0   Total expenditure;CPI all households;1998 October;107.3;0.3;1.9;100000
36;0   Total expenditure;CPI all households;1998 November;107.2;-0.1;1.7;100000
37;0   Total expenditure;CPI all households;1998 December;106.9;-0.3;1.7;100000
38;0   Total expenditure;CPI all households;1998;106.3;;2.0;100000
39;0   Total expenditure;CPI all households;1999 January;107.0;0.1;2.2;100000
40;0   Total expenditure;CPI all households;1999 February;107.5;0.5;2.1;100000
41;0   Total expenditure;CPI all households;1999 March;108.5;0.9;2.2;100000
42;0   Total expenditure;CPI all households;1999 April;108.7;0.2;2.2;100000
43;0   Total expenditure;CPI all households;1999 May;108.7;0.0;2.3;100000
44;0   Total expenditure;CPI all households;1999 June;108.3;-0.4;2.3;100000
45;0   Total expenditure;CPI all households;1999 July;108.3;0.0;2.1;100000
46;0   Total expenditure;CPI all households;1999 August;108.9;0.6;2.6;100000
47;0   Total expenditure;CPI all households;1999 September;109.4;0.5;2.2;100000
48;0   Total expenditure;CPI all households;1999 October;109.5;0.1;2.1;100000
49;0   Total expenditure;CPI all households;1999 November;109.6;0.1;2.2;100000
50;0   Total expenditure;CPI all households;1999 December;109.2;-0.4;2.2;100000
51;0   Total expenditure;CPI all households;1999;108.6;;2.2;100000
52;0   Total expenditure;CPI all households;2000 January;109.1;-0.1;2.0;100000
53;0   Total expenditure;CPI all households;2000 February;109.6;0.5;2.0;100000
54;0   Total expenditure;CPI all households;2000 March;110.6;0.9;1.9;100000
55;0   Total expenditure;CPI all households;2000 April;111.0;0.4;2.1;100000
56;0   Total expenditure;CPI all households;2000 May;111.3;0.3;2.4;100000
57;0   Total expenditure;CPI all households;2000 June;111.2;-0.1;2.7;100000
58;0   Total expenditure;CPI all households;2000 July;111.3;0.1;2.8;100000
59;0   Total expenditure;CPI all households;2000 August;111.6;0.3;2.5;100000
60;0   Total expenditure;CPI all households;2000 September;112.6;0.9;2.9;100000
61;0   Total expenditure;CPI all households;2000 October;112.9;0.3;3.1;100000
62;0   Total expenditure;CPI all households;2000 November;112.9;0.0;3.0;100000
63;0   Total expenditure;CPI all households;2000 December;112.4;-0.4;2.9;100000
64;0   Total expenditure;CPI all households;2000;111.4;;2.6;100000
65;0   Total expenditure;CPI all households;2001 January;113.7;1.2;4.2;100000
66;0   Total expenditure;CPI all households;2001 February;114.5;0.7;4.5;100000
67;0   Total expenditure;CPI all households;2001 March;115.7;1.0;4.6;100000
68;0   Total expenditure;CPI all households;2001 April;116.4;0.6;4.9;100000
69;0   Total expenditure;CPI all households;2001 May;116.7;0.3;4.9;100000
70;0   Total expenditure;CPI all households;2001 June;116.2;-0.4;4.5;100000
71;0   Total expenditure;CPI all households;2001 July;116.4;0.2;4.6;100000
72;0   Total expenditure;CPI all households;2001 August;116.8;0.3;4.7;100000
73;0   Total expenditure;CPI all households;2001 September;117.9;0.9;4.7;100000
74;0   Total expenditure;CPI all households;2001 October;117.8;-0.1;4.3;100000
75;0   Total expenditure;CPI all households;2001 November;117.6;-0.2;4.2;100000
76;0   Total expenditure;CPI all households;2001 December;117.4;-0.2;4.4;100000
77;0   Total expenditure;CPI all households;2001;116.4;;4.5;100000
78;0   Total expenditure;CPI all households;2002 January;118.3;0.8;4.0;100000
79;0   Total expenditure;CPI all households;2002 February;118.8;0.4;3.8;100000
80;0   Total expenditure;CPI all households;2002 March;119.9;0.9;3.6;100000
