ID;Geslacht;Leeftijd;BurgerlijkeStaat;Migratieachtergrond;Perioden;GemiddeldAantalVerzekerdeJarenAOW_1;GemiddeldOpbouwpercentageAOW_2
0;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;2015;20.0;82.5
1;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;2016;20.0;81.4
2;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;2017;20.0;80.3
3;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;2018;20.0;79.1
4;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;2019;20.0;77.9
5;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;2020;19.0;77.0
6;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Totaal;2021;19.0;75.8
7;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederlandse achtergrond;2015;25.0;98.0
8;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederlandse achtergrond;2016;25.0;98.0
9;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederlandse achtergrond;2017;25.0;98.1
10;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederlandse achtergrond;2018;25.0;98.1
11;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederlandse achtergrond;2019;26.0;98.0
12;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederlandse achtergrond;2020;26.0;98.0
13;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Nederlandse achtergrond;2021;26.0;98.0
14;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Met migratieachtergrond;2015;14.0;61.7
15;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Met migratieachtergrond;2016;13.0;60.6
16;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Met migratieachtergrond;2017;13.0;60.1
17;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Met migratieachtergrond;2018;13.0;59.1
18;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Met migratieachtergrond;2019;13.0;57.7
19;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Met migratieachtergrond;2020;13.0;57.4
20;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Met migratieachtergrond;2021;13.0;56.6
21;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;1e generatie migratieachtergrond;2015;12.0;47.6
22;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;1e generatie migratieachtergrond;2016;12.0;46.4
23;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;1e generatie migratieachtergrond;2017;12.0;45.9
24;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;1e generatie migratieachtergrond;2018;11.0;44.8
25;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;1e generatie migratieachtergrond;2019;11.0;43.4
26;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;1e generatie migratieachtergrond;2020;11.0;43.0
27;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;1e generatie migratieachtergrond;2021;11.0;42.3
28;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;2e generatie migratieachtergrond;2015;18.0;96.1
29;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;2e generatie migratieachtergrond;2016;18.0;96.0
30;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;2e generatie migratieachtergrond;2017;18.0;96.1
31;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;2e generatie migratieachtergrond;2018;18.0;96.0
32;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;2e generatie migratieachtergrond;2019;18.0;95.9
33;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;2e generatie migratieachtergrond;2020;18.0;95.9
34;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;2e generatie migratieachtergrond;2021;18.0;95.8
35;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Westerse migratieachtergrond;2015;14.0;55.7
36;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Westerse migratieachtergrond;2016;13.0;54.2
37;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Westerse migratieachtergrond;2017;13.0;53.3
38;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Westerse migratieachtergrond;2018;13.0;51.7
39;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Westerse migratieachtergrond;2019;12.0;49.9
40;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Westerse migratieachtergrond;2020;12.0;49.1
41;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Westerse migratieachtergrond;2021;12.0;48.2
42;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Niet-westerse migratieachtergrond;2015;14.0;67.3
43;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Niet-westerse migratieachtergrond;2016;14.0;66.4
44;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Niet-westerse migratieachtergrond;2017;14.0;66.3
45;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Niet-westerse migratieachtergrond;2018;14.0;65.8
46;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Niet-westerse migratieachtergrond;2019;14.0;65.0
47;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Niet-westerse migratieachtergrond;2020;14.0;65.1
48;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Niet-westerse migratieachtergrond;2021;14.0;64.6
49;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Marokko;2015;16.0;82.9
50;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Marokko;2016;16.0;83.1
51;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Marokko;2017;16.0;83.6
52;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Marokko;2018;17.0;83.9
53;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Marokko;2019;17.0;83.8
54;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Marokko;2020;17.0;84.2
55;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Marokko;2021;17.0;84.3
56;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Turkije;2015;16.0;81.4
57;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Turkije;2016;17.0;81.3
58;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Turkije;2017;17.0;81.3
59;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Turkije;2018;17.0;80.9
60;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Turkije;2019;17.0;80.2
61;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Turkije;2020;18.0;80.0
62;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Turkije;2021;18.0;79.5
63;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Suriname;2015;20.0;87.8
64;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Suriname;2016;20.0;88.0
65;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Suriname;2017;21.0;88.4
66;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Suriname;2018;21.0;88.5
67;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Suriname;2019;21.0;88.5
68;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Suriname;2020;21.0;88.7
69;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;Suriname;2021;22.0;88.8
70;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;(voormalige) Nederlandse Antillen, Aruba;2015;14.0;70.5
71;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;(voormalige) Nederlandse Antillen, Aruba;2016;14.0;70.7
72;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;(voormalige) Nederlandse Antillen, Aruba;2017;14.0;71.1
73;Totaal mannen en vrouwen;10000;Totaal burgerlijke staat;(voormalige) Nederlandse Antillen, Aruba;2018;14.0;71.3
