ID;Geslacht;Leeftijd;Herkomstgroepering;MateVanArbeidsongeschiktheid;DiagnoseArbeidsongeschiktheid;Perioden;TotaalArbeidsongeschiktheidsuitkeringen_1;WAOUitkeringen_2;WAZUitkeringen_3;WajongUitkeringen_4;IVAUitkeringen_5;WGAUitkeringen_6
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 januari;831460;518780;33830;193360;20840;64650
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 februari;830980;515430;33480;194380;21500;66200
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 maart;830050;512050;33120;195090;22180;67610
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 april;828370;507720;32730;195790;22830;69300
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 mei;828100;504820;32360;196880;23330;70710
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 juni;827640;501660;32050;198080;23930;71930
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 juli;828170;498790;31710;199500;24720;73460
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 augustus;828190;496240;31410;200240;25290;75010
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 september;828710;493910;31170;201040;25910;76690
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 oktober;830520;491700;30930;202370;26770;78760
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 november;831020;488880;30680;203680;27420;80370
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2010 december;831940;486320;30410;205140;28180;81900
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 januari;832220;483180;30060;206270;28910;83790
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 februari;831950;479750;29680;207280;29640;85590
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 maart;830570;475850;29230;208180;30290;87020
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 april;829730;472050;28850;209150;31000;88690
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 mei;828830;468140;28420;210100;31710;90460
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 juni;826720;463870;27970;210950;32220;91720
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 juli;825840;459990;27610;212020;32810;93410
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 augustus;825450;456660;27270;212940;33390;95200
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 september;825040;453310;26930;213750;33960;97090
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 oktober;825550;450290;26640;214700;34730;99200
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 november;824640;447250;26340;215290;35250;100510
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2011 december;824540;443930;26030;216240;35980;102370
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 januari;822640;438950;25510;217150;36720;104310
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 februari;821960;435460;25190;218070;37360;105890
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 maart;821250;432130;24860;219010;37990;107250
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 april;820420;428520;24520;220040;38690;108650
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 mei;819420;425270;24210;220920;39320;109700
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 juni;819740;425120;24200;221010;39490;109920
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 juli;818150;421340;23880;221940;40020;110980
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 augustus;817710;418120;23610;222970;40620;112390
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 september;817470;415080;23320;223830;41180;114060
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 oktober;817680;412050;23020;224860;41800;115950
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 november;817540;409090;22750;225750;42480;117480
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2012 december;816890;406160;22520;226480;42890;118840
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 januari;820260;405560;22460;227680;43840;120720
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 februari;819750;402370;22200;228590;44410;122180
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 maart;819410;399330;21920;229490;45080;123590
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 april;818550;395960;21630;230350;45780;124830
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 mei;818190;392890;21360;231400;46470;126070
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 juni;817560;389770;21100;232550;47070;127070
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 juli;817330;386920;20800;233690;47760;128160
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 augustus;816660;383630;20520;234690;48300;129510
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 september;817040;380890;20280;235690;49040;131130
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 oktober;817570;378140;20030;236920;49840;132660
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 november;817790;375550;19790;237870;50860;133730
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2013 december;817840;373100;19580;238710;51540;134900
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 januari;820890;372630;19540;239850;52740;136140
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 februari;820720;369980;19300;240720;53550;137170
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 maart;820620;367030;19070;241770;54380;138370
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 april;820750;364480;18860;242640;55390;139380
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal herkomstgroepering;Totaal mate van arbeidsongeschiktheid;0;2014 mei;820350;361640;18630;243660;56120;140290
