ID;CostsToAcquireAndOwn;Periods;PriceIndex_1;ChangesComparedToThePreviousPeriod_2;ChangesComparedToThePreviousYear_3
0;Owner-occupiers Housing Expenditures;2010 1st quarter;111.2;;
1;Owner-occupiers Housing Expenditures;2010 2nd quarter;111.1;0.0;
2;Owner-occupiers Housing Expenditures;2010 3rd quarter;110.6;-0.4;
3;Owner-occupiers Housing Expenditures;2010 4th quarter;110.6;0.0;
4;Owner-occupiers Housing Expenditures;2010;110.9;;
5;Owner-occupiers Housing Expenditures;2011 1st quarter;111.5;0.8;0.3
6;Owner-occupiers Housing Expenditures;2011 2nd quarter;109.2;-2.1;-1.7
7;Owner-occupiers Housing Expenditures;2011 3rd quarter;105.2;-3.6;-4.9
8;Owner-occupiers Housing Expenditures;2011 4th quarter;104.3;-0.9;-5.7
9;Owner-occupiers Housing Expenditures;2011;107.6;-3.0;-3.0
10;Owner-occupiers Housing Expenditures;2012 1st quarter;101.3;-2.9;-9.2
11;Owner-occupiers Housing Expenditures;2012 2nd quarter;101.8;0.5;-6.8
12;Owner-occupiers Housing Expenditures;2012 3rd quarter;99.5;-2.2;-5.4
13;Owner-occupiers Housing Expenditures;2012 4th quarter;101.7;2.1;-2.5
14;Owner-occupiers Housing Expenditures;2012;101.1;-6.0;-6.0
15;Owner-occupiers Housing Expenditures;2013 1st quarter;100.4;-1.3;-0.9
16;Owner-occupiers Housing Expenditures;2013 2nd quarter;97.3;-3.0;-4.4
17;Owner-occupiers Housing Expenditures;2013 3rd quarter;98.1;0.8;-1.5
18;Owner-occupiers Housing Expenditures;2013 4th quarter;97.1;-1.0;-4.5
19;Owner-occupiers Housing Expenditures;2013;98.2;-2.8;-2.8
20;Owner-occupiers Housing Expenditures;2014 1st quarter;97.0;-0.1;-3.4
21;Owner-occupiers Housing Expenditures;2014 2nd quarter;97.2;0.2;-0.2
22;Owner-occupiers Housing Expenditures;2014 3rd quarter;97.7;0.5;-0.4
23;Owner-occupiers Housing Expenditures;2014 4th quarter;98.1;0.4;1.0
24;Owner-occupiers Housing Expenditures;2014;97.5;-0.8;-0.8
25;Owner-occupiers Housing Expenditures;2015 1st quarter;98.4;0.3;1.4
26;Owner-occupiers Housing Expenditures;2015 2nd quarter;99.4;1.0;2.3
27;Owner-occupiers Housing Expenditures;2015 3rd quarter;100.9;1.5;3.3
28;Owner-occupiers Housing Expenditures;2015 4th quarter;101.3;0.3;3.2
29;Owner-occupiers Housing Expenditures;2015;100.0;2.6;2.6
30;Owner-occupiers Housing Expenditures;2016 1st quarter;102.1;0.8;3.8
31;Owner-occupiers Housing Expenditures;2016 2nd quarter;102.4;0.3;3.0
32;Owner-occupiers Housing Expenditures;2016 3rd quarter;104.0;1.6;3.1
33;Owner-occupiers Housing Expenditures;2016 4th quarter;105.5;1.4;4.2
34;Owner-occupiers Housing Expenditures;2016;103.5;3.5;3.5
35;Owner-occupiers Housing Expenditures;2017 1st quarter;107.0;1.4;4.9
36;Owner-occupiers Housing Expenditures;2017 2nd quarter;108.3;1.1;5.7
37;Owner-occupiers Housing Expenditures;2017 3rd quarter;109.1;0.8;4.9
38;Owner-occupiers Housing Expenditures;2017 4th quarter;111.9;2.6;6.0
39;Owner-occupiers Housing Expenditures;2017;109.1;5.4;5.4
40;Owner-occupiers Housing Expenditures;2018 1st quarter;114.7;2.5;7.1
41;Owner-occupiers Housing Expenditures;2018 2nd quarter;115.8;0.9;6.9
42;Owner-occupiers Housing Expenditures;2018 3rd quarter;118.7;2.6;8.8
43;Owner-occupiers Housing Expenditures;2018 4th quarter;120.4;1.4;7.6
44;Owner-occupiers Housing Expenditures;2018;117.4;7.6;7.6
45;Owner-occupiers Housing Expenditures;2019 1st quarter;123.1;2.2;7.3
46;Owner-occupiers Housing Expenditures;2019 2nd quarter;124.8;1.5;7.8
47;Owner-occupiers Housing Expenditures;2019 3rd quarter;125.0;0.1;5.3
48;Owner-occupiers Housing Expenditures;2019 4th quarter;126.9;1.6;5.4
49;Owner-occupiers Housing Expenditures;2019;124.9;6.4;6.4
50;Owner-occupiers Housing Expenditures;2020 1st quarter;127.8;0.7;3.9
51;Owner-occupiers Housing Expenditures;2020 2nd quarter;130.0;1.7;4.2
52;Owner-occupiers Housing Expenditures;2020 3rd quarter;131.7;1.3;5.4
53;Owner-occupiers Housing Expenditures;2020 4th quarter;133.8;1.6;5.4
54;Owner-occupiers Housing Expenditures;2020;130.8;4.7;4.7
55;Owner-occupiers Housing Expenditures;2021 1st quarter;137.2;2.6;7.4
56;Owner-occupiers Housing Expenditures;2021 2nd quarter;139.1;1.4;7.0
57;Owner-occupiers Housing Expenditures;2021 3rd quarter;142.1;2.1;7.9
58;Owner-occupiers Housing Expenditures;2021 4th quarter;144.8;1.9;8.2
59;Owner-occupiers Housing Expenditures;2021;140.8;7.6;7.6
60;Owner-occupiers Housing Expenditures;2022 1st quarter;150.0;3.6;9.3
61;Owner-occupiers Housing Expenditures;2022 2nd quarter;153.7;2.5;10.4
62;Owner-occupiers Housing Expenditures;2022 3rd quarter;156.1;1.6;9.8
63;Owner-occupiers Housing Expenditures;2022 4th quarter;154.1;-1.3;6.4
64;Owner-occupiers Housing Expenditures;2022;153.4;9.0;9.0
65;Owner-occupiers Housing Expenditures;2023 1st quarter;160.1;3.9;6.7
66;Owner-occupiers Housing Expenditures;2023 2nd quarter;162.8;1.7;5.9
67;Owner-occupiers Housing Expenditures;2023 3rd quarter;164.2;0.9;5.2
68;Acquisition of dwellings total;2010 1st quarter;117.3;;
69;Acquisition of dwellings total;2010 2nd quarter;117.3;0.0;
70;Acquisition of dwellings total;2010 3rd quarter;116.8;-0.4;
71;Acquisition of dwellings total;2010 4th quarter;117.6;0.6;
72;Acquisition of dwellings total;2010;117.2;;
73;Acquisition of dwellings total;2011 1st quarter;118.3;0.6;0.8
74;Acquisition of dwellings total;2011 2nd quarter;115.0;-2.8;-1.9
75;Acquisition of dwellings total;2011 3rd quarter;109.1;-5.1;-6.6
76;Acquisition of dwellings total;2011 4th quarter;107.8;-1.2;-8.3
77;Acquisition of dwellings total;2011;112.5;-4.0;-4.0
78;Acquisition of dwellings total;2012 1st quarter;103.3;-4.2;-12.6
79;Acquisition of dwellings total;2012 2nd quarter;103.5;0.2;-9.9
80;Acquisition of dwellings total;2012 3rd quarter;100.6;-2.8;-7.7
81;Acquisition of dwellings total;2012 4th quarter;103.0;2.4;-4.4
82;Acquisition of dwellings total;2012;102.6;-8.8;-8.8
83;Acquisition of dwellings total;2013 1st quarter;101.5;-1.5;-1.7
84;Acquisition of dwellings total;2013 2nd quarter;98.8;-2.7;-4.6
85;Acquisition of dwellings total;2013 3rd quarter;99.5;0.7;-1.1
86;Acquisition of dwellings total;2013 4th quarter;98.4;-1.1;-4.5
87;Acquisition of dwellings total;2013;99.5;-3.0;-3.0
88;Acquisition of dwellings total;2014 1st quarter;97.2;-1.2;-4.2
89;Acquisition of dwellings total;2014 2nd quarter;97.8;0.6;-1.0
90;Acquisition of dwellings total;2014 3rd quarter;98.2;0.3;-1.3
91;Acquisition of dwellings total;2014 4th quarter;98.7;0.5;0.3
92;Acquisition of dwellings total;2014;98.0;-1.6;-1.6
93;Acquisition of dwellings total;2015 1st quarter;99.1;0.4;1.9
94;Acquisition of dwellings total;2015 2nd quarter;100.5;1.5;2.7
95;Acquisition of dwellings total;2015 3rd quarter;100.5;-0.1;2.3
96;Acquisition of dwellings total;2015 4th quarter;100.0;-0.5;1.3
97;Acquisition of dwellings total;2015;100.0;2.1;2.1
98;Acquisition of dwellings total;2016 1st quarter;101.0;1.0;2.0
