ID;Geslacht;Leeftijd;SociaaleconomischeCategorie;BeroepenEnSpecialismen;Sector;Perioden;MedischGeschoolden_1
0;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2013;332310
1;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2014;287165
2;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2015;294390
3;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2016;300625
4;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2017;307405
5;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2018;314305
6;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2019;312135
7;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2020;322495
8;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2021;332015
9;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2022;339525
10;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;2023;334850
11;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2013;332310
12;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2014;287165
13;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2015;294390
14;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2016;300625
15;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2017;307405
16;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2018;314305
17;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2019;312135
18;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2020;322495
19;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2021;332015
20;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2022;339525
21;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Alle economische activiteiten;2023;334850
22;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2013;284945
23;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2014;259630
24;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2015;265410
25;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2016;269910
26;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2017;276000
27;Totaal mannen en vrouwen;Totaal leeftijd;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal Gezondheids- en welzijnszorg;2018;282140
