ID;Pensioenfondsen;Perioden;TotaalActiva_1;OnroerendeZakenEnInventaris_2;HypothecaireLeningen_3;TotaalEffecten_4;Aandelen_5;Obligaties_6;LeningenOpSchuldbekentenis_7;NietGeconsolideerdeDeelnemingen_8;DepositoSEnLiquideMiddelen_9;PremiereserveHerverzekering_10;OverigeVorderingen_11;TotaalPassiva_12;StichtingskapitaalEnReserves_13;VoorzieningPensioenverplichtingen_14;Leningen_15;OverigeSchulden_16;Saldo_17;TotaalLasten_18;VermeerderingTechnischeVoorziening_19;UitkeringenEnAfkopenEigenRekening_20;Onkosten_21;AndereLasten_22;GeboektTenGunsteVanReserves_23;Overdrachten_24;TotaalBaten_25;PremiesEigenRekening_26;Beleggingsopbrengsten_27;OpbrengstOnroerendeZaken_28;WinstEnBijschrijvingOpBeleggingen_29;AndereBaten_30;Overdrachten_31
0;Totaal pensioenfondsen;1987;161.8;12.5;5.1;39.1;;;86.3;5.0;1.2;4.6;8.1;161.8;11.8;147.0;1.1;1.5;0.4;16.5;9.3;6.3;0.4;0.5;;0.1;16.5;5.5;10.8;0.7;-0.9;0.3;0.1
1;Totaal pensioenfondsen;1988;175.8;13.3;5.8;47.6;;;88.9;5.8;1.7;4.9;7.9;175.8;15.6;157.5;1.0;1.3;0.5;17.7;10.1;6.7;0.4;0.5;;0.0;17.7;5.4;11.2;0.8;-0.3;0.5;0.3
2;Totaal pensioenfondsen;1989;184.6;13.7;6.5;52.7;;;89.2;6.8;2.5;5.2;7.9;184.6;15.7;166.3;0.7;1.8;0.1;17.7;8.0;7.2;0.5;0.6;;1.6;17.7;4.9;11.4;0.8;-0.3;0.4;0.5
3;Totaal pensioenfondsen;1990;190.0;14.1;6.9;53.8;;;89.3;7.9;3.9;5.9;8.2;190.0;11.3;175.2;1.0;2.3;0.1;12.8;7.7;7.7;0.4;0.5;-3.8;0.4;12.8;4.9;12.0;0.9;-6.1;0.3;0.9
4;Totaal pensioenfondsen;1991;204.2;18.1;9.0;67.1;;;87.5;4.3;4.0;5.8;8.4;204.2;14.0;186.3;1.0;2.9;;24.0;11.0;8.1;0.5;0.5;3.3;0.5;24.0;5.3;12.8;1.0;3.8;0.4;0.7
5;Totaal pensioenfondsen;1992;218.3;18.7;10.1;81.5;;;84.6;4.4;3.8;6.4;8.8;218.3;16.5;198.0;0.6;3.2;;23.6;13.4;8.7;0.5;0.5;-0.1;0.7;23.6;5.5;12.9;1.2;2.8;0.4;0.9
6;Totaal pensioenfondsen;1993;247.2;19.2;11.1;107.4;;;83.1;4.4;5.0;7.5;9.3;247.2;28.8;214.5;0.6;3.2;;38.9;17.6;9.2;0.5;0.7;10.2;0.7;38.9;5.7;13.4;1.4;17.1;0.4;0.9
7;Totaal pensioenfondsen;1994;259.2;17.3;11.7;111.5;;;80.1;7.2;3.6;15.3;12.4;259.2;21.1;232.0;0.7;5.4;;16.6;7.9;9.5;0.6;0.9;-2.9;0.6;16.6;6.0;12.4;1.5;-5.4;1.3;0.8
8;Totaal pensioenfondsen;1995;281.5;18.2;11.8;138.2;;;77.5;6.1;4.8;15.2;9.6;281.5;32.7;242.9;1.0;4.9;;30.4;14.3;9.7;0.4;1.4;4.0;0.6;30.4;6.5;13.8;1.1;5.8;2.5;0.6
9;Totaal pensioenfondsen;1996;324.5;19.1;12.4;180.5;;;73.7;8.7;5.1;15.9;9.2;324.5;54.4;265.2;1.4;3.5;;37.2;19.7;9.2;0.4;2.0;5.4;0.5;37.2;5.2;14.7;1.3;13.5;1.8;0.6
10;Totaal pensioenfondsen;1997;374.6;18.7;12.3;238.0;133.7;104.3;69.7;9.1;5.4;11.8;9.7;374.6;84.6;282.5;1.5;6.0;;48.7;22.0;9.5;0.4;2.9;13.1;0.9;48.7;6.4;15.7;1.2;22.6;2.0;0.7
11;Totaal pensioenfondsen;1998;406.8;20.4;13.1;276.4;148.5;127.9;57.7;10.3;5.1;12.7;11.0;406.8;96.6;302.9;0.9;6.5;;52.1;23.7;10.2;0.5;1.8;14.6;1.3;52.1;7.7;16.2;1.5;23.3;1.6;1.9
12;Totaal pensioenfondsen;1999;471.6;21.8;13.6;351.0;215.7;135.3;44.2;14.1;3.5;13.6;9.9;471.6;126.6;334.8;1.5;8.8;;80.0;30.5;10.8;0.6;1.8;34.7;1.5;80.0;8.3;16.5;1.4;49.0;2.8;2.0
13;Totaal pensioenfondsen;2000;497.7;24.2;13.9;384.2;216.5;167.7;31.4;14.9;5.7;14.1;9.3;497.7;112.5;375.5;1.0;8.7;;25.7;23.3;12.2;0.7;1.4;-13.5;1.7;25.7;9.5;18.7;1.6;-8.2;2.0;2.2
14;Totaal pensioenfondsen;2001;465.5;24.1;13.4;371.6;207.0;164.6;22.5;15.4;4.6;6.1;7.7;465.5;68.6;385.9;1.5;9.6;;2.7;18.5;12.4;0.7;0.3;-30.8;1.5;2.7;11.2;14.9;1.5;-27.9;1.4;1.6
15;Totaal pensioenfondsen;2002;443.4;21.9;15.5;344.9;167.3;177.6;15.3;20.9;11.6;5.9;7.4;443.4;-1.1;434.2;1.4;8.9;;-12.1;35.3;14.0;0.8;1.2;-65.3;1.9;-12.1;18.3;14.7;0.9;-51.3;3.1;2.3
16;Totaal pensioenfondsen;2003;497.0;21.2;14.5;404.6;214.8;189.8;11.2;19.9;10.9;6.4;8.3;497.0;13.0;470.9;1.9;11.1;;69.7;39.0;15.3;0.8;1.5;11.3;1.8;69.7;20.3;14.7;0.8;30.6;1.0;2.3
17;Totaal pensioenfondsen;2004;554.1;21.3;14.1;456.7;236.5;220.3;9.7;27.4;14.2;2.9;7.8;554.1;83.5;454.4;0.7;15.5;;74.7;-15.8;16.4;0.8;1.6;69.9;1.7;74.7;22.2;14.0;1.0;33.9;0.9;2.6
18;Totaal pensioenfondsen;2005;641.4;21.1;12.6;539.0;287.1;251.9;8.2;34.1;14.5;3.7;8.3;641.4;119.3;503.8;0.9;17.3;;105.2;51.6;17.7;0.9;2.0;31.0;2.0;105.2;24.9;15.5;1.2;59.2;0.9;3.5
19;Totaal pensioenfondsen;2006;749.7;19.1;12.3;582.4;314.8;267.6;7.2;42.2;28.9;3.0;54.6;749.7;172.8;501.5;0.6;74.8;;78.6;1.2;18.9;0.9;0.7;54.3;2.4;78.6;23.5;15.6;1.1;33.8;0.7;3.7
20;Totaal pensioenfondsen;2007;772.5;19.4;13.9;581.7;311.1;270.7;8.4;42.5;29.9;11.4;65.2;772.5;210.6;492.6;0.3;68.9;;51.5;-8.4;20.2;1.0;0.7;35.4;2.6;51.5;23.8;17.7;1.2;4.2;0.9;3.6
21;Totaal pensioenfondsen;2008;682.2;18.1;12.4;505.0;224.1;280.9;10.3;68.5;26.9;12.0;29.0;682.2;-27.0;619.8;21.7;67.7;;-82.1;127.8;21.4;1.0;1.4;-237.0;3.2;-82.1;26.3;17.5;1.4;-132.0;1.2;3.5
22;Totaal pensioenfondsen;2009;692.9;16.9;32.7;511.6;218.0;293.6;32.7;3.4;14.7;13.0;67.8;692.9;49.6;634.7;0.3;8.3;;118.4;15.8;22.4;1.1;0.6;77.7;0.6;118.4;29.5;18.6;0.7;66.7;1.3;1.6
23;Totaal pensioenfondsen;2010;774.2;16.4;23.9;602.5;326.2;276.3;24.1;4.3;18.0;14.1;70.8;774.2;48.3;720.5;0.2;5.2;;111.2;85.4;23.7;1.1;0.6;-1.4;1.8;111.2;28.1;18.5;2.8;57.6;1.2;3.0
24;Totaal pensioenfondsen;2011;831.3;16.5;25.4;651.5;322.8;328.7;22.6;2.8;18.7;15.4;78.2;831.3;-12.5;837.6;0.2;6.0;;88.7;120.5;24.6;1.1;0.4;-60.7;2.9;88.7;29.6;18.7;1.4;32.8;1.9;4.3
25;Totaal pensioenfondsen;2012;947.6;15.5;26.8;775.2;373.1;402.1;23.7;3.7;28.4;16.0;58.2;947.6;29.6;911.8;0.2;5.9;;149.3;74.5;25.5;1.1;0.4;41.8;5.9;149.3;31.5;20.7;2.7;86.2;0.6;7.6
26;Totaal pensioenfondsen;2013;983.4;13.5;32.7;816.3;412.9;403.5;20.0;0.9;26.5;15.3;58.2;983.4;90.8;885.9;0.2;6.5;;71.9;-21.1;26.1;1.1;0.2;61.8;3.8;71.9;33.5;20.1;2.1;7.7;0.5;8.0
27;Totaal pensioenfondsen;2014;1164.1;12.7;31.2;1010.7;496.2;514.4;19.8;2.8;21.8;13.2;51.9;1164.1;84.1;1069.7;0.2;10.1;;220.6;189.2;26.8;1.1;1.7;-5.3;7.2;220.6;31.2;22.4;2.4;150.6;1.1;12.9
28;Totaal pensioenfondsen;2015;1175.7;12.7;27.1;1037.4;495.8;541.6;16.9;2.0;22.0;12.5;45.1;1175.7;26.8;1139.6;0.2;9.2;;49.1;72.5;27.6;1.1;1.0;-56.4;3.4;49.1;28.3;23.5;2.9;-10.5;0.3;4.5
29;Bedrijfstakpensioenfondsen;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Bedrijfstakpensioenfondsen;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Bedrijfstakpensioenfondsen;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Bedrijfstakpensioenfondsen;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Bedrijfstakpensioenfondsen;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Bedrijfstakpensioenfondsen;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Bedrijfstakpensioenfondsen;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Bedrijfstakpensioenfondsen;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Bedrijfstakpensioenfondsen;1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Bedrijfstakpensioenfondsen;1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
