ID;Afstudeerrichting;Geslacht;Leeftijd;Herkomstgroepering;Peilmoment;SBI93;Perioden;AfgestudeerdenTotaal_1;WerkTotaal_2;Werknemers_3;Zelfstandigen_4;UitkeringTotaal_5;Arbeidsongeschiktheidsuitkering_6;Werkloosheidsuitkering_7;Bijstandsuitkering_8;AndereUitkering_9;DoorstuderendeAfgestudeerden_10;OverigeAfgestudeerden_11;EmigratieSterfte_12;AfgestudeerdenTotaal_13;WerkTotaal_14;Werknemers_15;Zelfstandigen_16;UitkeringTotaal_17;Arbeidsongeschiktheidsuitkering_18;Werkloosheidsuitkering_19;Bijstandsuitkering_20;AndereUitkering_21;DoorstuderendeAfgestudeerden_22;OverigeAfgestudeerden_23;EmigratieSterfte_24;AfgestudeerdenTotaal_25;WerkTotaal_26;Werknemers_27;Zelfstandigen_28;UitkeringTotaal_29;Arbeidsongeschiktheidsuitkering_30;Werkloosheidsuitkering_31;Bijstandsuitkering_32;AndereUitkering_33;DoorstuderendeAfgestudeerden_34;OverigeAfgestudeerden_35;EmigratieSterfte_36;LoonVanWerknemersHogerOnderwijs_37;LoonVanWerknemersHogerBeroepsond_38;LoonVanWerknemersWetenschOnderw_39
0;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;Economische activiteiten, totaal;Cohort 1999/'00;58770.0;43510.0;42720.0;790.0;1310.0;90.0;70.0;720.0;440.0;6480.0;7470.0;;41030.0;30510.0;29940.0;570.0;720.0;50.0;50.0;400.0;220.0;5550.0;4250.0;;17740.0;13000.0;12770.0;230.0;590.0;30.0;20.0;310.0;220.0;930.0;3230.0;;1.4;1.4;1.7
1;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;Economische activiteiten, totaal;Cohort 2000/'01;57980.0;43210.0;42430.0;770.0;1080.0;100.0;60.0;530.0;390.0;6520.0;7170.0;;40460.0;30150.0;29600.0;550.0;620.0;60.0;40.0;290.0;230.0;5620.0;4080.0;;17520.0;13060.0;12830.0;230.0;470.0;40.0;30.0;250.0;160.0;900.0;3090.0;;1.5;1.4;1.7
2;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;Economische activiteiten, totaal;Cohort 2001/'02;59780.0;43840.0;43090.0;750.0;1120.0;120.0;110.0;510.0;380.0;7430.0;7400.0;;41360.0;30160.0;29630.0;530.0;620.0;70.0;60.0;300.0;190.0;6430.0;4160.0;;18420.0;13680.0;13460.0;220.0;500.0;50.0;50.0;210.0;190.0;990.0;3240.0;;1.5;1.4;1.7
3;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;Economische activiteiten, totaal;Cohort 2002/'03;61230.0;43530.0;42730.0;800.0;1540.0;140.0;200.0;830.0;370.0;8550.0;7610.0;;41910.0;29460.0;28910.0;560.0;890.0;90.0;120.0;480.0;200.0;7240.0;4310.0;;19320.0;14070.0;13830.0;240.0;650.0;50.0;80.0;350.0;170.0;1310.0;3300.0;;1.5;1.3;1.7
4;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;Economische activiteiten, totaal;Cohort 2003/'04;64150.0;44730.0;43820.0;900.0;1460.0;130.0;190.0;780.0;360.0;8780.0;9190.0;;42890.0;29540.0;28920.0;620.0;870.0;90.0;110.0;460.0;210.0;7390.0;5090.0;;21260.0;15180.0;14900.0;280.0;590.0;40.0;80.0;320.0;150.0;1390.0;4100.0;;1.5;1.4;1.7
5;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;Economische activiteiten, totaal;Cohort 2004/'05;66040.0;46050.0;45210.0;840.0;1570.0;150.0;190.0;530.0;700.0;8830.0;9600.0;;42120.0;29030.0;28510.0;520.0;1000.0;90.0;120.0;300.0;490.0;7220.0;4870.0;;23920.0;17020.0;16700.0;320.0;560.0;60.0;70.0;220.0;210.0;1600.0;4730.0;;1.5;1.4;1.8
6;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;SBI 01-05, Land-, bosbouw en visserij;Cohort 1999/'00;280.0;280.0;220.0;60.0;;;;;;;;;250.0;250.0;200.0;50.0;;;;;;;;;30.0;30.0;30.0;0.0;;;;;;;;;1.2;1.2;1.1
7;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;SBI 01-05, Land-, bosbouw en visserij;Cohort 2000/'01;260.0;260.0;220.0;40.0;;;;;;;;;230.0;230.0;190.0;40.0;;;;;;;;;40.0;40.0;30.0;0.0;;;;;;;;;1.1;1.1;0.8
8;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;SBI 01-05, Land-, bosbouw en visserij;Cohort 2001/'02;310.0;310.0;250.0;60.0;;;;;;;;;260.0;260.0;210.0;50.0;;;;;;;;;50.0;50.0;40.0;10.0;;;;;;;;;1.0;1.1;0.9
9;Alle afstudeerrichtingen;Mannen en vrouwen;0;0;Direct na afstuderen;SBI 01-05, Land-, bosbouw en visserij;Cohort 2002/'03;370.0;370.0;310.0;60.0;;;;;;;;;310.0;310.0;270.0;50.0;;;;;;;;;50.0;50.0;40.0;10.0;;;;;;;;;1.0;1.0;1.0
