ID;SexOfEmployee;TypeOfEmploymentContract;JobCharacterics;IndustryClassBranchSIC2008;Periods;Jobs_1;LabourVolume_2;HourlyWage_3;MonthlyWageIncludingOvertime_4;MonthlyWageExcludingOvertime_5;YearlyWageIncludingBonuses_6;YearlyWageExcludingSpecialPayments_7;BonusesAndAllowances_8;AdditionalTaxLiabilityForCompanyCar_9;PerJobPerWeekIncludingOvertime_10;PerJobPerWeekExcludingOvertime_11;PerJobPerYear_12;PerWorkingYear_13
0;Total;Total;Total;A-U All economic activities;2009;7820.0;5925.0;20.02;2225.0;2195.0;30650.0;26710.0;3940.0;510.0;29.1;28.8;1315.0;1736.0
1;Total;Total;Total;A-U All economic activities;2010 before change of method;7774.0;5870.0;20.39;2245.0;2214.0;30960.0;26940.0;4020.0;490.0;29.0;28.6;1303.0;1725.0
2;Total;Total;Total;A-U All economic activities;2010 after change of method;7860.0;5924.0;20.41;2245.0;2214.0;30990.0;26940.0;4050.0;500.0;28.9;28.5;1301.0;1727.0
3;Total;Total;Total;A-U All economic activities;2011;7926.0;5926.0;20.62;2266.0;2234.0;31340.0;27200.0;4140.0;470.0;28.7;28.3;1300.0;1739.0
4;Total;Total;Total;A-U All economic activities;2012;7872.0;5868.0;21.16;2302.0;2271.0;31740.0;27630.0;4120.0;480.0;28.6;28.3;1288.0;1728.0
5;Total;Total;Total;A-U All economic activities;2013;7746.0;5773.0;21.48;2337.0;2306.0;32430.0;28050.0;4380.0;460.0;28.8;28.4;1288.0;1729.0
6;Total;Total;Total;A-U All economic activities;2014;7706.0;5740.0;21.58;2359.0;2328.0;32590.0;28310.0;4270.0;430.0;28.8;28.4;1294.0;1738.0
7;Total;Total;Total;A-U All economic activities;2015;7783.0;5794.0;22.08;2405.0;2373.0;33200.0;28860.0;4340.0;390.0;28.8;28.4;1290.0;1732.0
8;Total;Total;Total;A-U All economic activities;2016;7893.0;5902.0;22.13;2436.0;2404.0;33730.0;29230.0;4500.0;390.0;29.0;28.6;1303.0;1743.0
9;Total;Total;Total;A-U All economic activities;2017;8096.0;6045.0;22.23;2460.0;2427.0;34090.0;29520.0;4570.0;400.0;29.0;28.7;1310.0;1754.0
10;Total;Total;Total;A-U All economic activities;2018;8324.0;6237.0;22.69;2508.0;2474.0;34670.0;30090.0;4580.0;420.0;29.1;28.8;1309.0;1747.0
11;Total;Total;Total;A-U All economic activities;2019;8501.0;6381.0;23.14;2575.0;2543.0;35630.0;30900.0;4740.0;440.0;29.2;28.9;1318.0;1756.0
12;Total;Total;Total;A-U All economic activities;2020;8391.0;6356.0;24.07;2692.0;2663.0;37280.0;32310.0;4970.0;470.0;29.5;29.2;1328.0;1753.0
13;Total;Total;Total;A-U All economic activities;2021;8561.0;6507.0;24.45;2761.0;2730.0;38380.0;33130.0;5250.0;470.0;29.5;29.2;1340.0;1763.0
14;Total;Total;Total;A-U All economic activities;2022;8868.0;6723.0;25.32;2852.0;2822.0;39940.0;34230.0;5710.0;480.0;29.5;29.2;1337.0;1764.0
15;Total;Total;Total;A-U All economic activities;2023;8979.0;6826.0;27.12;3045.0;3015.0;42380.0;36540.0;5840.0;520.0;29.5;29.2;1334.0;1755.0
16;Total;Total;Total;A-F Agriculture and industry;2009;1351.0;1197.0;20.07;2695.0;2640.0;36640.0;32340.0;4290.0;700.0;35.1;34.5;1579.0;1783.0
17;Total;Total;Total;A-F Agriculture and industry;2010 before change of method;1308.0;1161.0;20.44;2744.0;2685.0;37210.0;32920.0;4290.0;720.0;35.1;34.5;1576.0;1776.0
18;Total;Total;Total;A-F Agriculture and industry;2010 after change of method;1322.0;1170.0;20.45;2739.0;2680.0;37180.0;32860.0;4320.0;730.0;35.1;34.4;1573.0;1778.0
19;Total;Total;Total;A-F Agriculture and industry;2011;1313.0;1157.0;20.78;2796.0;2733.0;38010.0;33550.0;4470.0;710.0;34.9;34.3;1578.0;1790.0
20;Total;Total;Total;A-F Agriculture and industry;2012;1290.0;1137.0;21.35;2850.0;2788.0;38720.0;34200.0;4510.0;730.0;35.0;34.3;1567.0;1778.0
21;Total;Total;Total;A-F Agriculture and industry;2013;1243.0;1097.0;21.6;2904.0;2838.0;39810.0;34850.0;4960.0;720.0;35.4;34.6;1577.0;1787.0
22;Total;Total;Total;A-F Agriculture and industry;2014;1220.0;1076.0;21.8;2942.0;2876.0;40270.0;35310.0;4960.0;690.0;35.3;34.6;1583.0;1795.0
23;Total;Total;Total;A-F Agriculture and industry;2015;1208.0;1067.0;22.44;3015.0;2946.0;41260.0;36180.0;5080.0;590.0;35.3;34.6;1575.0;1783.0
24;Total;Total;Total;A-F Agriculture and industry;2016;1212.0;1072.0;22.7;3064.0;2996.0;42110.0;36770.0;5340.0;580.0;35.3;34.6;1583.0;1791.0
25;Total;Total;Total;A-F Agriculture and industry;2017;1225.0;1086.0;22.93;3108.0;3037.0;42790.0;37290.0;5490.0;610.0;35.4;34.7;1589.0;1793.0
26;Total;Total;Total;A-F Agriculture and industry;2018;1253.0;1112.0;23.48;3176.0;3106.0;43590.0;38120.0;5470.0;640.0;35.5;34.8;1587.0;1789.0
27;Total;Total;Total;A-F Agriculture and industry;2019;1284.0;1141.0;24.01;3264.0;3195.0;44680.0;39170.0;5520.0;680.0;35.5;34.9;1597.0;1797.0
28;Total;Total;Total;A-F Agriculture and industry;2020;1287.0;1144.0;24.79;3352.0;3293.0;45780.0;40230.0;5550.0;710.0;35.5;34.9;1594.0;1792.0
29;Total;Total;Total;A-F Agriculture and industry;2021;1300.0;1154.0;25.14;3421.0;3357.0;47120.0;41050.0;6080.0;740.0;35.4;34.8;1602.0;1805.0
30;Total;Total;Total;A-F Agriculture and industry;2022;1322.0;1174.0;26.09;3547.0;3485.0;49120.0;42560.0;6560.0;760.0;35.4;34.8;1603.0;1805.0
31;Total;Total;Total;A-F Agriculture and industry;2023;1342.0;1194.0;27.82;3770.0;3707.0;51860.0;45240.0;6620.0;820.0;35.4;34.9;1599.0;1796.0
32;Total;Total;Total;A Agriculture, forestry and fishing;2009;105.0;71.0;14.38;1482.0;1439.0;19380.0;17790.0;1600.0;280.0;26.7;26.2;1201.0;1792.0
33;Total;Total;Total;A Agriculture, forestry and fishing;2010 before change of method;103.0;70.0;14.6;1515.0;1470.0;19820.0;18180.0;1640.0;290.0;27.0;26.4;1208.0;1777.0
34;Total;Total;Total;A Agriculture, forestry and fishing;2010 after change of method;106.0;72.0;14.61;1506.0;1462.0;19700.0;18080.0;1620.0;300.0;26.8;26.2;1201.0;1780.0
35;Total;Total;Total;A Agriculture, forestry and fishing;2011;106.0;71.0;14.93;1556.0;1509.0;20420.0;18680.0;1740.0;290.0;26.9;26.3;1213.0;1798.0
36;Total;Total;Total;A Agriculture, forestry and fishing;2012;105.0;71.0;15.38;1595.0;1547.0;20830.0;19140.0;1690.0;310.0;27.0;26.3;1207.0;1793.0
37;Total;Total;Total;A Agriculture, forestry and fishing;2013;105.0;72.0;15.58;1655.0;1605.0;21670.0;19860.0;1810.0;300.0;27.8;27.1;1236.0;1796.0
38;Total;Total;Total;A Agriculture, forestry and fishing;2014;104.0;72.0;15.74;1681.0;1631.0;21910.0;20180.0;1740.0;290.0;27.8;27.1;1243.0;1808.0
39;Total;Total;Total;A Agriculture, forestry and fishing;2015;102.0;70.0;15.91;1695.0;1642.0;22210.0;20340.0;1860.0;240.0;27.8;27.1;1239.0;1798.0
40;Total;Total;Total;A Agriculture, forestry and fishing;2016;104.0;72.0;16.02;1724.0;1669.0;22500.0;20690.0;1810.0;240.0;28.0;27.3;1250.0;1808.0
41;Total;Total;Total;A Agriculture, forestry and fishing;2017;106.0;74.0;16.18;1769.0;1712.0;23150.0;21220.0;1920.0;250.0;28.4;27.7;1270.0;1816.0
42;Total;Total;Total;A Agriculture, forestry and fishing;2018;108.0;77.0;16.64;1844.0;1784.0;24000.0;22120.0;1880.0;260.0;28.9;28.1;1286.0;1816.0
43;Total;Total;Total;A Agriculture, forestry and fishing;2019;110.0;79.0;17.07;1919.0;1860.0;24940.0;23030.0;1910.0;280.0;29.2;28.5;1308.0;1828.0
44;Total;Total;Total;A Agriculture, forestry and fishing;2020;112.0;81.0;17.72;2000.0;1943.0;26050.0;24000.0;2050.0;290.0;29.5;28.8;1316.0;1825.0
45;Total;Total;Total;A Agriculture, forestry and fishing;2021;114.0;82.0;17.8;2015.0;1956.0;26280.0;24180.0;2110.0;300.0;29.3;28.6;1319.0;1840.0
46;Total;Total;Total;A Agriculture, forestry and fishing;2022;111.0;81.0;18.67;2147.0;2088.0;28140.0;25760.0;2370.0;320.0;29.8;29.1;1342.0;1845.0
47;Total;Total;Total;A Agriculture, forestry and fishing;2023;109.0;80.0;20.12;2330.0;2269.0;30440.0;27960.0;2480.0;340.0;30.1;29.4;1353.0;1840.0
48;Total;Total;Total;B-F Industry and energy;2009;1246.0;1126.0;20.42;2798.0;2742.0;38090.0;33570.0;4520.0;740.0;35.8;35.2;1611.0;1782.0
49;Total;Total;Total;B-F Industry and energy;2010 before change of method;1205.0;1090.0;20.82;2849.0;2789.0;38700.0;34190.0;4520.0;760.0;35.8;35.2;1607.0;1776.0
50;Total;Total;Total;B-F Industry and energy;2010 after change of method;1216.0;1098.0;20.83;2846.0;2787.0;38700.0;34150.0;4550.0;770.0;35.8;35.1;1605.0;1777.0
51;Total;Total;Total;B-F Industry and energy;2011;1207.0;1086.0;21.17;2904.0;2840.0;39560.0;34850.0;4700.0;750.0;35.6;35.0;1610.0;1789.0
52;Total;Total;Total;B-F Industry and energy;2012;1185.0;1066.0;21.75;2962.0;2898.0;40310.0;35540.0;4760.0;770.0;35.7;35.0;1599.0;1777.0
53;Total;Total;Total;B-F Industry and energy;2013;1138.0;1025.0;22.02;3019.0;2952.0;41480.0;36230.0;5250.0;760.0;36.1;35.3;1608.0;1786.0
54;Total;Total;Total;B-F Industry and energy;2014;1116.0;1004.0;22.23;3060.0;2992.0;41990.0;36720.0;5260.0;720.0;36.0;35.3;1615.0;1794.0
55;Total;Total;Total;B-F Industry and energy;2015;1106.0;997.0;22.9;3136.0;3066.0;43010.0;37630.0;5380.0;620.0;36.0;35.3;1606.0;1782.0
56;Total;Total;Total;B-F Industry and energy;2016;1108.0;1000.0;23.19;3190.0;3120.0;43950.0;38280.0;5670.0;620.0;36.0;35.3;1615.0;1789.0
