ID;ConsumptieveBestedingen;Perioden;Indexcijfer_1;Volumemutaties_2;VolumemutatiesKoopdaggecorrigeerd_3;Indexcijfers_4;Waardemutaties_5;Prijsmutaties_6
0;Binnenlandse consumptie huishoudens;2000;93.7;3.6;3.6;72.8;6.7;2.9
1;Binnenlandse consumptie huishoudens;2001;95.5;1.9;2.1;76.6;5.3;3.3
2;Binnenlandse consumptie huishoudens;2002;96.6;1.1;1.1;80.1;4.6;3.4
3;Binnenlandse consumptie huishoudens;2003;96.5;-0.1;-0.1;81.9;2.2;2.3
4;Binnenlandse consumptie huishoudens;2004;97.5;1.0;0.8;83.8;2.3;1.3
5;Binnenlandse consumptie huishoudens;2005;98.4;0.9;1.1;86.1;2.8;1.8
6;Binnenlandse consumptie huishoudens;2006;98.3;-0.1;0.0;88.4;2.6;2.7
7;Binnenlandse consumptie huishoudens;2007;100.3;2.0;1.9;91.9;4.0;2.0
8;Binnenlandse consumptie huishoudens;2008;100.8;0.6;0.4;94.5;2.8;2.2
9;Binnenlandse consumptie huishoudens;2009;98.7;-2.2;-2.0;91.2;-3.6;-1.4
10;Binnenlandse consumptie huishoudens;2010;99.1;0.4;0.4;93.0;2.0;1.6
11;Binnenlandse consumptie huishoudens;2011;99.3;0.2;0.2;95.1;2.2;2.0
12;Binnenlandse consumptie huishoudens;2012;98.2;-1.1;-1.1;95.1;0.1;1.2
13;Binnenlandse consumptie huishoudens;2013;97.4;-0.8;-0.7;96.4;1.3;2.1
14;Binnenlandse consumptie huishoudens;2014;97.9;0.5;0.5;97.7;1.4;0.9
15;Binnenlandse consumptie huishoudens;2015;100.0;2.1;2.1;100.0;2.4;0.2
16;Binnenlandse consumptie huishoudens;2016;101.4;1.4;1.2;102.1;2.1;0.7
17;Binnenlandse consumptie huishoudens;2017;103.6;2.2;2.5;105.7;3.6;1.3
18;Binnenlandse consumptie huishoudens;2018;106.2;2.4;2.4;110.6;4.6;2.1
19;Binnenlandse consumptie huishoudens;2019;107.4;1.1;1.1;114.8;3.8;2.6
20;Binnenlandse consumptie huishoudens;2000 januari;95.0;3.6;4.0;72.0;6.3;2.6
21;Binnenlandse consumptie huishoudens;2000 februari;92.1;5.5;4.4;69.7;8.9;3.2
22;Binnenlandse consumptie huishoudens;2000 maart;97.0;5.8;4.5;74.5;8.6;2.6
23;Binnenlandse consumptie huishoudens;2000 1e kwartaal;94.7;5.0;4.3;72.1;7.9;2.8
24;Binnenlandse consumptie huishoudens;2000 april;93.8;3.6;4.4;72.3;6.5;2.8
25;Binnenlandse consumptie huishoudens;2000 mei;94.9;4.3;3.9;74.2;7.8;3.4
26;Binnenlandse consumptie huishoudens;2000 juni;93.1;2.9;2.3;72.6;6.2;3.2
27;Binnenlandse consumptie huishoudens;2000 2e kwartaal;94.0;3.6;3.6;73.0;6.8;3.1
28;Binnenlandse consumptie huishoudens;2000 juli;92.0;-0.1;1.8;71.6;2.6;2.7
29;Binnenlandse consumptie huishoudens;2000 augustus;92.0;5.5;3.8;71.6;8.2;2.5
30;Binnenlandse consumptie huishoudens;2000 september;92.9;4.1;3.4;72.8;7.3;3.1
31;Binnenlandse consumptie huishoudens;2000 3e kwartaal;92.3;3.1;3.0;72.0;6.0;2.8
32;Binnenlandse consumptie huishoudens;2000 oktober;91.2;1.0;2.3;72.5;4.0;2.9
33;Binnenlandse consumptie huishoudens;2000 november;92.7;3.9;3.3;73.2;7.5;3.4
34;Binnenlandse consumptie huishoudens;2000 december;97.6;3.7;4.6;76.2;6.9;3.1
35;Binnenlandse consumptie huishoudens;2000 4e kwartaal;93.8;2.9;3.4;74.0;6.1;3.1
36;Binnenlandse consumptie huishoudens;2001 januari;96.8;1.9;1.8;75.6;5.0;3.0
37;Binnenlandse consumptie huishoudens;2001 februari;92.5;0.4;1.8;72.0;3.3;2.9
38;Binnenlandse consumptie huishoudens;2001 maart;99.2;2.3;2.1;78.7;5.6;3.3
39;Binnenlandse consumptie huishoudens;2001 1e kwartaal;96.2;1.5;1.9;75.4;4.7;3.1
40;Binnenlandse consumptie huishoudens;2001 april;94.1;0.2;1.2;75.0;3.8;3.6
41;Binnenlandse consumptie huishoudens;2001 mei;97.5;2.7;2.1;78.8;6.2;3.4
42;Binnenlandse consumptie huishoudens;2001 juni;96.0;3.1;2.7;77.2;6.3;3.1
43;Binnenlandse consumptie huishoudens;2001 2e kwartaal;95.8;2.0;2.0;77.0;5.5;3.4
44;Binnenlandse consumptie huishoudens;2001 juli;93.8;1.9;2.3;75.3;5.1;3.1
45;Binnenlandse consumptie huishoudens;2001 augustus;94.6;2.8;2.3;76.0;6.1;3.3
46;Binnenlandse consumptie huishoudens;2001 september;93.9;1.0;2.5;76.0;4.4;3.3
47;Binnenlandse consumptie huishoudens;2001 3e kwartaal;94.1;1.9;2.4;75.8;5.2;3.2
48;Binnenlandse consumptie huishoudens;2001 oktober;94.0;3.2;2.3;77.4;6.8;3.6
49;Binnenlandse consumptie huishoudens;2001 november;95.7;3.2;2.9;78.0;6.6;3.3
50;Binnenlandse consumptie huishoudens;2001 december;98.4;0.8;1.4;79.4;4.2;3.4
51;Binnenlandse consumptie huishoudens;2001 4e kwartaal;96.0;2.3;2.2;78.3;5.8;3.4
52;Binnenlandse consumptie huishoudens;2002 januari;98.9;2.1;1.6;80.1;6.0;3.8
53;Binnenlandse consumptie huishoudens;2002 februari;93.7;1.3;1.3;75.6;5.0;3.6
54;Binnenlandse consumptie huishoudens;2002 maart;99.9;0.7;1.5;82.0;4.3;3.5
55;Binnenlandse consumptie huishoudens;2002 1e kwartaal;97.5;1.4;1.5;79.2;5.1;3.6
56;Binnenlandse consumptie huishoudens;2002 april;95.8;1.9;1.4;79.1;5.4;3.5
57;Binnenlandse consumptie huishoudens;2002 mei;98.9;1.5;0.9;82.5;4.6;3.1
58;Binnenlandse consumptie huishoudens;2002 juni;96.4;0.4;1.7;80.1;3.8;3.4
59;Binnenlandse consumptie huishoudens;2002 2e kwartaal;97.0;1.2;1.4;80.6;4.6;3.3
60;Binnenlandse consumptie huishoudens;2002 juli;95.3;1.6;0.7;79.4;5.4;3.7
61;Binnenlandse consumptie huishoudens;2002 augustus;95.6;1.1;0.7;79.7;4.9;3.8
62;Binnenlandse consumptie huishoudens;2002 september;94.0;0.1;0.9;78.8;3.6;3.5
63;Binnenlandse consumptie huishoudens;2002 3e kwartaal;95.0;0.9;0.8;79.3;4.7;3.7
64;Binnenlandse consumptie huishoudens;2002 oktober;95.9;1.9;1.4;81.5;5.3;3.3
65;Binnenlandse consumptie huishoudens;2002 november;95.8;0.1;-0.4;80.4;3.1;3.0
66;Binnenlandse consumptie huishoudens;2002 december;98.7;0.4;1.1;82.2;3.4;3.0
67;Binnenlandse consumptie huishoudens;2002 4e kwartaal;96.8;0.8;0.7;81.4;3.9;3.1
68;Binnenlandse consumptie huishoudens;2003 januari;100.4;1.6;1.1;83.5;4.2;2.6
69;Binnenlandse consumptie huishoudens;2003 februari;95.0;1.4;1.5;78.8;4.2;2.7
70;Binnenlandse consumptie huishoudens;2003 maart;98.8;-1.1;-0.1;83.2;1.5;2.6
71;Binnenlandse consumptie huishoudens;2003 1e kwartaal;98.1;0.6;0.8;81.8;3.3;2.7
72;Binnenlandse consumptie huishoudens;2003 april;96.3;0.6;-0.2;81.3;2.9;2.3
73;Binnenlandse consumptie huishoudens;2003 mei;99.6;0.6;0.2;84.8;2.8;2.2
74;Binnenlandse consumptie huishoudens;2003 juni;95.3;-1.1;-0.3;80.7;0.8;1.9
75;Binnenlandse consumptie huishoudens;2003 2e kwartaal;97.1;0.0;-0.1;82.3;2.1;2.1
76;Binnenlandse consumptie huishoudens;2003 juli;95.3;0.0;-0.5;81.1;2.2;2.2
77;Binnenlandse consumptie huishoudens;2003 augustus;94.4;-1.3;-0.3;80.5;0.9;2.3
78;Binnenlandse consumptie huishoudens;2003 september;94.4;0.4;-0.5;80.6;2.3;2.0
79;Binnenlandse consumptie huishoudens;2003 3e kwartaal;94.7;-0.3;-0.4;80.7;1.8;2.2
80;Binnenlandse consumptie huishoudens;2003 oktober;96.4;0.6;0.0;84.0;3.0;2.4
81;Binnenlandse consumptie huishoudens;2003 november;94.0;-1.9;-0.5;80.8;0.6;2.5
82;Binnenlandse consumptie huishoudens;2003 december;97.8;-0.9;-1.8;83.2;1.3;2.2
83;Binnenlandse consumptie huishoudens;2003 4e kwartaal;96.1;-0.7;-0.8;82.7;1.6;2.4
84;Binnenlandse consumptie huishoudens;2004 januari;101.4;1.0;0.6;85.3;2.2;1.2
85;Binnenlandse consumptie huishoudens;2004 februari;95.3;0.3;-0.7;79.8;1.4;1.1
86;Binnenlandse consumptie huishoudens;2004 maart;99.7;0.9;0.3;84.8;1.9;1.0
