ID;BedrijfstakkenBranchesSBI2008;Marges;Perioden;RegelmatigVeelKrachtZetten_1;RegelmatigHardPraten_2;RegelmatigTeMakenMetTrillingen_3;GevaarlijkWerkTot2018_4;GevaarlijkWerkVanaf2018_5;Vallen_6;Struikelen_7;Bekneld_8;Snijden_9;Botsen_10;GevaarlijkeStoffen_11;Geweld_12;Verbranden_13;Verstikking_14;Anders_15;WaterigeOplossingen_16;StoffenOpHuid_17;AdemtStoffenIn_18;BesmettePersonen_19;WerktMetOfDichtbijOngezondeStoffen_20;Besmettingskans_21;BesmettingskansViaPatienten_22;BesmettingskansViaAndereMensen_23;BesmettingskansViaDieren_24;BesmettingskansViaWater_25;BesmettingskansViaOnderzoeksmateriaal_26;BesmettingskansViaAnderMateriaal_27;InOngemakkelijkeWerkhoudingWerken_28;TijdensWerkRepeterendeBewegingMaken_29;UurPerDagAanBeeldschermVoorWerk_30
18;A-U Alle economische activiteiten;Ondergrens 95%-interval;2021;17.8;6.4;7.9;;13.0;1.6;4.8;1.5;4.0;3.8;1.8;1.9;1.9;0.4;2.2;13.6;7.7;6.9;9.5;;;;;;;;;9.4;29.1;4.4
19;A-U Alle economische activiteiten;Ondergrens 95%-interval;2022;19.8;6.3;7.2;;13.2;1.6;4.7;1.4;4.1;3.7;1.8;2.0;2.1;0.3;2.1;;;;;6.1;51.8;13.4;40.9;1.4;1.7;0.8;2.7;9.1;28.3;4.3
20;A-U Alle economische activiteiten;Ondergrens 95%-interval;2023;18.8;6.2;7.1;;12.4;1.5;4.4;1.2;4.1;3.3;1.7;1.9;2.0;0.3;1.8;;;;;5.9;46.0;12.8;34.2;1.5;1.5;0.9;2.8;9.0;27.6;4.3
21;A-U Alle economische activiteiten;Ondergrens 95%-interval;2024;19.4;6.9;7.5;;13.3;1.7;4.8;1.3;4.5;3.7;1.8;2.0;2.1;0.4;2.0;;;;;6.4;44.9;12.8;32.9;1.5;1.7;0.8;3.0;9.3;27.9;4.4
22;A-U Alle economische activiteiten;Bovengrens 95%-interval;2014;20.9;7.0;9.0;4.1;;;;;;;;;;;;16.7;9.0;7.5;5.4;;;;;;;;;10.4;34.8;3.9
23;A-U Alle economische activiteiten;Bovengrens 95%-interval;2015;20.8;7.3;9.2;4.5;;;;;;;;;;;;16.1;8.9;7.5;5.4;;;;;;;;;10.6;35.0;3.9
24;A-U Alle economische activiteiten;Bovengrens 95%-interval;2016;20.7;7.5;9.3;4.3;;;;;;;;;;;;16.1;9.3;8.1;5.9;;;;;;;;;10.4;34.4;4.0
25;A-U Alle economische activiteiten;Bovengrens 95%-interval;2017;21.4;7.8;9.8;4.5;;;;;;;;;;;;16.2;9.5;8.3;6.0;;;;;;;;;11.1;34.7;4.0
26;A-U Alle economische activiteiten;Bovengrens 95%-interval;2018;20.5;7.8;8.9;;15.8;2.1;5.9;2.0;5.4;4.7;2.3;2.7;2.7;0.5;2.7;15.9;9.3;8.4;6.5;;;;;;;;;11.0;33.5;4.0
27;A-U Alle economische activiteiten;Bovengrens 95%-interval;2019;20.4;8.1;8.8;;16.0;2.2;6.0;2.0;5.4;4.7;2.4;2.8;2.8;0.5;2.6;15.7;9.3;8.6;6.7;;;;;;;;;10.9;32.8;4.1
28;A-U Alle economische activiteiten;Bovengrens 95%-interval;2020;18.0;6.9;8.3;;13.1;1.8;4.7;1.7;4.2;3.8;1.8;2.2;2.2;0.4;2.5;13.7;8.2;7.2;10.2;;;;;;;;;9.5;30.2;4.4
29;A-U Alle economische activiteiten;Bovengrens 95%-interval;2021;18.6;6.9;8.5;;13.7;1.9;5.3;1.8;4.4;4.2;2.1;2.2;2.2;0.5;2.5;14.2;8.2;7.5;10.1;;;;;;;;;10.0;29.9;4.5
30;A-U Alle economische activiteiten;Bovengrens 95%-interval;2022;20.5;6.7;7.7;;13.8;1.8;5.1;1.6;4.5;4.1;2.1;2.2;2.3;0.5;2.4;;;;;6.6;52.6;13.8;41.7;1.6;1.9;0.9;3.0;9.6;29.1;4.4
31;A-U Alle economische activiteiten;Bovengrens 95%-interval;2023;19.4;6.6;7.6;;13.0;1.7;4.8;1.4;4.4;3.7;1.9;2.1;2.2;0.4;2.1;;;;;6.4;46.8;13.2;35.0;1.8;1.7;1.0;3.1;9.5;28.4;4.4
32;A-U Alle economische activiteiten;Bovengrens 95%-interval;2024;20.1;7.3;7.9;;13.8;1.9;5.2;1.5;4.8;4.1;2.1;2.3;2.4;0.5;2.2;;;;;6.8;45.6;13.2;33.6;1.8;1.9;1.0;3.3;9.8;28.7;4.4
33;A Landbouw, bosbouw en visserij;Waarde;2014;34.5;10.8;21.2;4.0;;;;;;;;;;;;20.6;8.6;9.2;1.9;;;;;;;;;16.4;56.1;1.4
34;A Landbouw, bosbouw en visserij;Waarde;2015;33.7;11.0;17.7;3.4;;;;;;;;;;;;24.0;9.2;8.6;5.3;;;;;;;;;15.3;56.5;1.6
35;A Landbouw, bosbouw en visserij;Waarde;2016;30.2;11.3;20.7;4.7;;;;;;;;;;;;20.1;8.4;9.5;4.0;;;;;;;;;14.9;55.5;1.6
36;A Landbouw, bosbouw en visserij;Waarde;2017;36.1;13.3;20.9;3.6;;;;;;;;;;;;24.9;10.6;12.0;2.7;;;;;;;;;16.3;54.3;1.8
37;A Landbouw, bosbouw en visserij;Waarde;2018;31.9;12.6;17.9;;20.6;2.1;10.3;3.7;8.9;4.6;2.7;0.3;0.8;0.0;2.0;21.0;10.0;11.7;5.4;;;;;;;;;17.1;52.3;1.8
38;A Landbouw, bosbouw en visserij;Waarde;2019;32.8;11.1;20.7;;20.9;2.3;9.7;3.5;8.9;6.5;2.3;0.6;0.7;0.4;3.3;19.8;9.9;10.0;5.5;;;;;;;;;15.3;51.5;1.9
39;A Landbouw, bosbouw en visserij;Waarde;2020;27.2;10.6;19.9;;19.0;2.1;9.2;3.3;7.3;4.6;1.4;1.1;0.8;0.0;2.4;18.9;7.2;9.6;6.8;;;;;;;;;11.2;51.8;1.7
40;A Landbouw, bosbouw en visserij;Waarde;2021;31.2;11.8;18.7;;19.3;2.9;12.1;4.7;7.1;5.6;2.4;0.5;0.8;0.7;1.8;20.3;8.5;9.3;4.4;;;;;;;;;14.8;47.6;2.0
41;A Landbouw, bosbouw en visserij;Waarde;2022;32.5;11.7;17.3;;20.8;2.9;9.9;4.0;7.5;6.4;2.9;0.2;0.4;0.5;4.0;;;;;9.6;28.5;1.1;15.2;11.7;1.5;0.8;4.8;12.2;45.5;2.1
42;A Landbouw, bosbouw en visserij;Waarde;2023;32.6;11.8;19.7;;20.8;2.9;11.7;3.2;7.9;5.7;2.1;0.4;0.2;0.0;1.6;;;;;10.0;26.6;0.9;11.6;12.2;1.6;0.7;4.8;14.9;44.5;2.1
43;A Landbouw, bosbouw en visserij;Waarde;2024;33.0;11.2;17.3;;22.1;4.0;11.2;2.8;8.7;6.5;2.1;0.2;0.8;0.3;2.1;;;;;9.8;29.4;0.8;12.0;11.9;1.1;0.5;7.4;11.1;45.4;2.2
44;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2014;29.6;8.0;17.2;2.5;;;;;;;;;;;;16.7;6.1;6.6;1.0;;;;;;;;;12.9;50.8;1.1
45;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2015;29.3;8.3;14.5;2.1;;;;;;;;;;;;20.1;6.7;6.3;3.6;;;;;;;;;12.2;51.7;1.3
46;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2016;26.0;8.6;17.2;3.0;;;;;;;;;;;;16.7;6.1;7.0;2.7;;;;;;;;;11.9;50.8;1.4
47;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2017;31.6;10.3;17.3;2.1;;;;;;;;;;;;20.9;7.8;9.2;1.6;;;;;;;;;12.9;49.6;1.6
48;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2018;28.1;10.0;14.9;;17.3;1.2;8.0;2.4;6.7;3.1;1.6;0.1;0.3;0.0;1.1;17.7;7.7;9.2;3.8;;;;;;;;;14.1;48.1;1.5
49;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2019;28.8;8.6;17.3;;17.5;1.3;7.5;2.1;6.7;4.6;1.3;0.2;0.2;0.1;2.1;16.5;7.6;7.6;3.7;;;;;;;;;12.4;47.1;1.7
50;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2020;23.5;8.2;16.6;;15.8;1.2;7.0;2.1;5.4;3.1;0.7;0.4;0.3;0.0;1.4;15.8;5.3;7.3;4.9;;;;;;;;;8.7;47.5;1.5
51;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2021;27.2;9.0;15.4;;15.9;1.7;9.3;3.2;5.0;3.8;1.4;0.2;0.3;0.2;0.9;16.9;6.2;6.9;2.9;;;;;;;;;11.9;43.1;1.8
52;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2022;28.6;9.2;14.3;;17.5;1.7;7.6;2.6;5.5;4.5;1.8;0.0;0.1;0.2;2.6;;;;;7.2;24.7;0.5;12.3;9.2;0.8;0.3;3.3;9.6;41.3;1.9
53;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2023;29.0;9.4;16.8;;17.7;1.8;9.3;2.1;5.9;4.1;1.2;0.1;0.1;0.0;0.8;;;;;7.7;23.2;0.4;9.2;9.9;0.8;0.3;3.4;12.3;40.7;1.9
54;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2024;29.1;8.8;14.4;;18.8;2.6;8.7;1.6;6.5;4.7;1.1;0.0;0.3;0.1;1.2;;;;;7.4;25.6;0.3;9.5;9.4;0.5;0.1;5.4;8.6;41.3;1.9
55;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2014;39.6;14.5;25.9;6.4;;;;;;;;;;;;25.2;11.9;12.8;3.7;;;;;;;;;20.6;61.3;1.6
56;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2015;38.4;14.4;21.6;5.5;;;;;;;;;;;;28.3;12.4;11.7;7.8;;;;;;;;;19.0;61.1;1.8
57;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2016;34.8;14.8;24.8;7.3;;;;;;;;;;;;24.1;11.4;12.7;6.1;;;;;;;;;18.6;60.2;1.8
58;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2017;40.8;17.0;25.2;6.0;;;;;;;;;;;;29.4;14.2;15.6;4.5;;;;;;;;;20.4;58.9;2.1
59;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2018;36.0;15.7;21.4;;24.3;3.7;13.2;5.6;11.7;6.8;4.6;1.4;1.9;;3.8;24.6;12.9;14.7;7.7;;;;;;;;;20.6;56.5;2.0
60;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2019;37.0;14.1;24.6;;24.7;3.9;12.6;5.7;11.8;9.2;4.0;2.0;2.1;1.8;5.2;23.5;13.0;13.1;8.0;;;;;;;;;18.8;55.8;2.2
61;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2020;31.2;13.5;23.6;;22.6;3.7;11.9;5.4;9.9;6.8;2.9;2.7;2.5;;4.1;22.5;9.9;12.5;9.4;;;;;;;;;14.3;56.1;1.9
62;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2021;35.6;15.3;22.5;;23.2;4.9;15.5;7.1;10.0;8.2;4.3;1.7;2.2;2.3;3.6;24.3;11.4;12.3;6.6;;;;;;;;;18.3;52.1;2.3
63;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2022;36.7;14.8;20.9;;24.6;4.9;12.8;5.9;10.1;8.9;4.8;1.3;1.7;1.6;6.1;;;;;12.6;32.6;2.5;18.6;14.8;2.9;2.2;7.0;15.3;49.9;2.4
64;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2023;36.4;14.8;23.0;;24.3;4.7;14.6;4.8;10.5;8.0;3.5;1.5;0.8;;3.0;;;;;12.9;30.2;2.0;14.4;15.0;3.2;1.9;6.9;18.0;48.5;2.3
65;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2024;37.1;14.2;20.8;;25.9;6.2;14.3;4.6;11.5;9.0;3.8;1.1;2.3;1.1;3.6;;;;;12.8;33.5;2.1;15.1;14.9;2.5;1.5;10.2;14.1;49.7;2.4
66;B Delfstoffenwinning;Waarde;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;B Delfstoffenwinning;Waarde;2015;7.5;9.3;4.6;12.9;;;;;;;;;;;;10.6;2.9;5.8;0.9;;;;;;;;;4.9;27.2;5.8
68;B Delfstoffenwinning;Waarde;2016;11.9;13.4;13.2;12.8;;;;;;;;;;;;9.2;5.1;11.9;3.0;;;;;;;;;9.2;20.2;5.4
69;B Delfstoffenwinning;Waarde;2017;13.3;17.8;12.5;14.7;;;;;;;;;;;;14.4;6.5;14.1;3.5;;;;;;;;;7.1;19.9;6.0
70;B Delfstoffenwinning;Waarde;2018;14.8;20.5;12.7;;25.5;8.3;13.4;5.8;4.1;3.1;15.8;0.0;4.0;1.2;9.2;13.1;8.5;14.8;3.2;;;;;;;;;12.1;27.2;5.6
71;B Delfstoffenwinning;Waarde;2019;15.0;13.6;12.8;;23.1;6.6;11.8;3.8;1.5;4.6;12.1;0.0;3.2;2.3;8.0;13.4;6.7;9.6;2.3;;;;;;;;;7.4;19.5;5.8
72;B Delfstoffenwinning;Waarde;2020;15.2;18.0;11.5;;25.6;8.5;13.8;2.9;3.7;3.0;12.2;0.2;3.5;3.7;6.4;18.5;5.9;8.6;5.5;;;;;;;;;11.6;22.2;6.0
73;B Delfstoffenwinning;Waarde;2021;18.7;18.9;14.8;;22.4;2.8;18.7;7.1;2.4;3.7;8.8;0.0;3.2;2.1;3.7;19.5;6.3;8.5;2.4;;;;;;;;;9.7;20.9;6.1
74;B Delfstoffenwinning;Waarde;2022;9.4;10.5;8.5;;15.7;8.7;9.6;4.9;2.3;3.4;8.6;0.4;2.6;4.3;3.5;;;;;12.6;31.9;0.2;26.8;0.3;4.3;0.0;2.8;4.7;15.4;5.7
75;B Delfstoffenwinning;Waarde;2023;13.7;16.3;16.2;;22.7;3.7;9.9;3.0;2.4;6.5;9.7;0.1;5.9;3.7;7.8;;;;;14.3;26.4;0.2;22.5;0.2;5.9;1.9;2.2;7.6;22.1;6.1
76;B Delfstoffenwinning;Waarde;2024;10.6;15.0;10.0;;19.1;3.3;11.2;3.2;2.4;3.1;7.1;0.0;2.2;1.8;6.7;;;;;13.5;20.1;1.3;14.5;0.2;5.5;2.0;3.4;5.7;12.7;5.9
77;B Delfstoffenwinning;Ondergrens 95%-interval;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;B Delfstoffenwinning;Ondergrens 95%-interval;2015;4.7;6.1;2.5;8.1;;;;;;;;;;;;6.8;1.3;3.5;0.3;;;;;;;;;2.0;20.2;5.4
79;B Delfstoffenwinning;Ondergrens 95%-interval;2016;7.3;8.6;8.4;8.1;;;;;;;;;;;;5.8;2.4;7.6;1.0;;;;;;;;;5.2;14.6;5.0
80;B Delfstoffenwinning;Ondergrens 95%-interval;2017;8.7;12.1;8.1;9.7;;;;;;;;;;;;9.0;3.7;9.4;1.5;;;;;;;;;3.7;14.2;5.6
81;B Delfstoffenwinning;Ondergrens 95%-interval;2018;10.0;14.9;8.6;;19.2;4.5;8.7;3.0;1.8;1.6;10.8;0.0;1.8;0.5;5.3;8.8;5.0;9.9;1.0;;;;;;;;;7.3;19.5;5.2
82;B Delfstoffenwinning;Ondergrens 95%-interval;2019;9.5;9.4;8.1;;16.3;3.3;7.3;1.7;0.5;2.4;7.0;0.0;1.5;0.9;4.9;8.1;3.9;6.2;0.9;;;;;;;;;4.5;13.7;5.4
83;B Delfstoffenwinning;Ondergrens 95%-interval;2020;9.7;12.4;6.8;;18.3;3.9;8.3;1.4;1.1;1.5;7.3;0.0;1.0;1.4;3.0;12.8;2.6;4.7;2.3;;;;;;;;;7.0;15.8;5.5
84;B Delfstoffenwinning;Ondergrens 95%-interval;2021;11.7;11.8;8.7;;14.9;1.1;11.5;2.7;0.9;1.7;5.2;0.0;1.4;0.8;1.7;13.1;3.4;5.0;0.9;;;;;;;;;4.7;13.4;5.5
85;B Delfstoffenwinning;Ondergrens 95%-interval;2022;5.7;6.5;5.0;;10.7;4.6;5.8;2.0;1.2;1.3;4.8;0.0;1.0;1.7;2.1;;;;;7.9;25.0;0.0;20.7;0.0;1.8;0.0;0.8;2.4;10.7;5.3
86;B Delfstoffenwinning;Ondergrens 95%-interval;2023;8.8;11.1;10.6;;16.3;1.7;6.4;1.2;0.8;3.5;5.5;0.0;2.6;1.2;3.9;;;;;9.3;19.7;0.0;16.3;0.0;3.1;0.6;0.8;4.0;15.7;5.6
87;B Delfstoffenwinning;Ondergrens 95%-interval;2024;7.3;9.4;6.1;;13.9;1.7;8.1;1.7;1.2;1.7;4.4;0.0;1.1;0.8;3.4;;;;;9.4;15.2;0.3;10.8;0.0;3.3;0.9;1.6;3.4;9.0;5.4
88;B Delfstoffenwinning;Bovengrens 95%-interval;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;B Delfstoffenwinning;Bovengrens 95%-interval;2015;11.9;13.9;8.3;19.9;;;;;;;;;;;;16.1;6.1;9.7;3.0;;;;;;;;;11.6;35.4;6.3
90;B Delfstoffenwinning;Bovengrens 95%-interval;2016;18.8;20.3;20.1;19.6;;;;;;;;;;;;14.1;10.6;18.0;9.1;;;;;;;;;15.9;27.3;5.8
91;B Delfstoffenwinning;Bovengrens 95%-interval;2017;19.9;25.5;18.8;21.8;;;;;;;;;;;;22.3;11.2;20.7;7.9;;;;;;;;;13.1;27.3;6.4
92;B Delfstoffenwinning;Bovengrens 95%-interval;2018;21.4;27.6;18.5;;33.1;14.8;19.9;10.9;9.3;5.8;22.4;;8.6;2.8;15.7;19.1;14.1;21.6;9.4;;;;;;;;;19.3;36.6;6.0
93;B Delfstoffenwinning;Bovengrens 95%-interval;2019;22.8;19.3;19.6;;31.7;13.0;18.5;8.0;4.6;8.7;19.9;;6.7;5.5;12.7;21.2;11.1;14.5;5.4;;;;;;;;;12.0;27.0;6.2
94;B Delfstoffenwinning;Bovengrens 95%-interval;2020;23.2;25.4;18.8;;34.5;17.3;22.0;5.7;11.7;6.0;19.9;1.6;11.3;9.3;13.0;26.0;12.7;15.1;12.5;;;;;;;;;18.5;30.2;6.5
95;B Delfstoffenwinning;Bovengrens 95%-interval;2021;28.7;28.8;24.1;;32.4;6.8;28.7;17.4;6.4;7.8;14.4;;7.1;5.5;7.7;28.0;11.3;14.1;6.3;;;;;;;;;18.9;31.0;6.6
96;B Delfstoffenwinning;Bovengrens 95%-interval;2022;15.1;16.5;14.0;;22.4;15.9;15.5;11.6;4.5;8.3;14.9;2.5;6.6;10.5;5.8;;;;;19.4;39.8;1.4;33.9;1.8;10.0;;8.9;9.0;21.7;6.2
97;B Delfstoffenwinning;Bovengrens 95%-interval;2023;20.7;23.3;23.9;;30.7;8.0;15.0;7.3;6.7;11.5;16.3;1.0;12.8;10.8;14.9;;;;;21.5;34.4;1.6;30.3;1.4;10.9;5.8;5.9;14.1;30.1;6.5
98;B Delfstoffenwinning;Bovengrens 95%-interval;2024;15.1;23.1;15.9;;25.6;6.3;15.4;5.9;5.0;5.6;11.1;;4.4;4.0;12.6;;;;;19.0;26.0;5.8;19.2;1.8;9.0;4.5;7.3;9.4;17.7;6.3
99;B-E Nijverheid (geen bouw) en energie;Waarde;2014;24.4;19.9;16.8;6.2;;;;;;;;;;;;17.1;10.4;14.9;2.1;;;;;;;;;11.7;39.0;3.7
100;B-E Nijverheid (geen bouw) en energie;Waarde;2015;23.9;19.4;17.4;6.8;;;;;;;;;;;;16.0;10.2;15.1;2.4;;;;;;;;;12.2;39.0;3.8
101;B-E Nijverheid (geen bouw) en energie;Waarde;2016;25.3;20.7;17.9;6.9;;;;;;;;;;;;16.0;11.5;16.9;2.6;;;;;;;;;13.0;39.6;3.7
102;B-E Nijverheid (geen bouw) en energie;Waarde;2017;25.2;19.9;18.2;6.8;;;;;;;;;;;;16.2;11.5;16.9;2.4;;;;;;;;;12.3;39.0;3.8
103;B-E Nijverheid (geen bouw) en energie;Waarde;2018;24.8;20.4;15.6;;21.7;3.3;9.6;4.9;9.3;5.8;5.7;0.5;5.1;1.3;3.3;15.7;12.3;17.2;2.8;;;;;;;;;13.6;39.0;3.8
104;B-E Nijverheid (geen bouw) en energie;Waarde;2019;24.9;20.9;16.9;;23.4;3.1;9.8;5.2;9.7;6.3;5.6;0.6;5.4;1.3;3.5;16.1;11.6;17.0;2.9;;;;;;;;;12.7;37.4;3.9
105;B-E Nijverheid (geen bouw) en energie;Waarde;2020;23.1;19.7;16.2;;19.3;2.6;8.2;4.6;8.3;4.8;4.5;0.4;5.2;1.1;2.8;14.9;9.8;14.5;4.3;;;;;;;;;11.8;35.2;4.1
106;B-E Nijverheid (geen bouw) en energie;Waarde;2021;22.5;18.7;15.6;;19.7;2.9;9.4;4.3;7.8;5.5;4.8;0.4;5.0;1.3;2.5;14.6;10.1;13.9;4.0;;;;;;;;;11.9;33.9;4.3
107;B-E Nijverheid (geen bouw) en energie;Waarde;2022;24.5;17.8;14.7;;20.6;2.6;8.4;4.0;8.3;5.7;5.5;0.4;5.0;1.2;2.9;;;;;14.4;33.5;1.0;27.6;1.2;2.5;1.0;4.1;10.6;31.5;4.2
108;B-E Nijverheid (geen bouw) en energie;Waarde;2023;23.2;16.9;15.1;;19.8;2.8;8.6;4.0;8.2;4.9;5.1;0.5;4.6;0.9;2.9;;;;;14.1;29.6;1.1;23.0;1.5;2.2;1.1;4.3;10.0;32.0;4.3
109;B-E Nijverheid (geen bouw) en energie;Waarde;2024;22.7;17.3;15.0;;20.2;3.0;8.7;4.0;8.7;4.9;4.8;0.4;5.0;1.1;2.9;;;;;14.3;25.9;0.8;19.7;1.5;2.4;1.0;4.4;10.2;29.9;4.4
110;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2014;23.2;18.8;15.7;5.5;;;;;;;;;;;;16.0;9.5;13.8;1.7;;;;;;;;;10.8;37.6;3.6
111;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2015;22.6;18.3;16.3;6.1;;;;;;;;;;;;15.0;9.3;14.1;1.9;;;;;;;;;11.3;37.6;3.7
112;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2016;24.1;19.6;16.9;6.2;;;;;;;;;;;;15.1;10.7;15.9;2.2;;;;;;;;;12.1;38.3;3.6
113;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2017;24.0;18.8;17.1;6.1;;;;;;;;;;;;15.2;10.6;15.9;2.0;;;;;;;;;11.4;37.6;3.7
114;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2018;23.8;19.4;14.7;;20.8;2.9;8.9;4.4;8.6;5.3;5.2;0.4;4.6;1.1;2.9;14.9;11.5;16.3;2.4;;;;;;;;;12.8;37.8;3.7
