ID;Geslacht;Leeftijd;Onderwijsrichting;Geboortegeneratie;OnderwijsniveauPersonen_1;OnderwijsniveauPersonenBasisonderwijs_2;OnderwijsniveauPersonenVmboMbo1_3;OnderwijsniveauPersonenHavoVwoMbo_4;OnderwijsniveauPersonenHboWo_5;OnderwijsniveauPersonenWoMaster_6;OnderwijsniveauPersonenOnbekend_7
0;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1925 tot 1930;;;;;;;
1;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1930 tot 1935;;;;;;;
2;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1935 tot 1940;;;;;;;
3;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1940 tot 1945;;;;;;;
4;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1945 tot 1950;;;;;;;
5;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1950 tot 1955;;;;;;;
6;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1955 tot 1960;100.0;10.9;22.7;41.0;17.5;7.7;0.2
7;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1960 tot 1965;100.0;8.8;22.2;44.4;16.2;8.1;0.2
8;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1965 tot 1970;100.0;6.2;20.0;46.5;15.9;10.9;0.5
9;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1970 tot 1975;100.0;5.0;16.1;45.1;19.6;13.1;1.2
10;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1975 tot 1980;100.0;4.1;12.9;41.5;25.1;15.2;1.2
11;Totaal mannen en vrouwen;30 tot 35 jaar;Totaal;1980 tot 1985;;;;;;;
12;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1925 tot 1930;;;;;;;
13;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1930 tot 1935;;;;;;;
14;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1935 tot 1940;;;;;;;
15;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1940 tot 1945;;;;;;;
16;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1945 tot 1950;;;;;;;
17;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1950 tot 1955;;;;;;;
18;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1955 tot 1960;23.1;10.9;6.6;5.6;;;
19;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1960 tot 1965;23.7;8.8;7.2;7.7;;;
20;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1965 tot 1970;22.2;6.2;6.9;9.1;;;
21;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1970 tot 1975;19.0;5.0;5.5;8.6;;;
22;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1975 tot 1980;15.8;4.0;4.5;7.3;;;
23;Totaal mannen en vrouwen;30 tot 35 jaar;00 Algemeen;1980 tot 1985;;;;;;;
24;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1925 tot 1930;;;;;;;
25;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1930 tot 1935;;;;;;;
26;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1935 tot 1940;;;;;;;
27;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1940 tot 1945;;;;;;;
28;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1945 tot 1950;;;;;;;
29;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1950 tot 1955;;;;;;;
30;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1955 tot 1960;2.6;;0.6;1.5;0.4;0.2;
31;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1960 tot 1965;3.2;;0.7;1.9;0.4;0.3;
32;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1965 tot 1970;3.1;;0.7;1.7;0.4;0.2;
33;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1970 tot 1975;3.0;;0.6;1.6;0.5;0.2;
34;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1975 tot 1980;2.7;;0.5;1.6;0.5;0.2;
35;Totaal mannen en vrouwen;30 tot 35 jaar;08 Landbouw, diergeneeskunde en -verz...;1980 tot 1985;;;;;;;
36;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1925 tot 1930;;;;;;;
37;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1930 tot 1935;;;;;;;
38;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1935 tot 1940;;;;;;;
39;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1940 tot 1945;;;;;;;
40;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1945 tot 1950;;;;;;;
41;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1950 tot 1955;;;;;;;
42;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1955 tot 1960;11.6;;1.0;2.8;6.4;1.4;
43;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1960 tot 1965;9.4;;0.9;2.7;4.4;1.5;
44;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1965 tot 1970;8.3;;0.6;2.3;3.4;1.9;
45;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1970 tot 1975;9.2;;1.2;2.3;4.0;1.8;
46;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1975 tot 1980;11.2;;1.3;2.5;5.3;2.1;
47;Totaal mannen en vrouwen;30 tot 35 jaar;01+02+10 Overige onderwijsrichtingen;1980 tot 1985;;;;;;;
48;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1925 tot 1930;;;;;;;
49;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1930 tot 1935;;;;;;;
50;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1935 tot 1940;;;;;;;
51;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1940 tot 1945;;;;;;;
52;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1945 tot 1950;;;;;;;
53;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1950 tot 1955;;;;;;;
54;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1955 tot 1960;25.5;;4.9;13.1;4.9;2.5;
55;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1960 tot 1965;23.2;;4.4;11.9;4.6;2.3;
56;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1965 tot 1970;19.7;;3.3;9.7;4.1;2.5;
57;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1970 tot 1975;20.0;;2.4;9.1;5.5;3.0;
58;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1975 tot 1980;22.7;;1.7;9.2;7.3;4.4;
59;Totaal mannen en vrouwen;30 tot 35 jaar;03+09 Zorg en maatschappij;1980 tot 1985;;;;;;;
60;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1925 tot 1930;;;;;;;
61;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1930 tot 1935;;;;;;;
62;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1935 tot 1940;;;;;;;
63;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1940 tot 1945;;;;;;;
64;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1945 tot 1950;;;;;;;
65;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1950 tot 1955;;;;;;;
66;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1955 tot 1960;17.9;;2.9;9.4;3.8;1.8;
67;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1960 tot 1965;19.8;;2.6;10.5;4.3;2.4;
68;Totaal mannen en vrouwen;30 tot 35 jaar;04+06 Economisch en juridisch;1965 tot 1970;23.5;;2.0;12.3;5.0;4.1;
