ID;Inkomensgroepen;KenmerkenVanHuishoudens;Perioden;AantalHuishoudens_1;HuishoudensInVanTotaal_2;Vermogenssom_3;Vermogensaandeel_4;GemiddeldBedrag_5;MediaanVermogen_6
0;Totaal inkomensgroepen;0;1993;6321;100.0;358.0;100.0;57.0;14.0
1;Totaal inkomensgroepen;0;1994;6401;100.0;395.0;100.0;62.0;16.0
2;Totaal inkomensgroepen;0;1995;6454;100.0;415.0;100.0;64.0;18.0
3;Totaal inkomensgroepen;0;1996;6549;100.0;469.0;100.0;72.0;20.0
4;Totaal inkomensgroepen;0;1997;6617;100.0;514.0;100.0;78.0;22.0
5;Totaal inkomensgroepen;0;1998;6704;100.0;560.0;100.0;84.0;20.0
6;Totaal inkomensgroepen;0;1999;6783;100.0;634.0;100.0;93.0;23.0
7;Totaal inkomensgroepen;0;2000;6855;100.0;739.0;100.0;108.0;25.0
8;Totaal inkomensgroepen;Eenpersoonshuishouden;1993;2049;32.4;69.0;19.2;34.0;4.0
9;Totaal inkomensgroepen;Eenpersoonshuishouden;1994;2097;32.8;77.0;19.4;37.0;5.0
10;Totaal inkomensgroepen;Eenpersoonshuishouden;1995;2114;32.7;81.0;19.6;38.0;4.0
11;Totaal inkomensgroepen;Eenpersoonshuishouden;1996;2168;33.1;92.0;19.5;42.0;5.0
12;Totaal inkomensgroepen;Eenpersoonshuishouden;1997;2202;33.3;102.0;19.8;46.0;5.0
13;Totaal inkomensgroepen;Eenpersoonshuishouden;1998;2260;33.7;108.0;19.3;48.0;5.0
14;Totaal inkomensgroepen;Eenpersoonshuishouden;1999;2309;34.0;124.0;19.6;54.0;5.0
15;Totaal inkomensgroepen;Eenpersoonshuishouden;2000;2358;34.4;144.0;19.5;61.0;6.0
16;Totaal inkomensgroepen;Meerpersoonshuishouden;1993;4271;67.6;289.0;80.8;68.0;25.0
17;Totaal inkomensgroepen;Meerpersoonshuishouden;1994;4304;67.2;318.0;80.6;74.0;29.0
18;Totaal inkomensgroepen;Meerpersoonshuishouden;1995;4340;67.3;334.0;80.4;77.0;34.0
19;Totaal inkomensgroepen;Meerpersoonshuishouden;1996;4381;66.9;378.0;80.5;86.0;38.0
20;Totaal inkomensgroepen;Meerpersoonshuishouden;1997;4415;66.7;412.0;80.2;93.0;42.0
21;Totaal inkomensgroepen;Meerpersoonshuishouden;1998;4444;66.3;452.0;80.7;102.0;41.0
22;Totaal inkomensgroepen;Meerpersoonshuishouden;1999;4474;66.0;510.0;80.4;114.0;50.0
23;Totaal inkomensgroepen;Meerpersoonshuishouden;2000;4498;65.6;595.0;80.5;132.0;58.0
24;Totaal inkomensgroepen;Met minderjarige kinderen;1993;1788;28.3;98.0;27.5;55.0;24.0
25;Totaal inkomensgroepen;Met minderjarige kinderen;1994;1799;28.1;109.0;27.6;61.0;27.0
26;Totaal inkomensgroepen;Met minderjarige kinderen;1995;1808;28.0;114.0;27.5;63.0;33.0
27;Totaal inkomensgroepen;Met minderjarige kinderen;1996;1818;27.8;132.0;28.1;73.0;37.0
28;Totaal inkomensgroepen;Met minderjarige kinderen;1997;1824;27.6;145.0;28.2;79.0;41.0
