ID;SectorBranchesSIC2008;Periods;LabourPriceIndex_1;YearOnYearChangePriceOfLabour_2;WageCostsPerHourWorked2010100_3;YearOnYearChangeWageCostsPerHour_4;StructuralEffect_5
0;A-U All economic activities;2001;81.9;;77.5;;
1;A-U All economic activities;2002;85.4;4.2;81.3;5.0;0.7
2;A-U All economic activities;2003;87.9;2.9;84.5;3.9;0.9
3;A-U All economic activities;2004;88.7;0.9;85.7;1.5;0.6
4;A-U All economic activities;2005;90.5;2.0;88.1;2.8;0.8
5;A-U All economic activities;2006;92.0;1.7;90.1;2.3;0.6
6;A-U All economic activities;2007;95.1;3.4;93.3;3.5;0.1
7;A-U All economic activities;2008;98.5;3.5;96.6;3.6;0.1
8;A-U All economic activities;2009;100.0;1.5;99.3;2.8;1.2
9;A-U All economic activities;2010;100.0;0.0;100.0;0.7;0.7
10;A-U All economic activities;2011;101.6;1.6;101.8;1.8;0.2
11;A-U All economic activities;2012;103.9;2.2;104.8;2.9;0.7
12;A-U All economic activities;2013;105.3;1.4;107.1;2.2;0.8
13;A-U All economic activities;2014;106.1;0.7;108.2;1.1;0.3
14;A-U All economic activities;2015;106.2;0.1;108.2;-0.1;-0.1
15;A-U All economic activities;2016;107.1;0.9;108.8;0.5;-0.3
16;A-U All economic activities;2017;109.1;1.9;110.2;1.3;-0.6
17;A-U All economic activities;2006 January - 2006 December;92.0;1.7;90.1;2.3;0.6
18;A-U All economic activities;2006 April - 2007 March;93.0;;91.1;;
19;A-U All economic activities;2006 July - 2007 June;93.7;;91.8;;
20;A-U All economic activities;2006 October - 2007 September;94.3;;92.5;;
21;A-U All economic activities;2007 January - 2007 December;95.1;3.4;93.3;3.5;0.1
22;A-U All economic activities;2007 April - 2008 March;96.3;3.5;94.4;3.6;0.1
23;A-U All economic activities;2007 July - 2008 June;97.2;3.7;95.3;3.7;0.0
24;A-U All economic activities;2007 October - 2008 September;97.7;3.5;95.8;3.6;0.0
25;A-U All economic activities;2008 January - 2008 December;98.5;3.5;96.6;3.6;0.1
26;A-U All economic activities;2008 April - 2009 March;98.8;2.7;97.2;3.0;0.3
27;A-U All economic activities;2008 July - 2009 June;99.8;2.7;98.4;3.3;0.6
28;A-U All economic activities;2008 October - 2009 September;100.0;2.3;98.9;3.3;0.9
29;A-U All economic activities;2009 January - 2009 December;100.0;1.5;99.3;2.8;1.2
30;A-U All economic activities;2009 April - 2010 March;100.3;1.4;100.0;2.8;1.4
31;A-U All economic activities;2009 July - 2010 June;100.5;0.8;100.4;2.0;1.2
32;A-U All economic activities;2009 October - 2010 September;100.1;0.1;100.0;1.1;0.9
33;A-U All economic activities;2010 January - 2010 December;100.0;0.0;100.0;0.7;0.7
34;A-U All economic activities;2010 April - 2011 March;100.1;-0.2;100.1;0.2;0.3
35;A-U All economic activities;2010 July - 2011 June;100.1;-0.5;100.1;-0.3;0.2
36;A-U All economic activities;2010 October - 2011 September;100.4;0.3;100.5;0.5;0.2
37;A-U All economic activities;2011 January - 2011 December;101.6;1.6;101.8;1.8;0.2
38;A-U All economic activities;2011 April - 2012 March;101.6;1.5;101.9;1.8;0.3
39;A-U All economic activities;2011 July - 2012 June;102.0;1.9;102.5;2.3;0.4
40;A-U All economic activities;2011 October - 2012 September;102.9;2.5;103.6;3.1;0.5
41;A-U All economic activities;2012 January - 2012 December;103.9;2.2;104.8;2.9;0.7
42;A-U All economic activities;2012 April - 2013 March;105.4;3.8;106.6;4.6;0.7
43;A-U All economic activities;2012 July - 2013 June;105.5;3.4;106.8;4.3;0.8
44;A-U All economic activities;2012 October - 2013 September;105.5;2.5;107.1;3.4;0.8
45;A-U All economic activities;2013 January - 2013 December;105.3;1.4;107.1;2.2;0.8
46;A-U All economic activities;2013 April - 2014 March;105.2;-0.2;107.1;0.5;0.7
47;A-U All economic activities;2013 July - 2014 June;105.4;0.0;107.5;0.6;0.6
48;A-U All economic activities;2013 October - 2014 September;105.4;-0.1;107.5;0.3;0.5
49;A-U All economic activities;2014 January - 2014 December;106.1;0.7;108.2;1.1;0.3
50;A-U All economic activities;2014 April - 2015 March ;106.1;0.9;108.2;1.0;0.2
51;A-U All economic activities;2014 July - 2015 June;106.4;0.9;108.6;1.0;0.1
52;A-U All economic activities;2014 October - 2015 September;106.9;1.4;109.0;1.4;0.0
53;A-U All economic activities;2015 January - 2015 December;106.2;0.1;108.2;-0.1;-0.1
54;A-U All economic activities;2015 April - 2016 March;106.8;0.6;108.7;0.4;-0.2
55;A-U All economic activities;2015 July - 2016 June;106.4;-0.1;108.2;-0.3;-0.2
56;A-U All economic activities;2015 October - 2016 September;106.4;-0.4;108.2;-0.7;-0.3
57;A-U All economic activities;2016 January - 2016 December;107.1;0.9;108.8;0.5;-0.3
58;A-U All economic activities;2016 April - 2017 March;106.4;-0.3;108.0;-0.7;-0.3
59;A-U All economic activities;2016 July - 2017 June;107.4;1.0;108.8;0.5;-0.4
60;A-U All economic activities;2016 October - 2017 September;108.1;1.6;109.3;1.0;-0.5
61;A-U All economic activities;2017 January - 2017 December;109.1;1.9;110.2;1.3;-0.6
62;A Agriculture, forestry and fishing;2001;83.5;;79.8;;
63;A Agriculture, forestry and fishing;2002;87.9;5.3;84.4;5.9;0.5
64;A Agriculture, forestry and fishing;2003;91.0;3.5;87.8;4.0;0.6
65;A Agriculture, forestry and fishing;2004;89.6;-1.5;87.4;-0.5;1.0
66;A Agriculture, forestry and fishing;2005;91.9;2.5;88.0;0.7;-1.7
67;A Agriculture, forestry and fishing;2006;92.3;0.5;89.3;1.4;0.9
68;A Agriculture, forestry and fishing;2007;95.4;3.4;92.8;4.0;0.6
69;A Agriculture, forestry and fishing;2008;98.6;3.3;96.6;4.1;0.7
70;A Agriculture, forestry and fishing;2009;98.2;-0.5;96.3;-0.4;0.1
71;A Agriculture, forestry and fishing;2010;100.0;1.9;100.0;3.9;2.0
72;A Agriculture, forestry and fishing;2011;102.2;2.2;102.8;2.8;0.6
73;A Agriculture, forestry and fishing;2012;105.5;3.3;106.7;3.8;0.6
74;A Agriculture, forestry and fishing;2013;105.4;-0.1;107.5;0.8;0.9
75;A Agriculture, forestry and fishing;2014;105.5;0.1;108.7;1.1;1.0
76;A Agriculture, forestry and fishing;2015;106.8;1.2;110.5;1.7;0.4
77;A Agriculture, forestry and fishing;2016;106.3;-0.5;110.5;0.0;0.5
