ID;KenmerkenHuishoudens;CaribischNederland;Perioden;Huishoudens_1;PersonenMetInkomenPerHuishouden_2;BesteedbaarInkomenGemiddeld_3;BesteedbaarInkomenMediaan_4;GestandaardiseerdInkomenGemiddeld_5;GestandaardiseerdInkomenMediaan_6
0;Particuliere huishoudens;Caribisch Nederland;2011;7300.0;1.7;29.7;22.6;19.2;15.2
1;Particuliere huishoudens;Caribisch Nederland;2012;7750.0;1.7;30.7;23.3;20.0;15.9
2;Particuliere huishoudens;Caribisch Nederland;2013;8250.0;1.7;30.9;23.5;20.2;16.4
3;Particuliere huishoudens;Caribisch Nederland;2014;8600.0;1.7;31.9;24.4;21.0;16.8
4;Particuliere huishoudens;Caribisch Nederland;2015;8850.0;1.7;32.8;24.8;21.6;17.1
5;Particuliere huishoudens;Caribisch Nederland;2016;9250.0;1.7;33.2;25.4;22.1;17.7
6;Particuliere huishoudens;Caribisch Nederland;2017;9750.0;1.7;33.9;25.7;22.8;18.2
7;Particuliere huishoudens;Caribisch Nederland;2018;10150.0;1.7;34.2;25.9;23.0;18.3
8;Particuliere huishoudens;Caribisch Nederland;2019;10600.0;1.7;35.3;27.0;23.9;19.0
9;Particuliere huishoudens;Caribisch Nederland;2020;10950.0;1.6;35.5;26.9;24.1;19.1
10;Particuliere huishoudens;Caribisch Nederland;2021;11300.0;1.6;36.0;27.6;24.4;19.4
11;Particuliere huishoudens;Caribisch Nederland;2022;12000.0;1.6;36.7;27.6;25.0;19.9
12;Particuliere huishoudens;Bonaire;2011;5800.0;1.7;29.4;22.4;19.0;15.2
13;Particuliere huishoudens;Bonaire;2012;6150.0;1.7;30.1;22.6;19.6;15.6
14;Particuliere huishoudens;Bonaire;2013;6550.0;1.7;30.4;23.1;19.8;16.1
15;Particuliere huishoudens;Bonaire;2014;6850.0;1.7;31.4;23.7;20.6;16.4
16;Particuliere huishoudens;Bonaire;2015;7000.0;1.7;32.2;24.3;21.0;16.8
17;Particuliere huishoudens;Bonaire;2016;7350.0;1.7;33.1;25.3;21.8;17.6
18;Particuliere huishoudens;Bonaire;2017;7750.0;1.7;33.5;25.2;22.3;17.8
19;Particuliere huishoudens;Bonaire;2018;8100.0;1.7;33.6;25.5;22.4;17.9
20;Particuliere huishoudens;Bonaire;2019;8500.0;1.7;34.8;26.4;23.3;18.4
21;Particuliere huishoudens;Bonaire;2020;8900.0;1.7;34.8;26.3;23.5;18.7
22;Particuliere huishoudens;Bonaire;2021;9200.0;1.7;35.5;27.0;23.9;19.0
23;Particuliere huishoudens;Bonaire;2022;9800.0;1.6;36.2;27.2;24.5;19.5
24;Particuliere huishoudens;Sint Eustatius;2011;950.0;1.6;32.1;24.5;20.5;15.7
25;Particuliere huishoudens;Sint Eustatius;2012;1000.0;1.5;34.1;26.4;21.9;17.7
26;Particuliere huishoudens;Sint Eustatius;2013;1100.0;1.5;34.1;26.3;22.3;18.0
27;Particuliere huishoudens;Sint Eustatius;2014;1100.0;1.5;35.4;27.2;23.0;18.5
28;Particuliere huishoudens;Sint Eustatius;2015;1150.0;1.5;36.8;28.5;24.9;19.6
29;Particuliere huishoudens;Sint Eustatius;2016;1200.0;1.5;34.6;25.5;23.9;18.8
30;Particuliere huishoudens;Sint Eustatius;2017;1300.0;1.5;36.9;29.8;25.9;20.6
31;Particuliere huishoudens;Sint Eustatius;2018;1300.0;1.5;37.6;28.2;26.4;20.2
32;Particuliere huishoudens;Sint Eustatius;2019;1350.0;1.5;38.9;29.6;27.3;21.1
33;Particuliere huishoudens;Sint Eustatius;2020;1300.0;1.5;39.5;29.2;27.1;21.4
34;Particuliere huishoudens;Sint Eustatius;2021;1350.0;1.5;37.9;28.1;26.4;20.8
35;Particuliere huishoudens;Sint Eustatius;2022;1400.0;1.5;38.6;29.6;27.1;21.2
36;Particuliere huishoudens;Saba;2011;550.0;1.6;28.5;22.3;19.4;15.2
37;Particuliere huishoudens;Saba;2012;600.0;1.5;30.5;24.7;21.0;17.1
38;Particuliere huishoudens;Saba;2013;600.0;1.5;30.1;23.8;21.0;17.0
39;Particuliere huishoudens;Saba;2014;650.0;1.5;30.6;25.1;21.3;17.7
40;Particuliere huishoudens;Saba;2015;700.0;1.5;31.4;25.4;21.8;17.8
41;Particuliere huishoudens;Saba;2016;700.0;1.5;31.8;25.7;22.2;18.2
42;Particuliere huishoudens;Saba;2017;750.0;1.5;32.7;26.2;22.8;19.0
43;Particuliere huishoudens;Saba;2018;750.0;1.6;34.2;27.8;23.9;20.0
44;Particuliere huishoudens;Saba;2019;750.0;1.5;35.5;27.9;25.2;21.0
45;Particuliere huishoudens;Saba;2020;750.0;1.5;36.6;29.7;26.1;21.6
46;Particuliere huishoudens;Saba;2021;750.0;1.5;37.3;30.7;26.7;22.3
47;Particuliere huishoudens;Saba;2022;800.0;1.6;38.9;31.6;27.9;23.8
48;Type: Eenpersoonshuishouden;Caribisch Nederland;2011;2350.0;1.0;17.5;12.9;17.5;12.9
49;Type: Eenpersoonshuishouden;Caribisch Nederland;2012;2600.0;1.0;18.3;13.7;18.3;13.7
50;Type: Eenpersoonshuishouden;Caribisch Nederland;2013;2800.0;1.0;18.4;14.3;18.4;14.3
51;Type: Eenpersoonshuishouden;Caribisch Nederland;2014;2950.0;1.0;19.1;14.5;19.1;14.5
52;Type: Eenpersoonshuishouden;Caribisch Nederland;2015;3050.0;1.0;19.4;14.5;19.4;14.5
53;Type: Eenpersoonshuishouden;Caribisch Nederland;2016;3200.0;1.0;20.3;15.7;20.3;15.7
54;Type: Eenpersoonshuishouden;Caribisch Nederland;2017;3500.0;1.0;20.6;15.9;20.6;15.9
55;Type: Eenpersoonshuishouden;Caribisch Nederland;2018;3700.0;1.0;20.4;15.7;20.4;15.7
56;Type: Eenpersoonshuishouden;Caribisch Nederland;2019;3950.0;1.0;20.9;15.9;20.9;15.9
57;Type: Eenpersoonshuishouden;Caribisch Nederland;2020;4200.0;1.0;21.2;16.2;21.2;16.2
58;Type: Eenpersoonshuishouden;Caribisch Nederland;2021;4350.0;1.0;21.4;16.2;21.4;16.2
59;Type: Eenpersoonshuishouden;Caribisch Nederland;2022;4700.0;1.0;22.2;16.8;22.2;16.8
60;Type: Eenpersoonshuishouden;Bonaire;2011;1850.0;1.0;16.9;12.7;16.9;12.7
61;Type: Eenpersoonshuishouden;Bonaire;2012;2050.0;1.0;17.4;13.2;17.4;13.2
62;Type: Eenpersoonshuishouden;Bonaire;2013;2250.0;1.0;17.5;13.8;17.5;13.8
63;Type: Eenpersoonshuishouden;Bonaire;2014;2350.0;1.0;18.5;14.1;18.5;14.1
64;Type: Eenpersoonshuishouden;Bonaire;2015;2350.0;1.0;18.4;14.2;18.4;14.2
65;Type: Eenpersoonshuishouden;Bonaire;2016;2500.0;1.0;19.4;15.1;19.4;15.1
66;Type: Eenpersoonshuishouden;Bonaire;2017;2700.0;1.0;19.2;15.1;19.2;15.1
