ID;Sex;Age;MaritalStatus;CaribbeanNetherlands;Periods;Death_1
0;Total male and female;Total;Total marital status;Caribbean Netherlands;2011;139.0
1;Total male and female;Total;Total marital status;Caribbean Netherlands;2012;95.0
2;Total male and female;Total;Total marital status;Caribbean Netherlands;2013;109.0
3;Total male and female;Total;Total marital status;Caribbean Netherlands;2014;136.0
4;Total male and female;Total;Total marital status;Caribbean Netherlands;2015;122.0
5;Total male and female;Total;Total marital status;Caribbean Netherlands;2016;99.0
6;Total male and female;Total;Total marital status;Caribbean Netherlands;2017;134.0
7;Total male and female;Total;Total marital status;Caribbean Netherlands;2018;102.0
8;Total male and female;Total;Total marital status;Caribbean Netherlands;2019;125.0
9;Total male and female;Total;Total marital status;Caribbean Netherlands;2020;143.0
10;Total male and female;Total;Total marital status;Caribbean Netherlands;2021;162.0
11;Total male and female;Total;Total marital status;Caribbean Netherlands;2022;196.0
12;Total male and female;Total;Total marital status;Caribbean Netherlands;2023;169.0
13;Total male and female;Total;Total marital status;Bonaire;2011;109.0
14;Total male and female;Total;Total marital status;Bonaire;2012;70.0
15;Total male and female;Total;Total marital status;Bonaire;2013;79.0
16;Total male and female;Total;Total marital status;Bonaire;2014;98.0
17;Total male and female;Total;Total marital status;Bonaire;2015;102.0
18;Total male and female;Total;Total marital status;Bonaire;2016;76.0
19;Total male and female;Total;Total marital status;Bonaire;2017;99.0
20;Total male and female;Total;Total marital status;Bonaire;2018;73.0
21;Total male and female;Total;Total marital status;Bonaire;2019;97.0
22;Total male and female;Total;Total marital status;Bonaire;2020;111.0
23;Total male and female;Total;Total marital status;Bonaire;2021;124.0
24;Total male and female;Total;Total marital status;Bonaire;2022;156.0
25;Total male and female;Total;Total marital status;Bonaire;2023;139.0
26;Total male and female;Total;Total marital status;St Eustatius;2011;13.0
27;Total male and female;Total;Total marital status;St Eustatius;2012;12.0
28;Total male and female;Total;Total marital status;St Eustatius;2013;18.0
29;Total male and female;Total;Total marital status;St Eustatius;2014;22.0
