ID;Geslacht;Persoonskenmerken;Onderwijsniveau;BedrijfstakkenSBI2008;Perioden;BanenVanWerknemers_1;BrutoUurloon_2
0;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;A-U Alle economische activiteiten;2010;7330.7;20.3
1;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;A-F Landbouw en nijverheid;2010;1214.6;20.4
2;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;A Landbouw, bosbouw en visserij;2010;81.1;15.4
3;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;B-F Nijverheid en energie;2010;1133.6;20.7
4;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;B-E Nijverheid (geen bouw) en energie;2010;788.9;20.8
5;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;B Delfstoffenwinning;2010;7.2;34.7
6;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;C Industrie;2010;724.1;20.4
7;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;D Energievoorziening;2010;22.4;27.1
8;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;E Waterbedrijven en afvalbeheer;2010;35.2;21.1
9;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;F Bouwnijverheid;2010;344.7;20.4
10;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;G-N Commerciële dienstverlening;2010;3522.2;19.3
11;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;G-I Handel, vervoer en horeca;2010;1867.7;16.8
12;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;G Handel;2010;1206.1;16.8
13;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;H Vervoer en opslag;2010;349.4;19.2
14;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;I Horeca;2010;312.1;12.5
15;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;J Informatie en communicatie;2010;209.6;25.0
16;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;K Financiële dienstverlening;2010;237.6;28.0
17;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;L Verhuur en handel van onroerend goed;2010;62.3;24.1
18;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;M-N Zakelijke dienstverlening;2010;1145.1;19.5
19;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;M Specialistische zakelijke diensten;2010;427.7;24.5
20;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;N Verhuur en overige zakelijke diensten;2010;717.4;15.6
21;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;O-U Niet-commerciële dienstverlening;2010;2593.9;21.7
22;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;O-Q Overheid en zorg;2010;2321.9;22.0
23;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;O Openbaar bestuur en overheidsdiensten;2010;514.7;23.5
24;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;P Onderwijs;2010;512.4;24.5
25;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;Q Gezondheids- en welzijnszorg;2010;1294.8;20.1
26;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;R-U Cultuur, recreatie, overige diensten;2010;271.9;18.8
27;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;R Cultuur, sport en recreatie;2010;128.0;18.4
28;Totaal mannen en vrouwen;Totaal persoonskenmerken;Totaal;S Overige dienstverlening;2010;144.0;19.0
29;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;A-U Alle economische activiteiten;2010;1996.6;14.4
30;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;A-F Landbouw en nijverheid;2010;441.3;16.3
31;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;A Landbouw, bosbouw en visserij;2010;40.4;13.1
32;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;B-F Nijverheid en energie;2010;400.9;16.5
33;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;B-E Nijverheid (geen bouw) en energie;2010;279.3;15.7
34;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;B Delfstoffenwinning;2010;0.0;0.0
35;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;C Industrie;2010;262.2;15.5
36;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;D Energievoorziening;2010;2.7;20.8
37;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;E Waterbedrijven en afvalbeheer;2010;13.1;16.7
38;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;F Bouwnijverheid;2010;121.6;18.3
39;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;G-N Commerciële dienstverlening;2010;1172.9;13.5
40;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;G-I Handel, vervoer en horeca;2010;787.0;13.2
41;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;G Handel;2010;490.1;12.9
42;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;H Vervoer en opslag;2010;144.2;15.8
43;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;I Horeca;2010;152.6;10.4
44;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;J Informatie en communicatie;2010;18.8;18.0
45;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;K Financiële dienstverlening;2010;23.4;19.8
46;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;L Verhuur en handel van onroerend goed;2010;10.0;16.8
47;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;M-N Zakelijke dienstverlening;2010;333.7;13.1
48;Totaal mannen en vrouwen;Totaal persoonskenmerken;Onderwijsniveau: lager onderwijs;M Specialistische zakelijke diensten;2010;49.0;15.4
