ID;Geslacht;Leeftijd;GestandInkomenGroepenPersonen;Diagnose;Perioden;PersonenMetLopendeDBC_1;PersonenMetLopendeDBCPer10000Inw_2
0;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2013;7888115.0;4604.8
1;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2014;7872660.0;4577.7
2;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2015;7811740.0;4519.1
3;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2016;7626640.0;4386.1
4;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2017;7651195.0;4374.6
5;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2018;7690645.0;4370.1
6;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2019;7766985.0;4382.3
7;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2020;7368540.0;4140.0
8;Totaal mannen en vrouwen;10000;Totaal;Totaal alle diagnoses;2021;7573140.0;4229.0
9;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2013;1645405.0;960.5
10;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2014;1588015.0;923.4
11;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2015;1532020.0;886.3
12;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2016;1469000.0;844.8
13;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2017;1457690.0;833.4
14;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2018;1456910.0;827.9
15;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2019;1464715.0;826.4
16;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2020;1296520.0;728.4
17;Totaal mannen en vrouwen;10000;Totaal;OG Totaal oogheelkunde;2021;1385745.0;773.8
18;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2013;191215.0;111.6
19;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2014;178845.0;104.0
20;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2015;163690.0;94.7
21;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2016;148940.0;85.7
22;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2017;141780.0;81.1
23;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2018;139055.0;79.0
24;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2019;137425.0;77.5
25;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2020;112875.0;63.4
26;Totaal mannen en vrouwen;10000;Totaal;OG1 Totaal geen pathologie;2021;121780.0;68.0
27;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2013;207855.0;121.3
28;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2014;183025.0;106.4
29;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2015;160340.0;92.8
30;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2016;147845.0;85.0
31;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2017;139460.0;79.7
32;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2018;130860.0;74.4
33;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2019;124925.0;70.5
34;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2020;99975.0;56.2
35;Totaal mannen en vrouwen;10000;Totaal;OG2 Totaal visus/refractie;2021;104895.0;58.6
36;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2013;30150.0;17.6
37;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2014;27025.0;15.7
38;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2015;22235.0;12.9
39;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2016;17595.0;10.1
40;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2017;14875.0;8.5
41;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2018;11995.0;6.8
42;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2019;9785.0;5.5
43;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2020;6245.0;3.5
44;Totaal mannen en vrouwen;10000;Totaal;OG2.1 Lui oog;2021;6005.0;3.4
45;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2013;128645.0;75.1
46;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2014;115290.0;67.0
47;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2015;103620.0;59.9
48;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2016;100740.0;57.9
49;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2017;97250.0;55.6
50;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2018;92905.0;52.8
51;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2019;90400.0;51.0
52;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2020;73580.0;41.3
53;Totaal mannen en vrouwen;10000;Totaal;OG2.2 Brekingsafwijking;2021;79080.0;44.2
54;Totaal mannen en vrouwen;10000;Totaal;OG2.3 Overig visus/refractie;2013;50670.0;29.6
