ID;Geslacht;Persoonskenmerken;Onderwijsvolgend;KenmerkenArbeid;Uitkering;IngeschrevenUWVWerkbedrijf;Perioden;Jongeren15Tot27Jaar_1
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2005;2349100
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2006;2361800
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2007;2373500
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2008;2391300
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2009;2417300
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2010;2441900
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2011;2458700
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2012;2469600
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2013;2475500
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2014;2489100
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2015;2511900
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2016;2542800
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2017;2560600
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Totaal;2018;2575900
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2005;105200
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2006;69600
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2007;44100
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2008;39500
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2009;62600
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2010;56900
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2011;53900
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2012;64000
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2013;93400
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2014;78000
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2015;90200
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2016;119900
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2017;103800
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Ingeschreven bij UWV werkbedrijf;2018;95300
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Niet ingeschreven bij UWV werkbedrijf;2005;2243900
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Totaal met of zonder uitkering;Niet ingeschreven bij UWV werkbedrijf;2006;2292300
