ID;HouseholdExpenditure;Periods;CPIW_1;DerivedCPIW_2;YearOnYearChangeCPIW_3;YearOnYearChangeDerivedCPIW_4;WeightingCoefficient_5
0;0;2001;104.1;103.0;4.1;3.0;100000
1;0;2002;107.4;106.3;3.2;3.2;100000
2;0;2003;109.6;108.2;2.0;1.8;100000
3;0;2004;110.9;109.0;1.2;0.7;100000
4;0;2005;112.7;110.5;1.6;1.4;100000
5;0;2006;113.8;112.0;1.0;1.4;100000
6;0;2007;115.6;113.6;1.6;1.4;100000
7;0;2008;118.4;116.1;2.4;2.2;100000
8;10000;2001;107.0;107.0;7.0;7.0;10764
9;10000;2002;110.4;110.7;3.2;3.5;10764
10;10000;2003;111.6;111.9;1.1;1.1;10764
11;10000;2004;107.7;108.0;-3.5;-3.5;10764
12;10000;2005;106.3;106.6;-1.3;-1.3;10764
13;10000;2006;108.0;108.3;1.6;1.6;10764
14;10000;2007;109.1;109.4;1.0;1.0;10515
15;10000;2008;115.1;115.5;5.5;5.6;10812
16;20000;2001;106.9;103.5;6.9;3.5;3025
17;20000;2002;112.3;106.8;5.1;3.2;3025
18;20000;2003;116.4;109.2;3.7;2.2;3025
19;20000;2004;125.4;111.8;7.7;2.4;3025
20;20000;2005;129.2;114.0;3.0;2.0;3025
21;20000;2006;130.9;114.4;1.3;0.4;3025
22;20000;2007;133.4;115.2;1.9;0.7;2930
23;20000;2008;140.0;119.0;4.9;3.3;2759
24;30000;2001;101.8;100.5;1.8;0.5;6675
25;30000;2002;105.0;103.7;3.1;3.2;6675
26;30000;2003;101.8;100.6;-3.0;-3.0;6675
27;30000;2004;99.9;98.7;-1.9;-1.9;6675
28;30000;2005;97.3;96.1;-2.6;-2.6;6675
29;30000;2006;97.8;96.6;0.5;0.5;6675
30;30000;2007;99.0;97.8;1.2;1.2;5638
31;30000;2008;99.3;98.1;0.3;0.3;5297
32;40000;2001;105.0;103.2;5.0;3.2;19737
33;40000;2002;108.4;106.3;3.2;3.0;19737
34;40000;2003;112.5;110.3;3.8;3.8;19737
35;40000;2004;115.9;113.8;3.0;3.2;19737
36;40000;2005;121.3;118.3;4.7;4.0;19737
37;40000;2006;125.9;123.0;3.8;4.0;19737
38;40000;2007;129.1;126.1;2.5;2.5;21590
39;40000;2008;131.7;128.6;2.0;2.0;22282
40;50000;2001;105.4;104.3;5.4;4.3;7339
41;50000;2002;109.4;108.4;3.8;3.9;7339
42;50000;2003;111.2;109.7;1.6;1.2;7339
43;50000;2004;110.2;108.8;-0.9;-0.8;7339
44;50000;2005;109.9;108.4;-0.3;-0.4;7339
45;50000;2006;109.9;108.5;0.0;0.1;7339
46;50000;2007;111.2;109.8;1.2;1.2;6348
47;50000;2008;113.6;112.2;2.2;2.2;6714
48;60000;2001;102.9;102.0;2.9;2.0;578
49;60000;2002;105.5;104.6;2.5;2.5;578
50;60000;2003;107.5;106.5;1.9;1.8;578
51;60000;2004;108.1;107.1;0.6;0.6;578
52;60000;2005;108.4;107.4;0.3;0.3;578
53;60000;2006;108.5;107.5;0.1;0.1;578
54;60000;2007;109.8;108.8;1.2;1.2;1042
55;60000;2008;110.2;109.2;0.4;0.4;1121
56;70000;2001;102.6;101.4;2.6;1.4;13439
57;70000;2002;104.6;103.4;1.9;2.0;13439
58;70000;2003;107.4;105.6;2.7;2.1;13439
59;70000;2004;111.3;108.7;3.6;2.9;13439
60;70000;2005;116.1;112.9;4.3;3.9;13439
61;70000;2006;119.0;115.9;2.5;2.7;13439
62;70000;2007;121.1;117.7;1.8;1.6;12369
63;70000;2008;125.9;122.1;4.0;3.7;12543
64;80000;2001;99.1;97.9;-0.9;-2.1;3732
65;80000;2002;101.2;100.0;2.1;2.1;3732
66;80000;2003;103.4;102.2;2.2;2.2;3732
67;80000;2004;102.7;101.5;-0.7;-0.7;3732
68;80000;2005;98.7;97.5;-3.9;-3.9;3732
69;80000;2006;96.3;95.1;-2.4;-2.5;3732
70;80000;2007;93.6;92.4;-2.8;-2.8;4853
71;80000;2008;89.7;88.6;-4.2;-4.1;4233
