ID;Geslacht;Migratieachtergrond;Regiokenmerken;Perioden;LeerlingenSpeciaalBasisonderwijs_1;TotaalLeerlingenBasisonderwijs_2;TotaalLeerlingenAchterstandscategorie_3;Achterstandscategorie030_4;Achterstandscategorie120_5;LeerlingenGeenAchterstandscategorie_6;LeerlingenSpeciaalBasisonderwijs_7
0;Totaal mannen en vrouwen;Totaal;Nederland;2011/'12;1559265;1517497;186550.0;104230.0;82320.0;1330947.0;41768
1;Totaal mannen en vrouwen;Totaal;Nederland;2012/'13;1537934;1498008;173951.0;95898.0;78053.0;1324057.0;39926
2;Totaal mannen en vrouwen;Totaal;Nederland;2013/'14;1514855;1476722;159969.0;86653.0;73316.0;1316753.0;38133
3;Totaal mannen en vrouwen;Totaal;Nederland;2014/'15;1494395;1457550;147079.0;78466.0;68613.0;1310471.0;36845
4;Totaal mannen en vrouwen;Totaal;Nederland;2015/'16;1477853;1443126;134102.0;70310.0;63792.0;1309024.0;34727
5;Totaal mannen en vrouwen;Totaal;Nederland;2016/'17;1461161;1427299;124830.0;64653.0;60177.0;1302469.0;33862
6;Totaal mannen en vrouwen;Totaal;Nederland;2017/'18;1447973;1414022;119037.0;60690.0;58347.0;1294985.0;33951
7;Totaal mannen en vrouwen;Totaal;Nederland;2018/'19;1440428;1405487;113158.0;56609.0;56549.0;1292329.0;34941
8;Totaal mannen en vrouwen;Totaal;Nederland;2019/'20;1432181;1396452;;;;;35729
9;Totaal mannen en vrouwen;Totaal;Nederland;2020/'21;1421780;1386112;;;;;35668
10;Totaal mannen en vrouwen;Totaal;Nederland;2021/'22;1406333;1370934;;;;;35399
11;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2011/'12;159095;154421;14605.0;10792.0;3813.0;139816.0;4674
12;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2012/'13;155828;151347;13440.0;9775.0;3665.0;137907.0;4481
13;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2013/'14;152568;148228;12523.0;8850.0;3673.0;135705.0;4340
14;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2014/'15;149541;145258;11504.0;7845.0;3659.0;133754.0;4283
15;Totaal mannen en vrouwen;Totaal;Noord-Nederland (LD);2015/'16;146733;142723;10488.0;6923.0;3565.0;132235.0;4010
