ID;Geslacht;Leeftijd;SBI93;Herkomstgroepering;Perioden;OndernemersTotaal_1;DirecteurGrootaandeelhouders_2;ZelfstandigenTotaal_3;ZonderBaanAlsWerknemer_4;MetBaanAlsWerknemer_5;OndernemersTotaal_6;DirecteurGrootaandeelhouders_7;ZelfstandigenTotaal_8;ZonderBaanAlsWerknemer_9;MetBaanAlsWerknemer_10
0;Totaal mannen en vrouwen;0;0;0;1999, vrijdag 24 september;929.5;133.8;795.8;633.1;162.7;23.6;40.6;20.8;23.9;8.8
1;Totaal mannen en vrouwen;0;0;0;2000, vrijdag 29 september;957.4;139.0;818.4;647.6;170.7;26.0;41.7;23.3;27.1;9.1
2;Totaal mannen en vrouwen;0;0;0;2001, vrijdag 28 september;970.3;145.7;824.7;653.9;170.7;24.9;44.0;21.6;25.0;8.3
3;Totaal mannen en vrouwen;0;0;0;2002, vrijdag 27 september;968.8;152.0;816.9;651.8;165.0;26.0;45.9;22.2;25.7;8.6
4;Totaal mannen en vrouwen;0;0;0;2003, vrijdag 26 september;970.7;155.4;815.4;652.7;162.7;26.2;47.3;22.1;25.5;8.6
5;Totaal mannen en vrouwen;0;0;0;2004, vrijdag 24 september;948.0;155.8;792.2;644.9;147.2;27.2;48.4;23.0;26.1;9.3
6;Totaal mannen en vrouwen;0;0;0;2005, vrijdag 30 september;969.1;162.1;806.9;651.5;155.5;28.3;49.8;24.0;27.0;11.3
7;Totaal mannen en vrouwen;0;0;0;2006, vrijdag 29 september;1038.5;182.3;856.3;680.4;175.9;32.3;56.8;27.0;30.2;14.9
8;Totaal mannen en vrouwen;0;0;0;2007, vrijdag 28 september;1087.6;200.0;887.6;708.9;178.8;33.3;56.5;28.1;31.1;15.8
9;Totaal mannen en vrouwen;0;0;0;2008, vrijdag 26 september;1116.9;205.0;912.0;730.2;181.7;34.3;59.9;28.5;31.5;16.7
10;Totaal mannen en vrouwen;0;0;1;1999, vrijdag 24 september;822.4;121.6;700.8;558.5;142.3;23.9;40.5;21.0;24.1;8.9
11;Totaal mannen en vrouwen;0;0;1;2000, vrijdag 29 september;843.1;126.3;716.8;568.2;148.6;26.3;41.7;23.6;27.4;9.2
12;Totaal mannen en vrouwen;0;0;1;2001, vrijdag 28 september;849.1;132.4;716.7;568.8;147.8;25.2;43.9;21.7;25.2;8.3
13;Totaal mannen en vrouwen;0;0;1;2002, vrijdag 27 september;845.7;137.8;707.9;565.0;142.9;26.2;45.8;22.4;25.9;8.7
