ID;Beroepsniveau;CaoSector;Perioden;TotaalAantalBanen_1;Voltijdbanen_2;BrutoUurloonAlleBanen_3;BrutoMaandloonAlleBanen_4;BrutoJaarloonAlleBanen_5;BrutoJaarloonVoltijdbanen_6
0;Totaal beroepsniveau;Totaal cao-sector;2002;6996.3;3887.2;17.24;1958;26.2;35.5
1;Totaal beroepsniveau;Particuliere bedrijven;2002;4861.3;2934.5;16.72;1936;26.0;35.3
2;Totaal beroepsniveau;Gesubsidieerde sector;2002;1125.3;339.2;16.46;1619;21.3;31.4
3;Totaal beroepsniveau;Overheid;2002;1009.7;613.5;20.4;2440;32.3;38.8
4;Totaal beroepsniveau;Rijksoverheid;2002;132.5;101.3;21.74;2794;36.6;40.0
5;Totaal beroepsniveau;Onderwijs;2002;484.2;226.1;20.88;2322;30.8;40.6
6;Totaal beroepsniveau;Defensie;2002;74.2;71.3;17.65;2515;33.4;33.9
7;Totaal beroepsniveau;Politie;2002;57.7;45.8;19.38;2570;35.0;37.4
8;Totaal beroepsniveau;Gemeenten;2002;231.8;148.3;19.56;2363;31.3;37.1
9;Elementair;Totaal cao-sector;2002;617.9;246.7;11.37;1071;13.8;23.4
10;Elementair;Particuliere bedrijven;2002;508.0;206.0;11.29;1063;13.7;23.7
11;Elementair;Gesubsidieerde sector;2002;80.3;25.4;11.21;1018;13.5;20.7
12;Elementair;Overheid;2002;29.6;15.4;12.96;1353;17.6;24.2
13;Elementair;Rijksoverheid;2002;0.8;0.5;13.38;1526;19.6;26.5
14;Elementair;Onderwijs;2002;11.6;2.6;11.89;890;11.7;20.8
15;Elementair;Defensie;2002;3.4;3.1;11.2;1561;19.7;20.4
16;Elementair;Politie;2002;0.7;0.5;11.09;1323;16.5;
17;Elementair;Gemeenten;2002;12.3;8.2;13.97;1685;22.1;26.7
18;Lager;Totaal cao-sector;2002;1663.0;884.6;13.21;1441;19.4;27.3
19;Lager;Particuliere bedrijven;2002;1318.8;718.0;13.13;1436;19.5;27.7
20;Lager;Gesubsidieerde sector;2002;223.1;83.6;12.95;1290;16.7;23.9
21;Lager;Overheid;2002;121.1;83.0;14.41;1767;23.6;27.4
22;Lager;Rijksoverheid;2002;12.8;9.3;14.05;1731;23.7;26.7
23;Lager;Onderwijs;2002;30.7;14.6;12.8;1394;18.2;23.6
24;Lager;Defensie;2002;25.5;24.8;14.61;2103;28.4;28.7
25;Lager;Politie;2002;7.5;5.6;14.6;1852;23.8;25.6
26;Lager;Gemeenten;2002;41.0;26.4;15.39;1822;24.3;28.6
27;Middelbaar;Totaal cao-sector;2002;2442.3;1489.5;16.81;2024;27.3;34.0
28;Middelbaar;Particuliere bedrijven;2002;1731.8;1212.0;16.84;2132;28.8;34.5
29;Middelbaar;Gesubsidieerde sector;2002;444.8;100.1;15.78;1494;19.8;28.7
30;Middelbaar;Overheid;2002;265.6;177.5;17.99;2207;29.4;34.1
31;Middelbaar;Rijksoverheid;2002;54.0;41.5;18.47;2364;31.5;34.4
32;Middelbaar;Onderwijs;2002;61.7;23.8;16.31;1724;22.6;30.2
33;Middelbaar;Defensie;2002;25.6;24.6;17.4;2476;32.8;33.4
34;Middelbaar;Politie;2002;39.1;31.5;19.31;2578;35.3;37.4
35;Middelbaar;Gemeenten;2002;76.2;49.6;18.21;2190;28.8;33.9
36;Hoger;Totaal cao-sector;2002;1195.3;742.6;22.66;2770;37.3;46.0
37;Hoger;Particuliere bedrijven;2002;630.4;474.8;23.93;3117;42.4;48.6
38;Hoger;Gesubsidieerde sector;2002;201.4;69.0;19.61;2079;27.5;39.0
39;Hoger;Overheid;2002;363.4;198.8;21.74;2551;34.1;41.9
40;Hoger;Rijksoverheid;2002;27.8;21.5;23.5;3068;39.8;42.8
41;Hoger;Onderwijs;2002;252.1;118.7;20.86;2359;31.6;40.1
42;Hoger;Defensie;2002;10.6;10.2;23.49;3336;43.9;44.7
43;Hoger;Politie;2002;5.5;4.0;23.74;3175;44.5;47.5
44;Hoger;Gemeenten;2002;60.5;39.2;23.38;2858;38.2;45.1
45;Wetenschappelijk;Totaal cao-sector;2002;496.4;334.4;27.55;3521;47.4;54.9
46;Wetenschappelijk;Particuliere bedrijven;2002;234.8;182.8;27.18;3678;50.9;56.2
47;Wetenschappelijk;Gesubsidieerde sector;2002;86.6;40.8;27.45;3212;42.2;51.5
48;Wetenschappelijk;Overheid;2002;175.0;110.8;28.13;3463;45.3;53.8
49;Wetenschappelijk;Rijksoverheid;2002;30.6;23.5;29.51;3855;49.8;54.1
50;Wetenschappelijk;Onderwijs;2002;101.3;56.3;27.63;3282;43.0;53.8
51;Wetenschappelijk;Defensie;2002;5.2;4.9;30.46;4286;56.6;58.0
52;Wetenschappelijk;Politie;2002;3.3;3.0;26.89;3708;50.4;52.2
53;Wetenschappelijk;Gemeenten;2002;26.8;17.5;26.61;3300;43.5;50.8
