ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
0;Nederland;Totaal particulier huishouden;6664.8;27.9;19.3
1;Nederland;Eenpersoonshuishouden;2097.6;16.8;16.8
2;Nederland;Paar zonder kinderen;1980.3;30.3;22.1
3;Nederland;Paar met kinderen;1988.7;37.2;19.9
4;Nederland;Eenoudergezin;399.5;22.8;15.5
5;Noord-Nederland;Totaal particulier huishouden;693.7;25.4;17.7
6;Noord-Nederland;Eenpersoonshuishouden;208.0;15.5;15.5
7;Noord-Nederland;Paar zonder kinderen;223.6;27.3;20.0
8;Noord-Nederland;Paar met kinderen;209.1;33.5;17.9
9;Noord-Nederland;Eenoudergezin;37.6;21.7;14.8
10;Oost-Nederland;Totaal particulier huishouden;1329.2;28.0;18.9
11;Oost-Nederland;Eenpersoonshuishouden;367.3;16.3;16.3
12;Oost-Nederland;Paar zonder kinderen;405.0;29.4;21.5
13;Oost-Nederland;Paar met kinderen;442.6;36.1;19.2
14;Oost-Nederland;Eenoudergezin;71.2;23.3;15.8
15;West-Nederland;Totaal particulier huishouden;3212.5;28.2;19.9
16;West-Nederland;Eenpersoonshuishouden;1129.5;17.4;17.4
17;West-Nederland;Paar zonder kinderen;895.7;31.9;23.3
18;West-Nederland;Paar met kinderen;876.0;38.7;20.7
19;West-Nederland;Eenoudergezin;214.4;22.6;15.4
20;Zuid-Nederland;Totaal particulier huishouden;1429.3;28.2;19.2
21;Zuid-Nederland;Eenpersoonshuishouden;392.8;16.4;16.4
22;Zuid-Nederland;Paar zonder kinderen;456.0;29.4;21.5
23;Zuid-Nederland;Paar met kinderen;461.0;36.9;19.8
24;Zuid-Nederland;Eenoudergezin;76.4;23.5;16.0
25;Groningen;Totaal particulier huishouden;240.1;24.5;17.4
26;Groningen;Eenpersoonshuishouden;79.5;15.4;15.4
27;Groningen;Paar zonder kinderen;75.7;26.9;19.7
28;Groningen;Paar met kinderen;65.2;33.1;17.8
29;Groningen;Eenoudergezin;14.2;21.0;14.4
30;Friesland;Totaal particulier huishouden;259.5;25.4;17.5
31;Friesland;Eenpersoonshuishouden;77.0;15.3;15.3
32;Friesland;Paar zonder kinderen;82.0;27.1;19.8
33;Friesland;Paar met kinderen;81.5;33.4;17.7
34;Friesland;Eenoudergezin;14.0;21.8;14.8
35;Drenthe;Totaal particulier huishouden;194.1;26.6;18.2
36;Drenthe;Eenpersoonshuishouden;51.6;15.8;15.8
37;Drenthe;Paar zonder kinderen;65.9;28.0;20.5
38;Drenthe;Paar met kinderen;62.4;33.9;18.1
39;Drenthe;Eenoudergezin;9.3;22.6;15.4
40;Overijssel;Totaal particulier huishouden;426.9;27.2;18.3
41;Overijssel;Eenpersoonshuishouden;117.2;15.8;15.8
42;Overijssel;Paar zonder kinderen;131.3;28.1;20.5
43;Overijssel;Paar met kinderen;143.1;35.2;18.6
44;Overijssel;Eenoudergezin;21.2;23.3;15.7
