ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6753.4;30.1
1;Nederland;Loon;3672.4;33.8
2;Nederland;Winst;680.7;38.5
3;Nederland;Werkloosheid,bijstand,arbeidsongeschikt;662.8;17.5
4;Nederland;Pensioen;1635.9;22.7
5;Noord-Nederland (LD);Totaal particulier huishouden;701.1;27.5
6;Noord-Nederland (LD);Loon;358.6;31.0
7;Noord-Nederland (LD);Winst;75.5;35.2
8;Noord-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;71.5;17.2
9;Noord-Nederland (LD);Pensioen;184.1;21.4
10;Oost-Nederland (LD);Totaal particulier huishouden;1362.7;30.0
11;Oost-Nederland (LD);Loon;751.8;33.3
12;Oost-Nederland (LD);Winst;140.6;38.9
13;Oost-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;123.8;18.2
14;Oost-Nederland (LD);Pensioen;326.0;22.4
15;West-Nederland (LD);Totaal particulier huishouden;3238.8;30.6
16;West-Nederland (LD);Loon;1778.6;34.5
17;West-Nederland (LD);Winst;324.0;39.1
18;West-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;327.4;17.0
19;West-Nederland (LD);Pensioen;758.7;23.1
20;Zuid-Nederland (LD);Totaal particulier huishouden;1450.7;30.2
21;Zuid-Nederland (LD);Loon;783.3;34.1
22;Zuid-Nederland (LD);Winst;140.5;38.6
23;Zuid-Nederland (LD);Werkloosheid,bijstand,arbeidsongeschikt;140.1;18.3
24;Zuid-Nederland (LD);Pensioen;367.2;22.6
25;Groningen (PV);Totaal particulier huishouden;239.8;26.5
26;Groningen (PV);Loon;124.8;30.1
27;Groningen (PV);Winst;22.9;34.5
28;Groningen (PV);Werkloosheid,bijstand,arbeidsongeschikt;28.0;16.6
29;Groningen (PV);Pensioen;59.9;20.7
30;Friesland (PV);Totaal particulier huishouden;263.0;27.5
31;Friesland (PV);Loon;132.9;30.7
32;Friesland (PV);Winst;32.0;35.3
33;Friesland (PV);Werkloosheid,bijstand,arbeidsongeschikt;25.2;17.1
34;Friesland (PV);Pensioen;68.8;21.3
35;Drenthe (PV);Totaal particulier huishouden;198.3;28.6
36;Drenthe (PV);Loon;101.0;32.3
