ID;Geslacht;Leeftijd;Diagnose;RegioS;Perioden;AantalPatienten_1;AantalPatientenPer100000Inwoners_2;AantalPatienten_3;AantalPatientenPer100000Inwoners_4
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Nederland;2008;9578900.0;58246.0;8397105;51060
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Nederland;2009;9882065.0;59781.0;8668240;52438
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Nederland;2010;10122230.0;60921.0;8893285;53524
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Nederland;2011;;;9381610;56201
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Noord-Nederland (LD);2008;948410.0;55566.0;830205;48641
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Noord-Nederland (LD);2009;972975.0;56853.0;840730;49126
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Noord-Nederland (LD);2010;980860.0;57165.0;868905;50640
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Noord-Nederland (LD);2011;;;920590;53575
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Oost-Nederland (LD);2008;1950035.0;55855.0;1702315;48759
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Oost-Nederland (LD);2009;1958300.0;55815.0;1723880;49134
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Oost-Nederland (LD);2010;2009035.0;57008.0;1772090;50284
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;Oost-Nederland (LD);2011;;;1858250;52530
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;West-Nederland (LD);2008;4593555.0;59698.0;4057420;52730
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Totaal alle diagnoses;West-Nederland (LD);2009;4853000.0;62632.0;4228725;54575
