ID;Persoonskenmerken;Perioden;Daklozen_1;DaklozenRelatief_2
0;Totaal personen;2020;36.4;100
1;Totaal personen;2021;32.0;100
2;Geslacht: Mannen;2020;30.6;84
3;Geslacht: Mannen;2021;26.7;83
4;Geslacht: Vrouwen;2020;5.8;16
5;Geslacht: Vrouwen;2021;5.3;17
6;Leeftijd: 18 tot 27 jaar;2020;8.5;23
7;Leeftijd: 18 tot 27 jaar;2021;5.7;18
8;Leeftijd: 27 tot 50 jaar;2020;20.7;57
9;Leeftijd: 27 tot 50 jaar;2021;19.7;62
10;Leeftijd: 50 tot 65 jaar;2020;7.2;20
11;Leeftijd: 50 tot 65 jaar;2021;6.6;21
12;Migratieachtergrond: Nederland;2020;14.6;40
13;Migratieachtergrond: Nederland;2021;12.1;38
14;Migratieachtergrond: met migratieacht...;2020;21.8;60
15;Migratieachtergrond: met migratieacht...;2021;19.9;62
16;Migratieachtergrond: westers;2020;3.5;10
17;Migratieachtergrond: westers;2021;4.0;13
18;Migratieachtergrond: niet-westers;2020;18.3;50
19;Migratieachtergrond: niet-westers;2021;15.9;50
20;Ingeschreven: in een van de G4;2020;13.1;36
21;Ingeschreven: in een van de G4;2021;11.7;37
22;Ingeschreven: in andere gemeente;2020;23.3;64
23;Ingeschreven: in andere gemeente;2021;20.3;63
