ID;Kenmerken;Perioden;PersonenInParticuliereHuishoudens_1;MediaanInkomen_2;GemiddeldInkomen_3;Theilcoefficient_4;Ginicoefficient_5;PolarisatieIndex_6;RelatieveInterkwartielafstand_7;Ratio8020_8;k_1eDeciel_9;k_2eDeciel_10;k_3eDeciel_11;k_4eDeciel_12;k_5eDeciel_13;k_6eDeciel_14;k_7eDeciel_15;k_8eDeciel_16;k_9eDeciel_17;k_10eDeciel_18
0;310;2000;15650;16.1;18.0;0.193;0.278;0.202;0.573;4.127;3.1;5.8;6.7;7.5;8.5;9.4;10.5;11.8;13.7;22.9
1;310;2001;15785;17.5;19.6;0.146;0.268;0.204;0.575;3.903;3.4;5.8;6.7;7.6;8.5;9.4;10.5;11.9;13.9;22.2
2;310;2002;15864;18.2;20.2;0.151;0.269;0.201;0.569;3.996;3.1;5.9;6.8;7.7;8.5;9.5;10.6;11.9;14.0;22.0
3;310;2003;15905;18.3;20.2;0.148;0.269;0.202;0.571;4.045;2.9;5.9;6.9;7.7;8.6;9.5;10.7;12.0;14.1;21.7
4;310;2004;15954;18.7;20.8;0.151;0.272;0.201;0.566;4.06;3.0;5.9;6.8;7.7;8.5;9.5;10.6;11.9;14.0;22.2
5;310;2005;16006;18.9;21.2;0.149;0.27;0.202;0.567;3.968;3.3;5.8;6.8;7.6;8.5;9.4;10.5;11.9;13.9;22.4
6;310;2006;16034;19.8;22.1;0.142;0.264;0.198;0.557;3.827;3.5;5.9;6.8;7.7;8.5;9.4;10.5;11.8;13.9;22.1
7;310;2007;16090;20.8;23.7;0.165;0.281;0.204;0.568;4.128;3.3;5.7;6.7;7.5;8.3;9.2;10.3;11.6;13.7;23.6
8;310;2008;16186;21.5;24.1;0.146;0.271;0.203;0.568;3.984;3.3;5.8;6.8;7.6;8.5;9.4;10.5;11.9;13.9;22.4
9;310;2009;16258;21.8;24.3;0.146;0.272;0.205;0.574;4.07;3.1;5.8;6.8;7.6;8.5;9.5;10.6;12.0;14.0;22.1
10;310;2010;16303;21.7;24.3;0.141;0.269;0.205;0.573;3.956;3.3;5.8;6.8;7.6;8.5;9.4;10.5;11.9;14.0;22.1
11;310;2011;16392;22.0;24.5;0.142;0.269;0.205;0.57;3.992;3.2;5.8;6.8;7.6;8.5;9.5;10.6;12.0;14.0;22.0
12;310;2012;16442;22.1;24.6;0.143;0.27;0.204;0.567;4.03;3.2;5.8;6.8;7.6;8.5;9.5;10.6;11.9;14.0;22.1
13;310;2013;16452;22.3;24.8;0.145;0.272;0.207;0.579;4.087;3.1;5.7;6.8;7.6;8.5;9.5;10.6;12.0;14.1;22.1
14;310;2014;16524;22.8;25.9;0.161;0.283;0.211;0.589;4.237;3.2;5.6;6.6;7.4;8.3;9.3;10.4;11.8;13.9;23.4
15;321;2000;7769;16.5;18.4;0.198;0.28;0.199;0.566;4.206;3.0;5.8;6.7;7.6;8.5;9.4;10.5;11.8;13.7;23.0
16;321;2001;7837;18.0;20.0;0.145;0.267;0.201;0.567;3.916;3.4;5.8;6.8;7.6;8.5;9.5;10.5;11.9;13.9;22.1
17;321;2002;7877;18.6;20.5;0.15;0.269;0.199;0.559;4.061;2.9;5.9;6.9;7.7;8.6;9.6;10.6;12.0;14.0;21.9
18;321;2003;7891;18.7;20.6;0.149;0.269;0.199;0.564;4.114;2.8;5.9;6.9;7.8;8.7;9.6;10.7;12.0;14.0;21.6
19;321;2004;7912;19.1;21.2;0.153;0.273;0.2;0.562;4.145;2.9;5.9;6.8;7.7;8.6;9.5;10.6;11.9;14.0;22.2
20;321;2005;7936;19.3;21.6;0.148;0.27;0.201;0.564;4.006;3.2;5.8;6.8;7.7;8.5;9.4;10.5;11.9;13.9;22.3
21;321;2006;7947;20.2;22.5;0.142;0.265;0.197;0.554;3.863;3.4;5.9;6.9;7.7;8.5;9.4;10.5;11.8;13.9;22.0
22;321;2007;7974;21.2;24.2;0.168;0.282;0.202;0.563;4.173;3.2;5.7;6.7;7.5;8.3;9.2;10.3;11.6;13.7;23.7
23;321;2008;8027;22.0;24.6;0.148;0.271;0.201;0.561;4.005;3.3;5.8;6.8;7.6;8.5;9.4;10.5;11.8;13.9;22.4
24;321;2009;8062;22.3;24.8;0.148;0.272;0.203;0.569;4.099;3.0;5.8;6.8;7.7;8.6;9.5;10.6;12.0;14.0;22.1
25;321;2010;8084;22.2;24.8;0.142;0.269;0.203;0.567;3.981;3.3;5.8;6.8;7.6;8.5;9.5;10.6;11.9;14.0;22.0
