ID;Geslacht;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1;Deeltijd_2;MinderDan20UurPerWeek_3;MinderDan12UurPerWeek_4;k_12Tot20UurPerWeek_5;k_20Tot35UurPerWeek_6;k_20Tot28UurPerWeek_7;k_28Tot35UurPerWeek_8;Voltijd_9;GemiddeldeArbeidsduurInUren_10
0;Totaal mannen en vrouwen;Totaal personen;2003 1e kwartaal;7771;3333;1518;864;655;1815;916;898;4437;31.8
1;Totaal mannen en vrouwen;Totaal personen;2003 2e kwartaal;7782;3376;1542;867;675;1834;927;907;4406;31.7
2;Totaal mannen en vrouwen;Totaal personen;2003 3e kwartaal;7809;3389;1507;824;683;1882;948;934;4420;31.8
3;Totaal mannen en vrouwen;Totaal personen;2003 4e kwartaal;7770;3395;1532;859;674;1863;932;931;4375;31.6
4;Totaal mannen en vrouwen;Totaal personen;2003;7783;3373;1525;854;671;1849;931;918;4409;31.7
5;Totaal mannen en vrouwen;Totaal personen;2004 1e kwartaal;7719;3386;1527;861;666;1858;927;931;4333;31.7
6;Totaal mannen en vrouwen;Totaal personen;2004 2e kwartaal;7754;3415;1541;853;687;1875;950;924;4339;31.6
7;Totaal mannen en vrouwen;Totaal personen;2004 3e kwartaal;7793;3400;1517;820;697;1883;958;925;4393;31.8
8;Totaal mannen en vrouwen;Totaal personen;2004 4e kwartaal;7777;3423;1561;875;686;1863;949;914;4354;31.6
9;Totaal mannen en vrouwen;Totaal personen;2004;7761;3406;1536;852;684;1870;946;923;4355;31.7
10;Totaal mannen en vrouwen;Totaal personen;2005 1e kwartaal;7739;3429;1572;886;686;1857;950;907;4310;31.5
11;Totaal mannen en vrouwen;Totaal personen;2005 2e kwartaal;7812;3465;1572;876;696;1893;966;926;4347;31.6
12;Totaal mannen en vrouwen;Totaal personen;2005 3e kwartaal;7856;3478;1556;845;711;1923;970;953;4378;31.7
13;Totaal mannen en vrouwen;Totaal personen;2005 4e kwartaal;7866;3516;1592;884;708;1924;962;962;4350;31.6
14;Totaal mannen en vrouwen;Totaal personen;2005;7818;3472;1573;873;700;1899;962;937;4346;31.6
15;Totaal mannen en vrouwen;Totaal personen;2006 1e kwartaal;7845;3513;1578;877;700;1935;962;973;4332;31.6
16;Totaal mannen en vrouwen;Totaal personen;2006 2e kwartaal;7905;3521;1581;876;706;1940;965;975;4384;31.6
17;Totaal mannen en vrouwen;Totaal personen;2006 3e kwartaal;7977;3520;1550;834;716;1970;972;997;4458;31.9
18;Totaal mannen en vrouwen;Totaal personen;2006 4e kwartaal;8027;3572;1596;888;708;1975;986;989;4455;31.7
19;Totaal mannen en vrouwen;Totaal personen;2006;7938;3531;1576;869;707;1955;971;984;4407;31.7
20;Totaal mannen en vrouwen;Totaal personen;2007 1e kwartaal;8052;3590;1604;897;706;1986;996;991;4462;31.7
21;Totaal mannen en vrouwen;Totaal personen;2007 2e kwartaal;8156;3651;1626;886;740;2025;1019;1006;4505;31.7
22;Totaal mannen en vrouwen;Totaal personen;2007 3e kwartaal;8227;3684;1598;846;752;2086;1061;1025;4543;31.8
23;Totaal mannen en vrouwen;Totaal personen;2007 4e kwartaal;8241;3734;1638;894;744;2096;1044;1053;4507;31.6
24;Totaal mannen en vrouwen;Totaal personen;2007;8169;3665;1616;881;736;2048;1030;1019;4504;31.7
25;Totaal mannen en vrouwen;Totaal personen;2008 1e kwartaal;8269;3766;1624;893;731;2142;1083;1059;4503;31.6
26;Totaal mannen en vrouwen;Totaal personen;2008 2e kwartaal;8359;3780;1639;883;756;2141;1076;1065;4579;31.7
27;Totaal mannen en vrouwen;Totaal personen;2008 3e kwartaal;8400;3775;1584;835;749;2191;1101;1089;4625;31.9
28;Totaal mannen en vrouwen;Totaal personen;2008 4e kwartaal;8406;3801;1602;880;722;2199;1105;1094;4604;31.7
29;Totaal mannen en vrouwen;Totaal personen;2008;8358;3780;1612;873;740;2168;1091;1077;4578;31.7
30;Totaal mannen en vrouwen;Totaal personen;2009 1e kwartaal;8399;3852;1630;901;730;2222;1112;1109;4547;31.6
31;Totaal mannen en vrouwen;Totaal personen;2009 2e kwartaal;8390;3878;1639;892;746;2239;1113;1126;4512;31.5
32;Totaal mannen en vrouwen;Totaal personen;2009 3e kwartaal;8360;3858;1578;860;718;2280;1143;1137;4502;31.6
33;Totaal mannen en vrouwen;Totaal personen;2009 4e kwartaal;8296;3857;1619;912;707;2238;1111;1127;4439;31.5
34;Totaal mannen en vrouwen;Totaal personen;2009;8361;3861;1617;891;725;2245;1120;1125;4500;31.5
35;Totaal mannen en vrouwen;Totaal personen;2010 1e kwartaal;8228;3843;1637;917;720;2206;1101;1105;4385;31.4
36;Totaal mannen en vrouwen;Totaal personen;2010 2e kwartaal;8279;3885;1628;906;722;2257;1134;1123;4394;31.4
37;Totaal mannen en vrouwen;Totaal personen;2010 3e kwartaal;8305;3898;1555;851;705;2343;1176;1166;4407;31.6
38;Totaal mannen en vrouwen;Totaal personen;2010 4e kwartaal;8299;3903;1594;878;716;2309;1164;1145;4396;31.4
39;Totaal mannen en vrouwen;Totaal personen;2010;8278;3882;1604;888;716;2279;1144;1135;4396;31.4
40;Totaal mannen en vrouwen;Totaal personen;2011 1e kwartaal;8232;3892;1579;880;699;2312;1148;1165;4341;31.3
41;Totaal mannen en vrouwen;Totaal personen;2011 2e kwartaal;8259;3900;1599;890;709;2301;1154;1148;4359;31.3
42;Totaal mannen en vrouwen;Totaal personen;2011 3e kwartaal;8301;3904;1592;870;722;2312;1149;1163;4397;31.4
43;Totaal mannen en vrouwen;Totaal personen;2011 4e kwartaal;8327;3955;1636;928;708;2319;1152;1167;4372;31.2
44;Totaal mannen en vrouwen;Totaal personen;2011;8280;3913;1602;892;709;2311;1151;1160;4367;31.3
45;Totaal mannen en vrouwen;Totaal personen;2012 1e kwartaal;8283;3956;1625;920;705;2331;1156;1175;4327;31.2
46;Totaal mannen en vrouwen;Totaal personen;2012 2e kwartaal;8327;3982;1624;915;710;2358;1166;1192;4345;31.2
47;Totaal mannen en vrouwen;Totaal personen;2012 3e kwartaal;8368;4015;1620;906;715;2394;1191;1203;4354;31.2
48;Totaal mannen en vrouwen;Totaal personen;2012 4e kwartaal;8341;4041;1651;961;690;2390;1191;1199;4300;30.9
49;Totaal mannen en vrouwen;Totaal personen;2012;8330;3998;1630;925;705;2368;1176;1192;4332;31.1
50;Totaal mannen en vrouwen;Totaal personen;2013 1e kwartaal;8259;4038;1665;969;695;2373;1177;1196;4221;30.8
51;Totaal mannen en vrouwen;Totaal personen;2013 2e kwartaal;8273;4051;1670;976;694;2381;1183;1197;4222;30.8
52;Totaal mannen en vrouwen;Totaal personen;2013 3e kwartaal;8280;4022;1619;949;670;2403;1197;1206;4259;30.9
53;Totaal mannen en vrouwen;Totaal personen;2013 4e kwartaal;8254;4038;1665;987;678;2373;1164;1209;4215;30.8
54;Totaal mannen en vrouwen;Totaal personen;2013;8266;4037;1655;970;684;2383;1180;1202;4229;30.8
55;Totaal mannen en vrouwen;Totaal personen;2014 1e kwartaal;8146;3963;1616;980;635;2347;1163;1185;4183;30.9
56;Totaal mannen en vrouwen;Totaal personen;2014 2e kwartaal;8190;3997;1627;972;655;2370;1177;1193;4192;30.9
57;Totaal mannen en vrouwen;Totaal personen;2014 3e kwartaal;8251;3981;1597;937;659;2385;1167;1217;4269;31.2
58;Totaal mannen en vrouwen;Totaal personen;2014 4e kwartaal;8270;4043;1653;994;658;2390;1172;1219;4227;30.9
59;Totaal mannen en vrouwen;Totaal personen;2014;8214;3996;1623;971;652;2373;1170;1204;4218;31.0
60;Totaal mannen en vrouwen;Totaal personen;2015 1e kwartaal;8235;4044;1667;1011;656;2378;1152;1225;4191;30.8
61;Totaal mannen en vrouwen;Totaal personen;2015 2e kwartaal;8296;4062;1675;1010;665;2387;1173;1214;4235;30.9
62;Totaal mannen en vrouwen;Totaal personen;2015 3e kwartaal;8332;4045;1624;946;678;2421;1192;1229;4287;31.0
63;Totaal mannen en vrouwen;Totaal personen;2015 4e kwartaal;8311;4034;1623;957;666;2411;1176;1234;4278;31.1
64;Totaal mannen en vrouwen;Totaal personen;2015;8294;4046;1647;981;666;2399;1173;1226;4248;30.9
65;Totaal mannen en vrouwen;Totaal personen;2016 1e kwartaal;8287;4043;1613;963;650;2430;1163;1266;4244;31.0
66;Totaal mannen en vrouwen;Totaal personen;2016 2e kwartaal;8386;4076;1625;958;666;2451;1187;1264;4310;31.1
67;Totaal mannen en vrouwen;Totaal personen;2016 3e kwartaal;8461;4088;1584;915;669;2504;1193;1311;4373;31.3
68;Totaal mannen en vrouwen;Totaal personen;2016 4e kwartaal;8478;4098;1608;945;663;2490;1162;1327;4380;31.3
69;Totaal mannen en vrouwen;Totaal personen;2016;8403;4076;1608;946;662;2469;1177;1292;4327;31.2
70;Totaal mannen en vrouwen;Totaal personen;2017 1e kwartaal ;8474;4131;1617;963;654;2514;1181;1333;4343;31.1
71;Totaal mannen en vrouwen;Totaal personen;2017 2e kwartaal;8553;4149;1628;961;667;2521;1198;1324;4404;31.1
72;Totaal mannen en vrouwen;Totaal personen;2017 3e kwartaal;8638;4182;1605;932;673;2577;1215;1361;4457;31.2
73;Totaal mannen en vrouwen;Totaal personen;2017 4e kwartaal;8651;4219;1622;963;659;2597;1201;1397;4432;31.1
74;Totaal mannen en vrouwen;Totaal personen;2017;8579;4170;1618;955;663;2552;1199;1354;4409;31.2
75;Totaal mannen en vrouwen;Totaal personen;2018 1e kwartaal;8654;4227;1619;967;652;2608;1214;1394;4427;31.1
76;Totaal mannen en vrouwen;Totaal personen;2018 2e kwartaal;8747;4300;1621;949;672;2680;1263;1417;4447;31.1
77;Totaal mannen en vrouwen;Totaal personen;2018 3e kwartaal;8835;4294;1573;899;674;2721;1271;1449;4541;31.4
78;Totaal mannen en vrouwen;Totaal personen;2018 4e kwartaal;8862;4336;1618;944;674;2717;1256;1461;4526;31.2
