ID;Benefits;Periods;SocialBenefits_1
0;Total social benefits;1995;67444
1;Total social benefits;1996;66956
2;Total social benefits;1997;68368
3;Total social benefits;1998;70721
4;Total social benefits;1999;72764
5;Total social benefits;2000;76485
6;Total social benefits;2001;81725
7;Total social benefits;2002;88171
8;Total social benefits;2003;94263
9;Total social benefits;2004;96316
10;Total social benefits;2005;97740
11;Total social benefits;2006;110801
12;Total social benefits;2007;114985
13;Total social benefits;2008;122111
14;Total social benefits;2009;130582
15;Total social benefits;2010;136453
16;Total social benefits;2011;139982
17;Total social benefits;2012;144465
18;Total social benefits;2013;148352
19;Total social benefits;2014;149898
20;Total social benefits;2015;150662
21;Total social benefits;2016;154009
22;Total social benefits;2017;156389
23;Total social benefits;2018;161326
24;Total social benefits;2019;168425
25;Total social benefits;2020;173012
26;Total social benefits;2021;183491
27;Total social benefits;2022;190701
28;Total social benefits;2023;212598
29;Total statutory social security benefits;1995;51825
30;Total statutory social security benefits;1996;51496
31;Total statutory social security benefits;1997;54291
32;Total statutory social security benefits;1998;55278
33;Total statutory social security benefits;1999;57148
34;Total statutory social security benefits;2000;60025
35;Total statutory social security benefits;2001;64709
36;Total statutory social security benefits;2002;70272
37;Total statutory social security benefits;2003;75652
38;Total statutory social security benefits;2004;77628
39;Total statutory social security benefits;2005;78575
40;Total statutory social security benefits;2006;88245
41;Total statutory social security benefits;2007;89232
42;Total statutory social security benefits;2008;93256
43;Total statutory social security benefits;2009;99747
44;Total statutory social security benefits;2010;104083
45;Total statutory social security benefits;2011;106449
46;Total statutory social security benefits;2012;111014
47;Total statutory social security benefits;2013;114557
48;Total statutory social security benefits;2014;116662
49;Total statutory social security benefits;2015;113146
50;Total statutory social security benefits;2016;114892
51;Total statutory social security benefits;2017;116466
52;Total statutory social security benefits;2018;119904
53;Total statutory social security benefits;2019;125003
54;Total statutory social security benefits;2020;127847
55;Total statutory social security benefits;2021;135520
56;Total statutory social security benefits;2022;140451
57;Total statutory social security benefits;2023;155766
58;Act on Work and Income based on Work ...;1995;0
59;Act on Work and Income based on Work ...;1996;0
60;Act on Work and Income based on Work ...;1997;0
61;Act on Work and Income based on Work ...;1998;0
62;Act on Work and Income based on Work ...;1999;0
63;Act on Work and Income based on Work ...;2000;0
64;Act on Work and Income based on Work ...;2001;0
65;Act on Work and Income based on Work ...;2002;0
66;Act on Work and Income based on Work ...;2003;0
67;Act on Work and Income based on Work ...;2004;0
68;Act on Work and Income based on Work ...;2005;0
69;Act on Work and Income based on Work ...;2006;150
70;Act on Work and Income based on Work ...;2007;480
71;Act on Work and Income based on Work ...;2008;829
72;Act on Work and Income based on Work ...;2009;1163
