ID;Geslacht;Leeftijd;IndicatieOfGebruikZZV;RegioS;Perioden;PersMetIndicatieGebruikInJaar_1;PersMetIndicatieGebruikInJaar_2;PersMetIndicatieGebruikOpPeildatum_3;PersMetIndicGebruikOpPeildatum_4
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Nederland;2009;813810.0;4.83;621395.0;3.75
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Nederland;2010;870055.0;5.14;656950.0;3.95
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Nederland;2011;904490.0;5.32;693740.0;4.15
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Nederland;2012;907130.0;5.31;703040.0;4.19
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Nederland;2013;893120.0;5.21;686495.0;4.08
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Nederland;2014;884725.0;5.14;691420.0;4.09
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2009;99025.0;5.69;76555.0;4.47
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2010;106980.0;6.13;81155.0;4.72
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2011;111110.0;6.36;86380.0;5.02
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2012;112350.0;6.43;87875.0;5.11
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2013;107850.0;6.18;84060.0;4.89
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Noord-Nederland (LD);2014;109980.0;6.29;87000.0;5.06
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2009;181025.0;5.08;139290.0;3.96
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2010;191800.0;5.35;145585.0;4.12
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2011;201100.0;5.59;155195.0;4.38
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2012;202695.0;5.62;157955.0;4.44
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2013;201840.0;5.58;158220.0;4.45
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Oost-Nederland (LD);2014;202575.0;5.59;159830.0;4.48
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;West-Nederland (LD);2009;349480.0;4.42;264760.0;3.41
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;West-Nederland (LD);2010;374930.0;4.7;281690.0;3.6
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;West-Nederland (LD);2011;387535.0;4.83;294485.0;3.74
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;West-Nederland (LD);2012;386850.0;4.79;297055.0;3.75
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;West-Nederland (LD);2013;380675.0;4.7;285190.0;3.59
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;West-Nederland (LD);2014;370720.0;4.55;285785.0;3.57
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Zuid-Nederland (LD);2009;184280.0;5.08;140785.0;3.95
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Zuid-Nederland (LD);2010;196340.0;5.4;148520.0;4.15
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Zuid-Nederland (LD);2011;204740.0;5.62;157675.0;4.4
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Zuid-Nederland (LD);2012;205235.0;5.62;160155.0;4.46
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Zuid-Nederland (LD);2013;202750.0;5.54;159025.0;4.42
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Zuid-Nederland (LD);2014;201445.0;5.49;158805.0;4.4
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Groningen (PV);2009;33950.0;5.79;26470.0;4.59
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Groningen (PV);2010;36760.0;6.24;28310.0;4.89
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Groningen (PV);2011;38285.0;6.47;29890.0;5.14
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Groningen (PV);2012;38705.0;6.53;30645.0;5.26
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Groningen (PV);2013;38465.0;6.48;30570.0;5.25
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Groningen (PV);2014;38320.0;6.42;30490.0;5.22
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Friesland (PV);2009;35915.0;5.48;27775.0;4.3
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Friesland (PV);2010;38715.0;5.89;29050.0;4.49
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Friesland (PV);2011;39960.0;6.08;31135.0;4.81
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Friesland (PV);2012;40425.0;6.15;31415.0;4.85
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Friesland (PV);2013;39045.0;5.94;30510.0;4.72
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Friesland (PV);2014;39455.0;6.01;31250.0;4.83
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Drenthe (PV);2009;29155.0;5.86;22310.0;4.55
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Drenthe (PV);2010;31505.0;6.32;23795.0;4.84
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Drenthe (PV);2011;32865.0;6.59;25355.0;5.16
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Drenthe (PV);2012;33225.0;6.68;25815.0;5.27
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Drenthe (PV);2013;30345.0;6.11;22980.0;4.7
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Drenthe (PV);2014;32205.0;6.5;25260.0;5.17
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal indicatie en/of gebruik ZZV;Overijssel (PV);2009;65820.0;5.74;51360.0;4.55
