ID;WerknemerWelNietIngezeten;KenmerkenWerknemer;BedrijfstakkenBranchesSBI2008;KenmerkenBaan;Herkomstland;Perioden;BanenWerknemersGeborenInBuitenland_1
0;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 1e kwartaal;635.4
1;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 2e kwartaal;669.9
2;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 3e kwartaal;684.3
3;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010 4e kwartaal;677.8
4;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2010;667.0
5;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 1e kwartaal;662.8
6;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 2e kwartaal;697.1
7;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 3e kwartaal;705.1
8;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011 4e kwartaal;688.6
9;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2011;688.5
10;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 1e kwartaal;670.7
11;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 2e kwartaal;698.9
12;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 3e kwartaal;702.6
13;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 4e kwartaal;685.6
14;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2012 ;689.5
15;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 1e kwartaal;654.8
16;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 2e kwartaal;678.1
17;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 3e kwartaal;684.1
18;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013 4e kwartaal;674.2
19;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2013;672.9
20;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 1e kwartaal;654.7
21;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 2e kwartaal;684.7
22;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 3e kwartaal;696.3
23;Totaal banen;Totaal werknemers;A-U Alle economische activiteiten;Totaal kenmerken baan;Totaal;2014 4e kwartaal;688.1
