ID;CaoSectoren;SBI93;Versie;Perioden;CaoLonenPerMaandExclBijzBeloningen_1;CaoLonenPerMaandInclBijzBeloningen_2;CaoLonenPerUurExclBijzBeloningen_3;CaoLonenPerUurInclBijzBeloningen_4;ContractueleLoonkostenPerMaand_5;ContractueleLoonkostenPerUur_6;ContractueleArbeidsduur_7;CaoLonenPerMaandExclBijzBeloningen_8;CaoLonenPerMaandInclBijzBeloningen_9;CaoLonenPerUurExclBijzBeloningen_10;CaoLonenPerUurInclBijzBeloningen_11;ContractueleLoonkostenPerMaand_12;ContractueleLoonkostenPerUur_13;ContractueleArbeidsduur_14;PercentageAfgeslotenCaoS_15
0;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1972 jaar;33.8;33.4;;29.8;;;;;;;;;;;
1;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1973 jaar;37.8;37.4;;33.7;;;;11.8;12.0;;13.1;;;;
2;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1974 jaar;42.9;42.8;;38.7;;;;13.5;14.4;;14.8;;;;
3;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1975 jaar;48.3;48.1;;44.7;;;;12.6;12.4;;15.5;;;;
4;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1976 jaar;52.7;52.5;;48.9;;;;9.1;9.1;;9.4;;;;
5;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1977 jaar;56.4;56.5;;52.4;;;;7.0;7.6;;7.2;;;;
6;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1978 jaar;59.8;59.8;;55.7;;;;6.0;5.8;;6.3;;;;
7;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1979 jaar;62.5;62.8;;58.4;;;;4.5;5.0;;4.8;;;;
8;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1980 jaar;65.2;65.2;;60.8;;;108.7;4.3;3.8;;4.1;;;;
9;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1981 jaar;67.2;66.9;;62.4;;;108.2;3.1;2.6;;2.6;;;-0.5;
10;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1982 jaar;71.6;71.2;;66.5;;;107.9;6.5;6.4;;6.6;;;-0.3;
11;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1983 jaar;72.2;71.9;;67.2;;;106.9;0.8;1.0;;1.1;;;-0.9;
12;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1984 jaar;71.9;71.6;;67.3;;;105.7;-0.4;-0.4;;0.1;;;-1.1;
13;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1985 jaar;72.2;72.1;;69.1;;;103.9;0.4;0.7;;2.7;;;-1.7;
14;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1986 jaar;72.9;72.9;;70.6;;;103.0;1.0;1.1;;2.2;;;-0.9;
15;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1987 jaar;73.5;73.4;;71.4;;;102.5;0.8;0.7;;1.1;;;-0.5;
16;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1988 jaar;74.1;73.8;;72.0;;;102.3;0.8;0.5;;0.8;;;-0.2;
17;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1989 jaar;75.3;75.0;;73.2;;;102.1;1.6;1.6;;1.7;;;-0.2;
18;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1990 jaar;77.5;77.5;75.8;75.6;;;102.0;2.9;3.3;;3.3;;;-0.1;
19;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1991 jaar;80.5;80.2;78.8;78.4;;;101.8;3.9;3.5;4.0;3.7;;;-0.2;
20;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1992 jaar;83.6;83.3;82.0;81.7;;;101.7;3.9;3.9;4.1;4.2;;;-0.1;
21;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1993 jaar;86.3;86.0;84.7;84.3;;;101.6;3.2;3.2;3.3;3.2;;;-0.1;
22;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1994 jaar;87.5;87.2;85.8;85.6;;;101.7;1.4;1.4;1.3;1.5;;;0.1;
23;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1995 jaar;88.3;88.2;86.7;86.5;;;101.7;0.9;1.1;1.0;1.1;;;0.0;
24;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1996 jaar;89.7;89.7;88.2;88.1;;;101.5;1.6;1.7;1.7;1.8;;;-0.2;
25;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1997 jaar;91.5;91.5;90.8;90.7;;;100.7;2.0;2.0;2.9;3.0;;;-0.8;
26;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1998 jaar;94.1;94.1;93.8;93.7;;;100.3;2.8;2.8;3.3;3.3;;;-0.4;
27;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;1999 jaar;96.9;96.9;96.9;96.8;;;100.0;3.0;3.0;3.3;3.3;;;-0.3;
28;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;2000 januari;98.6;98.5;98.5;98.5;98.5;98.4;100.0;;;;;;;;100.0
29;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;2000 februari;98.6;98.6;98.6;98.6;98.5;98.5;100.0;;;;;;;;100.0
30;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;2000 maart;98.9;98.9;98.9;98.9;98.9;98.8;100.0;;;;;;;;100.0
31;Totaal cao-sectoren;01-93 Totaal sbi;Huidige cijfers;2000 1e kwartaal;98.7;98.7;98.7;98.7;98.6;98.6;100.0;;;;;;;;100.0
