ID;Herkomst;Geslacht;Perioden;IvboVbo_1;VboMavo_2;MavoHavo_3;HavoVwo_4;UitvallerZonderDiploma_5;SchoolverlaterZonderStartkwalificatie_6;Overig_7;LagerOnderwijs_8;Avo1_9;Avo2_10;HboUniversiteit_11;Onbekend_12;DeVierGroteSteden_13;BuitenDeVierGroteSteden_14;Onbekend_15;Arbeider_16;Zelfstandige_17;LagerEmploye_18;MiddelbaarEmploye_19;HogerEmploye_20;OverigEnOnbekend_21;TotaalscoreToetsen_22;DeeltoetsTaal_23;DeeltoetsRekenen_24;DeeltoetsInformatieverwerking_25
0;Herkomst totaal;Totaal jongens en meisjes;Cohort 1989;28;31;21;20;10.0;23.0;67.0;16.0;26.0;34.0;19.0;5.0;6.0;93.0;1.0;26.0;9.0;9.0;18.0;14.0;24.0;3.41;3.27;3.24;3.05
1;Herkomst totaal;Totaal jongens en meisjes;Cohort 1993;26;28;25;21;9.0;15.0;76.0;12.0;12.0;37.0;20.0;19.0;8.0;92.0;0.0;22.0;9.0;8.0;17.0;13.0;31.0;3.37;3.44;3.36;3.0
2;Herkomst totaal;Totaal jongens en meisjes;Cohort 1999;9;28;25;38;2.0;;98.0;12.0;11.0;37.0;23.0;18.0;11.0;89.0;0.0;;;;;;;3.03;3.0;3.06;3.03
3;Herkomst totaal;Jongens;Cohort 1989;34;27;20;19;12.0;26.0;62.0;17.0;25.0;33.0;20.0;5.0;7.0;93.0;1.0;27.0;9.0;9.0;18.0;14.0;24.0;3.41;3.17;3.33;3.09
4;Herkomst totaal;Jongens;Cohort 1993;30;26;24;20;10.0;15.0;75.0;12.0;12.0;36.0;21.0;19.0;7.0;93.0;0.0;22.0;9.0;8.0;16.0;13.0;31.0;3.38;3.31;3.46;3.02
5;Herkomst totaal;Jongens;Cohort 1999;10;28;24;37;2.0;;98.0;11.0;11.0;37.0;22.0;19.0;11.0;89.0;0.0;;;;;;;3.03;2.85;3.16;3.05
6;Herkomst totaal;Meisjes;Cohort 1989;21;35;23;21;9.0;20.0;72.0;16.0;26.0;34.0;19.0;5.0;5.0;94.0;1.0;26.0;9.0;9.0;18.0;15.0;24.0;3.4;3.44;3.14;3.01
7;Herkomst totaal;Meisjes;Cohort 1993;21;31;26;22;9.0;14.0;77.0;13.0;12.0;38.0;20.0;18.0;8.0;92.0;0.0;22.0;9.0;8.0;17.0;13.0;31.0;3.36;3.57;3.26;2.97
8;Herkomst totaal;Meisjes;Cohort 1999;9;28;25;38;2.0;;98.0;13.0;11.0;37.0;23.0;17.0;10.0;89.0;0.0;;;;;;;3.03;3.15;2.95;3.01
9;Herkomst Autochtonen;Totaal jongens en meisjes;Cohort 1989;0;0;0;0;8.0;22.0;70.0;13.0;28.0;38.0;21.0;0.0;4.0;96.0;1.0;28.0;10.0;10.0;21.0;16.0;16.0;3.43;3.32;3.25;3.12
